record_id,insect_id,original_observation_type,retained_observation_type,original_notes,retained_notes,removed_segments
hostplant-SC-N74-PROX-04,species-SC168,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: 原著が検視した日本ラベル標本は別種だったとし、検視標本は国外産のみ / 原著植物名: Pinus thunbergii / YList採用名: Pinus thunbergii / 寄主根拠: 原著のHosts欄 / 掲載頁: 47,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: 原著が検視した日本ラベル標本は別種だったとし、検視標本は国外産のみ / 原著植物名: Pinus thunbergii / YList採用名: Pinus thunbergii / 寄主根拠: 原著のHosts欄 / 掲載頁: 47 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: 原著が検視した日本ラベル標本は別種だったとし、検視標本は国外産のみ / 原著植物名: Pinus thunbergii / YList採用名: Pinus thunbergii / 寄主根拠: 原著のHosts欄 / 掲載頁: 47
hostplant-SC-N74-PROX-05,species-SC168,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: 原著が検視した日本ラベル標本は別種だったとし、検視標本は国外産のみ / 原著植物名: Pinus pentaphylla / YList採用名: Pinus parviflora var. pentaphylla / 寄主根拠: 原著のHosts欄 / 掲載頁: 47,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: 原著が検視した日本ラベル標本は別種だったとし、検視標本は国外産のみ / 原著植物名: Pinus pentaphylla / YList採用名: Pinus parviflora var. pentaphylla / 寄主根拠: 原著のHosts欄 / 掲載頁: 47 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: 原著が検視した日本ラベル標本は別種だったとし、検視標本は国外産のみ / 原著植物名: Pinus pentaphylla / YList採用名: Pinus parviflora var. pentaphylla / 寄主根拠: 原著のHosts欄 / 掲載頁: 47
hostplant-SC-N74-SUTU-01,species-SC169,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Picea jezoensis var. hondoensis / YList採用名: Picea jezoensis var. hondoensis / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47,,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Picea jezoensis var. hondoensis / YList採用名: Picea jezoensis var. hondoensis / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47 / 記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Picea jezoensis var. hondoensis / YList採用名: Picea jezoensis var. hondoensis / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47
hostplant-SC-N74-SUTU-02,species-SC169,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Larix leptolepis / YList採用名: Larix kaempferi / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47,,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Larix leptolepis / YList採用名: Larix kaempferi / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47 / 記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Larix leptolepis / YList採用名: Larix kaempferi / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47
hostplant-SC-N74-SUTU-03,species-SC169,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47,,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47 / 記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47
hostplant-SC-N74-SUTU-04,species-SC169,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47,,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47 / 記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47
hostplant-SC-N74-SUTU-05,species-SC169,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus pumila / YList採用名: Pinus pumila / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47,,記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus pumila / YList採用名: Pinus pumila / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47 / 記録地域: 日本（日本のカラマツ林で普通との本文記述から推定） / 地域根拠: 本文で日本のカラマツ林に普通とし、国内標本を列挙する / 原著植物名: Pinus pumila / YList採用名: Pinus pumila / 寄主根拠: 本文の国内生態記述とHosts欄 / 掲載頁: 47
hostplant-SC-N74-TOSA-01,species-SC170,文献（国内・明記）,文献（国内・明記）,記録地域: 日本（本州・四国・九州） / 地域根拠: 本文で南日本の海岸近くの枯死・衰弱マツを加害すると述べ、直後に2寄主を列挙 / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 48,,記録地域: 日本（本州・四国・九州） / 地域根拠: 本文で南日本の海岸近くの枯死・衰弱マツを加害すると述べ、直後に2寄主を列挙 / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 48 / 記録地域: 日本（本州・四国・九州） / 地域根拠: 本文で南日本の海岸近くの枯死・衰弱マツを加害すると述べ、直後に2寄主を列挙 / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 48
hostplant-SC-N74-TOSA-02,species-SC170,文献（国内・明記）,文献（国内・明記）,記録地域: 日本（本州・四国・九州） / 地域根拠: 本文で南日本の海岸近くの枯死・衰弱マツを加害すると述べ、直後に2寄主を列挙 / 原著植物名: Pinus thunbergii / YList採用名: Pinus thunbergii / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 48,,記録地域: 日本（本州・四国・九州） / 地域根拠: 本文で南日本の海岸近くの枯死・衰弱マツを加害すると述べ、直後に2寄主を列挙 / 原著植物名: Pinus thunbergii / YList採用名: Pinus thunbergii / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 48 / 記録地域: 日本（本州・四国・九州） / 地域根拠: 本文で南日本の海岸近くの枯死・衰弱マツを加害すると述べ、直後に2寄主を列挙 / 原著植物名: Pinus thunbergii / YList採用名: Pinus thunbergii / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 48
hostplant-SC-N74-ACUM-PINE-01,species-SC157,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（北本州のアカマツ地域との本文記述から推定） / 地域根拠: 本文で北本州のred pine regionsに普通で衰弱・倒木を加害すると記載 / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 50,,記録地域: 日本（北本州のアカマツ地域との本文記述から推定） / 地域根拠: 本文で北本州のred pine regionsに普通で衰弱・倒木を加害すると記載 / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 50 / 記録地域: 日本（北本州のアカマツ地域との本文記述から推定） / 地域根拠: 本文で北本州のred pine regionsに普通で衰弱・倒木を加害すると記載 / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 本文の国内加害記述とHosts欄 / 掲載頁: 50
hostplant-SC-N74-ACUM-OTHER-01,species-SC157,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Picea jezoensis / YList採用名: Picea jezoensis var. jezoensis / 寄主根拠: 原著のHosts欄 / 掲載頁: 50,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Picea jezoensis / YList採用名: Picea jezoensis var. jezoensis / 寄主根拠: 原著のHosts欄 / 掲載頁: 50 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Picea jezoensis / YList採用名: Picea jezoensis var. jezoensis / 寄主根拠: 原著のHosts欄 / 掲載頁: 50
hostplant-SC-N74-ACUM-OTHER-02,species-SC157,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Larix leptolepis / YList採用名: Larix kaempferi / 寄主根拠: 原著のHosts欄 / 掲載頁: 50,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Larix leptolepis / YList採用名: Larix kaempferi / 寄主根拠: 原著のHosts欄 / 掲載頁: 50 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Larix leptolepis / YList採用名: Larix kaempferi / 寄主根拠: 原著のHosts欄 / 掲載頁: 50
hostplant-SC-N74-ACUM-OTHER-03,species-SC157,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 原著のHosts欄 / 掲載頁: 50,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 原著のHosts欄 / 掲載頁: 50 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 原著のHosts欄 / 掲載頁: 50
hostplant-SC-N74-ACUM-OTHER-04,species-SC157,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus pentaphylla / YList採用名: Pinus parviflora var. pentaphylla / 寄主根拠: 原著のHosts欄 / 掲載頁: 50,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus pentaphylla / YList採用名: Pinus parviflora var. pentaphylla / 寄主根拠: 原著のHosts欄 / 掲載頁: 50 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus pentaphylla / YList採用名: Pinus parviflora var. pentaphylla / 寄主根拠: 原著のHosts欄 / 掲載頁: 50
hostplant-SC-N74-ACUM-OTHER-05,species-SC157,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus pentaphylla var. himekomatsu / YList採用名: Pinus parviflora var. parviflora / 寄主根拠: 原著のHosts欄 / 掲載頁: 50,,記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus pentaphylla var. himekomatsu / YList採用名: Pinus parviflora var. parviflora / 寄主根拠: 原著のHosts欄 / 掲載頁: 50 / 記録地域: 地域不明（Host欄に国別対応なし） / 地域根拠: アカマツ以外のHosts欄は日本・海外のどの記録かを分離できない / 原著植物名: Pinus pentaphylla var. himekomatsu / YList採用名: Pinus parviflora var. parviflora / 寄主根拠: 原著のHosts欄 / 掲載頁: 50
hostplant-SC-N74-DUPL-01,species-SC159,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（日本記録の標本を著者が未確認） / 地域根拠: 原著は日本への移入を述べるが、日本産標本を確認せずHostの産地も示さない / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 原著のHost欄 / 掲載頁: 52,,記録地域: 地域不明（日本記録の標本を著者が未確認） / 地域根拠: 原著は日本への移入を述べるが、日本産標本を確認せずHostの産地も示さない / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 原著のHost欄 / 掲載頁: 52 / 記録地域: 地域不明（日本記録の標本を著者が未確認） / 地域根拠: 原著は日本への移入を述べるが、日本産標本を確認せずHostの産地も示さない / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 原著のHost欄 / 掲載頁: 52
hostplant-SC-N74-MULT-01,species-SC167,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本のみの分布から推定） / 地域根拠: 原著名Ips multidentatusの分布を本州・四国・九州のみとする / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 原著のHost欄 / 掲載頁: 52 / 原著名Ips multidentatusは現行目録でOrthotomicus multidentatus,原著名Ips multidentatusは現行目録でOrthotomicus multidentatus,記録地域: 日本（日本のみの分布から推定） / 地域根拠: 原著名Ips multidentatusの分布を本州・四国・九州のみとする / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 原著のHost欄 / 掲載頁: 52 / 記録地域: 日本（日本のみの分布から推定） / 地域根拠: 原著名Ips multidentatusの分布を本州・四国・九州のみとする / 原著植物名: Pinus densiflora / YList採用名: Pinus densiflora / 寄主根拠: 原著のHost欄 / 掲載頁: 52
hostplant-SC-N74-TYPO-NATIVE-01,species-SC162,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Abies sachalinensis / YList採用名: Abies sachalinensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 原著名Ips typographus japonicusは現行目録でI. typographusの異名,原著名Ips typographus japonicusは現行目録でI. typographusの異名,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Abies sachalinensis / YList採用名: Abies sachalinensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Abies sachalinensis / YList採用名: Abies sachalinensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-NATIVE-02,species-SC162,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea glehnii / YList採用名: Picea glehnii / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 原著名Ips typographus japonicusは現行目録でI. typographusの異名,原著名Ips typographus japonicusは現行目録でI. typographusの異名,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea glehnii / YList採用名: Picea glehnii / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea glehnii / YList採用名: Picea glehnii / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-NATIVE-03,species-SC162,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea jezoensis / YList採用名: Picea jezoensis var. jezoensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 原著名Ips typographus japonicusは現行目録でI. typographusの異名,原著名Ips typographus japonicusは現行目録でI. typographusの異名,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea jezoensis / YList採用名: Picea jezoensis var. jezoensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea jezoensis / YList採用名: Picea jezoensis var. jezoensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-NATIVE-04,species-SC162,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea jezoensis var. hondoensis / YList採用名: Picea jezoensis var. hondoensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 原著名Ips typographus japonicusは現行目録でI. typographusの異名,原著名Ips typographus japonicusは現行目録でI. typographusの異名,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea jezoensis var. hondoensis / YList採用名: Picea jezoensis var. hondoensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Picea jezoensis var. hondoensis / YList採用名: Picea jezoensis var. hondoensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-NATIVE-05,species-SC162,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 原著名Ips typographus japonicusは現行目録でI. typographusの異名,原著名Ips typographus japonicusは現行目録でI. typographusの異名,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Pinus koraiensis / YList採用名: Pinus koraiensis / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-NATIVE-06,species-SC162,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Pinus pentaphylla var. himekomatsu / YList採用名: Pinus parviflora var. parviflora / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 原著名Ips typographus japonicusは現行目録でI. typographusの異名,原著名Ips typographus japonicusは現行目録でI. typographusの異名,記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Pinus pentaphylla var. himekomatsu / YList採用名: Pinus parviflora var. parviflora / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53 / 記録地域: 日本（日本型I. typographus japonicusの節から推定） / 地域根拠: 原著は日本型を扱い北海道のトウヒ被害と多数の国内標本を記載するが植物別産地は未記載 / 原著植物名: Pinus pentaphylla var. himekomatsu / YList採用名: Pinus parviflora var. parviflora / 寄主根拠: 本文の国内被害記述とHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-UNKNOWN-01,species-SC162,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Picea excelsa / YList採用名: Picea abies / 寄主根拠: 原著のHosts欄 / 掲載頁: 53,,記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Picea excelsa / YList採用名: Picea abies / 寄主根拠: 原著のHosts欄 / 掲載頁: 53 / 記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Picea excelsa / YList採用名: Picea abies / 寄主根拠: 原著のHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-UNKNOWN-02,species-SC162,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Pinus ponderosa / YList採用名: Pinus ponderosa / 寄主根拠: 原著のHosts欄 / 掲載頁: 53,,記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Pinus ponderosa / YList採用名: Pinus ponderosa / 寄主根拠: 原著のHosts欄 / 掲載頁: 53 / 記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Pinus ponderosa / YList採用名: Pinus ponderosa / 寄主根拠: 原著のHosts欄 / 掲載頁: 53
hostplant-SC-N74-TYPO-UNKNOWN-03,species-SC162,文献（地域不明）,文献（地域不明）,記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Pinus sylvestris / YList採用名: Pinus sylvestris / 寄主根拠: 原著のHosts欄 / 掲載頁: 53,,記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Pinus sylvestris / YList採用名: Pinus sylvestris / 寄主根拠: 原著のHosts欄 / 掲載頁: 53 / 記録地域: 地域不明（外来樹種のHost欄に国別対応なし） / 地域根拠: Host欄の外来樹種を日本記録へ割り当てる直接根拠がない / 原著植物名: Pinus sylvestris / YList採用名: Pinus sylvestris / 寄主根拠: 原著のHosts欄 / 掲載頁: 53
hostplant-SC-N74-SPIN-01,species-SC156,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus gilva / YList採用名: Quercus gilva / 寄主根拠: 原著のHosts欄 / 掲載頁: 54,,記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus gilva / YList採用名: Quercus gilva / 寄主根拠: 原著のHosts欄 / 掲載頁: 54 / 記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus gilva / YList採用名: Quercus gilva / 寄主根拠: 原著のHosts欄 / 掲載頁: 54
hostplant-SC-N74-SPIN-02,species-SC156,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus myrsinaefolia / YList採用名: Quercus myrsinifolia / 寄主根拠: 原著のHosts欄 / 掲載頁: 54,,記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus myrsinaefolia / YList採用名: Quercus myrsinifolia / 寄主根拠: 原著のHosts欄 / 掲載頁: 54 / 記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus myrsinaefolia / YList採用名: Quercus myrsinifolia / 寄主根拠: 原著のHosts欄 / 掲載頁: 54
hostplant-SC-N74-SPIN-03,species-SC156,文献（国内・論文範囲）,文献（国内・論文範囲）,記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus salicina / YList採用名: Quercus salicina / 寄主根拠: 原著のHosts欄 / 掲載頁: 54,,記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus salicina / YList採用名: Quercus salicina / 寄主根拠: 原著のHosts欄 / 掲載頁: 54 / 記録地域: 日本（日本産Ipini再検討の当該節から推定） / 地域根拠: 日本産分類群の節にHostsを記載するが植物ごとの採集地は未記載 / 原著植物名: Quercus salicina / YList採用名: Quercus salicina / 寄主根拠: 原著のHosts欄 / 掲載頁: 54
