insect_id,japanese_name,scientific_name,change_type,current_value,proposed_value,source,source_url,confidence,review_required,approved,note
,キンケミノウスバ,Pseudopsyche endosantha Pingeler,新産地,,箱根町で採集。神奈川県初記録,中島秀雄 (1985),,high,,,"ページ: 12, 蛾類通信 131号, ファイル: jhj131.pdf"
species-5224,ウスマダラアツバ,Scedobla diffusa Sugi,食草追加,,ハクウンボク（Styrax obassia、エゴノキ科）を食草として確認,杉繁郎 (1985),,high,,OK,"ページ: 13, 蛾類通信 131号, ファイル: jhj131.pdf"
species-5298,ウスグロアツバ,Zanclognatha fumosa,食草追加,,オニウシノケグサ（イネ科）、カワラスゲ（カヤツリグサ科）を食草として確認,小木広行 (1985),,high,,OK,"ページ: 1, 蛾類通信 132号, ファイル: jhj132.pdf"
species-5299,ハスオビアツバ,Zanclognatha obliqua,食草追加,,ビロードスゲ、アゼスゲ（カヤツリグサ科）、オニウシノケグサ（イネ科）を食草として確認,小木広行 (1985),,high,,OK,"ページ: 2, 蛾類通信 132号, ファイル: jhj132.pdf"
species-4978,ミナミキノカワガ,Risoba basalis,学名変更,,西表島産の種をRisoba basalis Mooreに同定、東南アジアに分布の広い種,杉繁郎 (1985),,high,YES,,"ページ: 2, 蛾類通信 132号, ファイル: jhj132.pdf"
,カレンコウカレハ,Dendrolimus taiwanus,学名変更,,Karenkonia taiwana MatsumaraをDendrolimus taiwanus (Matsumura)の組み合わせに変更、Dendrolimus inonei LajonquiereをシノニムとしてSyn. n.指定,岸田泰則 (1985),,high,YES,,"ページ: 3, 蛾類通信 132号, ファイル: jhj132.pdf"
,フタスジトガリカレハ,Syrastrena sumatrana obliquilinea,新記録種,,台湾から新亜種として記載,岸田泰則 (1985),,high,,,"ページ: 3-4, 蛾類通信 132号, ファイル: jhj132.pdf"
,モンアトジロドクガ,Pantana seriatopunctata,食草追加,,幼虫はタケ類を食す。雌の記録も初めて,岸田泰則 (1985),,high,,OK,"ページ: 4, 蛾類通信 132号, ファイル: jhj132.pdf"
,カバイロドクガ,Aroa substrigosa,食草追加,,幼虫はイネ科の植物を食す,岸田泰則 (1985),,high,,OK,"ページ: 5, 蛾類通信 132号, ファイル: jhj132.pdf"
,タイワンシロジマシャチホコ,Pheosia taiwanognoma,新記録種,,雌が初めて記録された（新称）,岸田泰則 (1985),,high,,,"ページ: 6, 蛾類通信 132号, ファイル: jhj132.pdf"
species-20751,アトジロアルプスヤガ,Anomogyna sincera,新産地,,富士山で採集、日本では3頭目で雄としては最初の記録,白川邦臣 (1985),,high,,,"ページ: 7, 蛾類通信 132号, ファイル: jhj132.pdf"
species-1568,クロツバメ,Histia fabellicornis,食草追加,,アカギ（トウダイグサ科Bischofia javanica）で大発生、奄美大島で初記録,杉繁郎 (1985),,high,,OK,"ページ: 7, 蛾類通信 132号, ファイル: jhj132.pdf"
species-4090,テンオビナミシャク,Acasis exwiretata,食草追加,,サラシナショウマ（Cimicifuga simplex）を食草として確認,大和田守 (1985),,high,,OK,"ページ: 7, 蛾類通信 132号, ファイル: jhj132.pdf"
species-4989,タケアツバ,Rioula leucanioides,学名変更,,Rioula biatomea MooreからRioula leucanioides (Walker)に学名変更,杉繁郎 (1985),,high,YES,,"ページ: 7, 蛾類通信 132号, ファイル: jhj132.pdf"
,ハネナガアヤモクメキリガ,Xylena nihonica,学名変更,,"Xylena japonica (Hone)がXylina ornitopus japonica Neuburger, 1903の一次異物同名のため無効、Xylena nihonica (Hone) nom.rev.を使用",杉繁郎 (1985),,high,YES,,"ページ: 8, 蛾類通信 132号, ファイル: jhj132.pdf"
species-3131,スジマガリノメイガ,Mutuuraia terrealis,食草追加,,ゴマナ（Aster glehnii hondoensis）を食草として確認、本種の食草としては初記録,富樫一次 (1985),,high,,OK,"ページ: 9, 蛾類通信 132号, ファイル: jhj132.pdf"
species-5587,ワイギンモンウワバ,Sclerogenia jessica,食草追加,,ヤクシソウ（Youngia denticulata）を食草として確認、野外における食草としては初記録,富樫一次 (1985),,high,,OK,"ページ: 11, 蛾類通信 132号, ファイル: jhj132.pdf"
species-3116,ウラグロシロノメイガ,Sitochroa palealis,学名変更,,"Botys? anarisalis Walker, 1859（Shanghai）が本種のシノニムであることが明かとなった（syn.n.）",井上寛 (1985),,high,YES,,"ページ: 115, 蛾類通信 133号, ファイル: jhj133.pdf"
species-3115,ウラクロモンノメイガ,Loxostege turbidalis inornatalis,学名変更,,Botys inornatalis LeechをL. turbidalisの一亜種とした（stat.n.）,井上寛 (1985),,high,YES,,"ページ: 116, 蛾類通信 133号, ファイル: jhj133.pdf"
species-3114,シロスジクロモンノメイガ,Lorostege aeruginalis,新記録種,,北海道で日本未記録種として発見された,井上寛 (1985),,high,,,"ページ: 117, 蛾類通信 133号, ファイル: jhj133.pdf"
species-3114,シロスジクロモンノメイガ,Lorostege aeruginalis,和名変更,,（新称）,井上寛 (1985),,high,YES,,"ページ: 116, 蛾類通信 133号, ファイル: jhj133.pdf"
,タイセツタカネエダシャク,Psodos coracina daisetsuzana,食草追加,,幼虫の食草としてガンコウランを確認（初記録）,"保田信紀,渡辺康之 (1985)",,high,,OK,"ページ: 119, 蛾類通信 133号, ファイル: jhj133.pdf"
species-5608,アルプスギンウワバ,Syngrapha nyiwonis,食草追加,,幼虫はガンコウラン、クロマメノキ、コケモモを摂食するが、特にガンコウランを好む,"保田信紀,渡辺康之 (1985)",,high,,OK,"ページ: 120, 蛾類通信 133号, ファイル: jhj133.pdf"
species-6088,ヤンコウスキーキリガ,Xanthocosmia jankouskii,食草追加,,シナノキ Tilia japonica（シナノキ科）を食草として確認,佐々木明夫 (1985),,high,,OK,"ページ: 121, 蛾類通信 133号, ファイル: jhj133.pdf"
species-5217,ホソツマキリアツバ,Stenograpta stenoptera,食草追加,,ミヤマハハソ Meliosma tenuis（アワブキ科）を食草として確認,山本義丸 (1985),,high,,OK,"ページ: 122, 蛾類通信 133号, ファイル: jhj133.pdf"
,フタオビキョトウ,Mythimna turca,食草追加,,ビロードスゲ Carex fedia var. miyabei、カワラスゲ Carex incisa（いずれもカヤツリグサ科）を食草として確認,小木広行 (1985),,high,,OK,"ページ: 123, 蛾類通信 133号, ファイル: jhj133.pdf"
,ナガフタオビキョトウ,Mythimna divergens,食草追加,,ビロードスゲ Carex fedia var. miyabei（カヤツリグサ科）を食草として確認,小木広行 (1985),,high,,OK,"ページ: 123, 蛾類通信 133号, ファイル: jhj133.pdf"
,ミヤマフタオビキョトウ,Mythimna matsumuriana,食草追加,,カモガヤ Dactylis glomerata、ススキ Miscanthus sinensis、ヤマヌカボ Agrostis clarkei（いずれもイネ科）を食草として確認,小木広行 (1985),,high,,OK,"ページ: 124, 蛾類通信 133号, ファイル: jhj133.pdf"
,オオフタオビキョトウ,Mythimna grandis,食草追加,,カモガヤ Dactylis glomerata、ススキ Miscanthus sinensis、ナガハグサ Poa pratensis（いずれもイネ科）を食草として確認,小木広行 (1985),,high,,OK,"ページ: 124, 蛾類通信 133号, ファイル: jhj133.pdf"
species-1559,ルリイロスカシクロバ,Illiberis consimilis,新産地,,九州初記録（熊本県八代郡泉村久子）,"大塚勲,吉崎一章 (1985)",,high,,,"ページ: 125, 蛾類通信 133号, ファイル: jhj133.pdf"
,チャホシホリバナミシャク,Brabira kasaii,新記録種,,新種記載。B. artemidoraに近縁だが雌雄交尾器形態等で区別される。,佐藤力夫 (1986),,high,,,"ページ: 129-131, 蛾類通信 134号, ファイル: jhj134.pdf"
species-4129,ホソバナミシャク,Tyloptera bella amamiensis,新記録種,,奄美大島亜種として新亜種記載。原名亜種に比べて褐色味が強く、雌交尾器のbursa copulatrixが短い。,佐藤力夫 (1986),,high,,,"ページ: 131, 蛾類通信 134号, ファイル: jhj134.pdf"
,ウスミドリオビナミシャク,Esakiopteryx venusta,新記録種,,台湾から新種記載。これまでE. volitansのみが知られていた一属一種の属に第2の種を追加。,矢崎克己 (1986),,high,,,"ページ: 132-133, 蛾類通信 134号, ファイル: jhj134.pdf"
species-5979,コンゴウミドリヨトウ,Staurophora celsia,新記録種,,岡山県新見市で採集。日本未記録種として新たに記録。,矢野重明 (1986),,high,,,"ページ: 136, 蛾類通信 134号, ファイル: jhj134.pdf"
species-20763,ナカグロヤガ,Noctua undosa,食草追加,,食草としてAgrostis alba（コスカグサ、イネ科）を記録。,小木広行 (1986),,high,,OK,"ページ: 142, 蛾類通信 134号, ファイル: jhj134.pdf"
species-20723,ホシボシヤガ,Hermonassa arenosa,食草追加,,食草としてCirsium kamtschaticum（チシマアザミ、キク科）、Petasites japonicus var. giganteus（アキタブキ、キク科）、Polygonum sachalinense（オオイタドリ、タデ科）、Primula japonica（クリンソウ、サクラソウ科）、Lamium barbatum（オドリコソウ、シソ科）を記録。,小木広行 (1986),,high,,OK,"ページ: 142, 蛾類通信 134号, ファイル: jhj134.pdf"
species-20731,アカマエヤガ,Spaelotis valida,食草追加,,食草としてCirsium kamtschaticum（チシマアザミ、キク科）、Petasites japonicus var. giganteus（アキタブキ、キク科）、Trifolium repens（シロツメクサ、マメ科）、Oenothera biennis（アレチマツヨイグサ、アカバナ科）、Polygonum weyrichii（ウラジロタデ、タデ科）を記録。,小木広行 (1986),,high,,OK,"ページ: 142-143, 蛾類通信 134号, ファイル: jhj134.pdf"
species-5920,ヒメモクメヨトウ,Actinotia polyodon,食草追加,,食草としてHypericum erectus（オトギリソウ、オトギリソウ科）を記録。,小木広行 (1986),,high,,OK,"ページ: 143, 蛾類通信 134号, ファイル: jhj134.pdf"
species-5591,マガリキンウワバ,Diachrysia leonina (Oberthür),食草追加,,食草：エゾイラクサ（イラクサ科）、エゾゴマナ（キク科）、チシマアザミ（キク科）、シソ科植物からも確認,小木広行 (1986),,high,,OK,"ページ: 1-2, 蛾類通信 135号, ファイル: jhj135.pdf"
species-5595,シロスジキンウワバ,Diachrysia zosimi (Hübner),食草追加,,食草：ホザキシモツケ（バラ科）、ナガボノシロワレモコウ（バラ科）,小木広行 (1986),,high,,OK,"ページ: 2, 蛾類通信 135号, ファイル: jhj135.pdf"
species-4199,ネグロウスベニナミシャク,Photoscotosia atrostrigata (Bremer),食草追加,,幼虫の食草はヨモギ属（Artemisia）のみ、ヨモギ属に固有であることが判明,佐藤力夫 (1986),,high,,OK,"ページ: 3-4, 蛾類通信 135号, ファイル: jhj135.pdf"
species-4200,オオネグロウスベニナミシャク,Photoscotosia lucicolens (Butler),和名変更,,新称としてオオネグロウスベニナミシャクと命名、sp. rev.として復活,佐藤力夫 (1986),,high,YES,,"ページ: 5, 蛾類通信 135号, ファイル: jhj135.pdf"
species-5433,カクモンキシタバ,Chrysonithrum amatum Bremer & Grey,誤り修正,,蛹越冬の一例を報告、越冬態および越冬場所の追加記録,大和田守 (1986),,high,,,"ページ: 10, 蛾類通信 135号, ファイル: jhj135.pdf"
species-4861,ホシヒトリモドキ,Asota plana lacteata Butler,食草追加,,食草：ガジュマル（Ficus retusa、クワ科）,"中村正直, 中本英一 (1986)",,high,,OK,"ページ: 11, 蛾類通信 135号, ファイル: jhj135.pdf"
species-3549,ミナミマダラエダシャク,Abraxas formosilluminata,新記録種,,台湾から記載された種の日本初記録、沖縄県西表島で発見,木俣繁 (1986),,high,,,"ページ: 161, 蛾類通信 136号, ファイル: jhj136.pdf"
species-4984,シンジュキノカワガ,Eligma narcissus,新産地,,千葉県清澄山での採集記録、関東南部では古い東京記録以来,土屋早男 (1986),,high,,,"ページ: 162, 蛾類通信 136号, ファイル: jhj136.pdf"
species-3673,ルリモンエダシャク,Cleora insolita,新記録種,,台湾未記録、日本・朝鮮・アムール・ウスリー等に分布,佐藤力夫 (1986),,high,,,"ページ: 163, 蛾類通信 136号, ファイル: jhj136.pdf"
species-3716,キバネトビスジエダシャク,Myrioblephara cilicornaria,新記録種,,台湾未記録、日本国外からは初記録,佐藤力夫 (1986),,high,,,"ページ: 163, 蛾類通信 136号, ファイル: jhj136.pdf"
,,Myrioblephara flexilinea,新記録種,,台湾未記録,佐藤力夫 (1986),,high,,,"ページ: 163, 蛾類通信 136号, ファイル: jhj136.pdf"
,,Medasina tayulingensis,新記録種,,台湾からの新種記載,佐藤力夫 (1986),,high,,,"ページ: 164, 蛾類通信 136号, ファイル: jhj136.pdf"
species-3775,アサヒナオオエダシャク,Amraica asahinai,新記録種,,台湾未記録、琉球から既知の種,佐藤力夫 (1986),,high,,,"ページ: 165, 蛾類通信 136号, ファイル: jhj136.pdf"
species-3841,キバラエダシャク,Garaeus specularis,新記録種,,台湾未記録、インド北部が模式産地,佐藤力夫 (1986),,high,,,"ページ: 165, 蛾類通信 136号, ファイル: jhj136.pdf"
species-0934,チャノキホリマルハキバガ,Casmara patrona,食草追加,,ヤブツバキ（ツバキ科）、サザンカ（ツバキ科）の害虫として確認、長崎県壱岐郡、宮崎市で発見,倉永善太郎 (1986),,high,,OK,"ページ: 165, 蛾類通信 136号, ファイル: jhj136.pdf"
species-5770,シレトコツメヨトウ,Oncocnemis senica,新記録種,,日本未記録種として北海道知床半島で発見、従来はAcronyctaに分類されていたがOncocnemisに属を変更,杉繁郎 (1986),,high,,,"ページ: 166, 蛾類通信 136号, ファイル: jhj136.pdf"
species-5980,フキヨトウ,Hydraecia amurensis,食草追加,,アキタブキ（Petasites japonicus var. giganteus、キク科）、ハンゴンソウ（Senecio cannabifolius、キク科）を食草として確認,小木広行 (1986),,high,,OK,"ページ: 168, 蛾類通信 136号, ファイル: jhj136.pdf"
species-6050,イセキリガ,Conistra sakabei,学名変更,,Agrochola sakabeiからConistra sakabeiへ属を変更、雄の発見により所属を訂正,杉繁郎・清野昭夫 (1986),,high,YES,,"ページ: 169, 蛾類通信 136号, ファイル: jhj136.pdf"
species-3325,ウスグロヨツモンノメイガ,Lygropia yerburii (Butler),学名変更,,Lygropia poltisalisとされていたが、L. yerburii (Butler)に変更。日本産は新亜種L. y. nipponica subsp. n.として記載,井上寛 (1986),,high,YES,,"ページ: 1-2, 蛾類通信 137号, ファイル: jhj137.pdf"
species-3237,ハネナガコブノメイガ,Marasmia pilosa (Warren),学名変更,,M. euryterminalis、M. latimarginalisとされていたが、M. pilosa (Warren)に訂正,井上寛 (1986),,high,YES,,"ページ: 2, 蛾類通信 137号, ファイル: jhj137.pdf"
species-2754,ウスオビクロマダラメイガ,Glyptoteles leucacrinella Zeller,和名変更,,フタモンマダラメイガとされていたEuzophera bigellaはG. leucacrinellaの誤同定。和名をウスオビクロマダラメイガに訂正,井上寛 (1986),,high,YES,,"ページ: 3, 蛾類通信 137号, ファイル: jhj137.pdf"
species-5364,キマエコノハ,Eudocima salaminia (Fabricius),新産地,,北海道で初記録。余市郡赤井川村冷水峠で1985年8月5日採集,佐々木謙 (1986),,high,,,"ページ: 6, 蛾類通信 137号, ファイル: jhj137.pdf"
species-2138,シロヒメシンクイ,Spilonota albicana (Motschulsky),食草追加,,食草：Lyonia ovalifolia var. elliptica ネジキ,富樫一次 (1986),,high,,OK,"ページ: 7, 蛾類通信 137号, ファイル: jhj137.pdf"
species-0707,ウスイロクチブサガ,Ypsolopha parenthesellus (Linnaeus),食草追加,,食草：Quercus salicina ウラジロガシ（これまでにコナラ、クヌギの記録あり）,富樫一次 (1986),,high,,OK,"ページ: 7, 蛾類通信 137号, ファイル: jhj137.pdf"
,ノブキヒラタマルハキバガ,Agonopterix mutuurai Saito,食草追加,,食草：Synurus pungens オヤマボクチ,富樫一次 (1986),,high,,OK,"ページ: 7, 蛾類通信 137号, ファイル: jhj137.pdf"
species-0829,キガシラヒラタマルハキバガ,Agonopterix ochrocephala Saito,食草追加,,食草：Angelica pubescens シシウド,富樫一次 (1986),,high,,OK,"ページ: 7, 蛾類通信 137号, ファイル: jhj137.pdf"
,オオエグリヒラタマルハキバガ,Acria emarginella (Donovan),食草追加,,食草：Mallotus japonicus アカメガシワ、Quercus mongolica var. grosseserrata ミズナラ（初記録）,富樫一次 (1986),,high,,OK,"ページ: 7, 蛾類通信 137号, ファイル: jhj137.pdf"
,ネズミエグリヒラタマルハキバガ,Acria ceramitis Meyrick,食草追加,,食草：Mallotus japonicus アカメガシワ（初記録）,富樫一次 (1986),,high,,OK,"ページ: 7, 蛾類通信 137号, ファイル: jhj137.pdf"
species-1354,シロオビクロキバガ,Compsolechia solemnella (Christoph),食草追加,,食草：Aruncus dioicus var. kamtschaticus ヤマブキショウマ（初記録）,富樫一次 (1986),,high,,OK,"ページ: 7-8, 蛾類通信 137号, ファイル: jhj137.pdf"
species-3333,ワタヘリクロノメイガ,Diaphania indica (Saunders),食草追加,,食草：Cucumis sativus キュウリ（既知：ワタ、アオイ、ヘチマ）,富樫一次 (1986),,high,,OK,"ページ: 8, 蛾類通信 137号, ファイル: jhj137.pdf"
species-3926,ナミガタウスキアオシャク,Jodis lactearia (Linnaeus),食草追加,,食草：Cercidiphyllum japonicum カツラ,富樫一次 (1986),,high,,OK,"ページ: 8, 蛾類通信 137号, ファイル: jhj137.pdf"
species-3786,ヒロバトガリエダシャク,Planociampa antipala Prout,食草追加,,食草：Acer palmatum var. matsumurae ヤマモミジ,富樫一次 (1986),,high,,OK,"ページ: 8-9, 蛾類通信 137号, ファイル: jhj137.pdf"
species-5806,ウスオビヤガ,Pyrrhia bifasciata (Staudinger),食草追加,,食草：Paulownia tomentosa キリ,富樫一次 (1986),,high,,OK,"ページ: 9, 蛾類通信 137号, ファイル: jhj137.pdf"
species-6155,マダラキボシキリガ,Dimorphicosmia variegata (Oberthür),食草追加,,食草：Tilia japonica シナノキ,佐々木明夫 (1986),,high,,OK,"ページ: 9, 蛾類通信 137号, ファイル: jhj137.pdf"
species-3779,ウスズミエダシャク,Medasina fuliginosa Inoue & Sato,新記録種,,新種として記載。奄美大島と沖縄本島から発見,"井上寛, 佐藤力夫 (1986)",,high,,,"ページ: 10-11, 蛾類通信 137号, ファイル: jhj137.pdf"
,ブンゴキョトウ,Leucania percussa Butler,新記録種,,日本未記録種（新称）。大分県佐伯市から1956年に採集されていた,杉繁郎 (1986),,high,,,"ページ: 12, 蛾類通信 137号, ファイル: jhj137.pdf"
species-4143,クロモンミヤマナミシャク,Xanthorhoe fluctuata malleola Inoue,新産地,,大雪山系から初記録。北海道での初記録,"楠祐一, 保田信紀 (1986)",,high,,,"ページ: 13, 蛾類通信 137号, ファイル: jhj137.pdf"
,ハイイロフタモンコブガ,Nola marginata (Hampson),新記録種,,日本未記録種として和歌山県西牟婁郡すさみ町江須崎で採集。井上寛博士同定,間野隆裕 (1986),,high,,,"ページ: 1, 蛾類通信 138号, ファイル: jhj138.pdf"
species-4614,ナチアオシャチホコ,Quadricalcarifera nachiensis (Marumo),新産地,,和歌山県那智山でタイプ標本が戦災で滅失後、和歌山県西牟婁郡すさみ町琴ノ滝で再発見,間野隆裕 (1986),,high,,,"ページ: 1, 蛾類通信 138号, ファイル: jhj138.pdf"
species-4894,フタモンコブガ,Nola exumbrata Inoue,新産地,,和歌山県西牟婁郡すさみ町江須崎で採集。本州初記録,間野隆裕 (1986),,high,,,"ページ: 1, 蛾類通信 138号, ファイル: jhj138.pdf"
species-6043,ヤクシマキリガ,Mesorhynchaglaea pacifica Sugi,新産地,,和歌山県西牟婁郡すさみ町江須崎で採集。紀伊半島初記録,間野隆裕 (1986),,high,,,"ページ: 2, 蛾類通信 138号, ファイル: jhj138.pdf"
,シナモンアツバ,Sinarella lunifera (Moore),新産地,,和歌山県東牟婁郡古座川町宇筒井で採集。本州未知、九州南部が既知産地の北限,間野隆裕 (1986),,high,,,"ページ: 2, 蛾類通信 138号, ファイル: jhj138.pdf"
species-5965,ウスキモンヨトウ,Oligia rufata Kardakoff,学名変更,,"Photedes fuxa rufata (Kardakoff) comb. n., stat. n. に変更",杉繁郎 (1986),,high,YES,,"ページ: 5-6, 蛾類通信 138号, ファイル: jhj138.pdf"
,ヒメクロシタナミシャク,Epilobophora nishizawai,新記録種,,台湾高雄県玉山より新種記載,矢崎克己 (1986),,high,,,"ページ: 5, 蛾類通信 138号, ファイル: jhj138.pdf"
,ニセカギバアオシャク,Tanaorhinus formosana Okano,学名変更,,stat. n. として独立種に格上げ,矢崎克己 (1986),,high,YES,,"ページ: 6, 蛾類通信 138号, ファイル: jhj138.pdf"
,ヒメトガリカレハ,Bharetta owadai,新記録種,,台湾台北県鳥来より新種記載。台湾からBharetta属初記録,岸田泰則 (1986),,high,,,"ページ: 10-11, 蛾類通信 138号, ファイル: jhj138.pdf"
species-4545,サツマスズメ,Theretra clotho (Drury),新産地,,静岡県下田市石廊崎で採集。本種の最北記録,岸田泰則 (1986),,high,,,"ページ: 9, 蛾類通信 138号, ファイル: jhj138.pdf"
species-4694,スゲドクガ,Laelia coenosa (Hubner),食草追加,,スゲの一種 Carex sp.、ヒメガマ Typha angustifolia、マツカサススキ Scirpus mitsukurianum を食草として確認,工藤広悦 (1986),,high,,OK,"ページ: 209-210, 蛾類通信 139号, ファイル: jhj139.pdf"
species-4545,サツマスズメ,Theretra clotho Drury,新産地,,伊豆半島伊東市岩室山が最初の記録（1968年7月1日）,岸田泰則 (1986),,high,,,"ページ: 210, 蛾類通信 139号, ファイル: jhj139.pdf"
species-4928,オレクギリンガ,Parhylophila celsiana (Staudinger),食草追加,,コゴメヤナギ Salix serissaefolia での営繭を確認,西尾規孝 (1986),,high,,OK,"ページ: 216, 蛾類通信 139号, ファイル: jhj139.pdf"
species-4485,コエビガラスズメ,Sphinx ligustri constricta,食草追加,,アベリア（ハナツクバネウツギ）Abelia grandiflora を食草として確認,"野崎敦士, 宮田彬 (1986)",,high,,OK,"ページ: 216, 蛾類通信 139号, ファイル: jhj139.pdf"
,ヒトツメキヨトウ,Aletia perstriata Sugi,学名変更,,Aletia iodochra Sugi をシノニムとして統合,"杉繁郎, 佐々木明夫 (1986)",,high,YES,,"ページ: 217-219, 蛾類通信 139号, ファイル: jhj139.pdf"
species-20688,カバイロキヨトウ,Aletia iodochra Sugi,学名変更,,Aletia perstriata Sugi のシノニムとした（syn.n.）,"杉繁郎, 佐々木明夫 (1986)",,high,YES,,"ページ: 217-219, 蛾類通信 139号, ファイル: jhj139.pdf"
species-4974,アジアキノカワガ,Blenina quinaria Moore,新記録種,,日本未記録種として大分県前津江村で採集（新称）,"宮田彬, 石松達堂 (1986)",,high,,,"ページ: 219, 蛾類通信 139号, ファイル: jhj139.pdf"
species-5171,ナカシロテンアツバ,Bomolocha albopunctalis (Leech),食草追加,,幼虫の食草がイワガネ Villebrunea frutescens（イラクサ科）であることを確認。大分県内各地で幼虫を採集し飼育。,野崎敦士 (1987),,high,,OK,"ページ: 225, 蛾類通信 140号, ファイル: jhj140.pdf"
species-5171,ナカシロテンアツバ,Bomolocha albopunctalis (Leech),学名変更,,これまでツマスミレアツバ Hypena sp.7として図示されていた雌が、実はナカシロテンアツバの雌であることが飼育により判明。,野崎敦士 (1987),,high,YES,,"ページ: 225, 蛾類通信 140号, ファイル: jhj140.pdf"
species-5979,コンゴウミドリヨトウ,Staurophora celsia (Linnaeus),新産地,,岡山県新見市木畝で1986年11月18日に雌1頭を採集。2年連続での採集記録。,矢野重明 (1987),,high,,,"ページ: 227, 蛾類通信 140号, ファイル: jhj140.pdf"
species-20769,オオシラホシヤガ,Eurois occulta (Linnaeus),新産地,,青森県初記録。青森県西津軽郡木造町ケ岡で1978年8月27日に2例を採集。青森県からの初報告。,松野武敏 (1987),,high,,,"ページ: 227, 蛾類通信 140号, ファイル: jhj140.pdf"
species-3824,コガタツマキリエダシャク,Zethenia sordidata sp. n.,新記録種,,琉球列島特産の新種として記載。これまで中国・台湾産のZ. contiguariaと混同されていた。,井上寛 (1987),,high,,,"ページ: 228, 蛾類通信 140号, ファイル: jhj140.pdf"
species-6147,オオシモフリヨトウ,Polia goliath (Oberthur),食草追加,,シリブカカシ Pasania glabraを新しい食餌植物として記録。,西尾規孝 (1987),,high,,OK,"ページ: 231, 蛾類通信 140号, ファイル: jhj140.pdf"
species-5477,ムクゲコノハ,Lagoptera juno (Dalman),食草追加,,シリブカカシ Pasania glabraから幼虫を採集。福岡県久留米市高良山で1986年8月28日採集。,行徳直己 (1987),,high,,OK,"ページ: 231, 蛾類通信 140号, ファイル: jhj140.pdf"
species-3862,ウスアカオビエダシャク,Meteima mediorufa (Bastelberger),和名変更,,新称。台湾からウスリーまで分布することが判明し、日本（山梨県）からも記録された。,井上寛 (1987),,high,YES,,"ページ: 232, 蛾類通信 140号, ファイル: jhj140.pdf"
species-5788,タカセモクメキリガ,Brachionycha albicilia Sugi,新産地,,長野県諏訪郡入笠山（標高1955m）で1986年5月2日に2雄を採集。タイプ標本以来22年ぶりの再発見。,神部昭夫 (1987),,high,,,"ページ: 235, 蛾類通信 140号, ファイル: jhj140.pdf"
,タイリクシロテンアオヨトウ,Trachea auriplena,和名変更,,新称として和名タイリクシロテンアオヨトウを提出,吉本浩 (1987),,high,YES,,"ページ: 1, 蛾類通信 142号, ファイル: jhj142.pdf"
species-5907,オオシロテンアオヨトウ,Trachea punkikonis lucilla,学名変更,,Trachea lucilla Sugiをstat. n.としてTrachea punkikonis lucillaに変更,吉本浩 (1987),,high,YES,,"ページ: 3, 蛾類通信 142号, ファイル: jhj142.pdf"
species-5907,オオシロテンアオヨトウ,Trachea punkikonis,学名変更,,Matsumura (1927)記載のTrachea punkikonisが本種の有効名であることを確認,吉本浩 (1987),,high,YES,,"ページ: 2, 蛾類通信 142号, ファイル: jhj142.pdf"
species-4642,イシダシャチホコ,Peridea graeseri tayal,新記録種,,台湾亜種として新亜種記載,"岸田泰則, 矢崎克己 (1987)",,high,,,"ページ: 5, 蛾類通信 142号, ファイル: jhj142.pdf"
,ベニスジヒメナミシャク,Hydrelia bicolorata,学名変更,,Venusia bella WilemanをHydrelia bicolorata (Moore)のシノニムとした,"岸田泰則, 矢崎克己 (1987)",,high,YES,,"ページ: 5, 蛾類通信 142号, ファイル: jhj142.pdf"
,ヒメゴマダラエダシャク,Percnia trivialis,新記録種,,新種として記載,"岸田泰則, 矢崎克己 (1987)",,high,,,"ページ: 6, 蛾類通信 142号, ファイル: jhj142.pdf"
,ヤクシマヒメハマキ,Notocelia yakushimensis,新産地,,本州未記録種として和歌山県から記録,間野隆裕 (1987),,high,,,"ページ: 9, 蛾類通信 142号, ファイル: jhj142.pdf"
,オオスカシクロバ,Illiberis psychina,新産地,,本州中部初記録として山梨県から記録,"岸田泰則, 猪又敏男 (1987)",,high,,,"ページ: 10, 蛾類通信 142号, ファイル: jhj142.pdf"
species-20642,フジシロミャクヨトウ,Heliophobus texturatus,食草追加,,ムラサキモメンズル Astragalus adsuergens（マメ科）を食草として確認,"中村正直, 山本光人 (1987)",,high,,OK,"ページ: 11, 蛾類通信 142号, ファイル: jhj142.pdf"
species-6034,ヒダカミツボシキリガ,Eupsilia hidakaensis,新記録種,,新種記載。北海道日高地方で発見された。,杉繁郎 (1987),,high,,,"ページ: 1, 蛾類通信 143号, ファイル: jhj143.pdf"
species-5424,アサマクビグロクチバ,Lygephila vulcanea,食草追加,,マルバハギ Lespedeza cyrtobotrya、キハギ L. buergeri、ヤマハギ L. bicolor、フジ Wisteria floribunda から幼虫を確認。これまでのカシワに加えてマメ科植物が主たる食草であることが判明。,西尾規孝 (1987),,high,,OK,"ページ: 3, 蛾類通信 143号, ファイル: jhj143.pdf"
,クジュウフュシャク,Inurois kyushuensis,食草追加,,ミヤマキリシマ Rhododendron kiusianum とミヤマハンノキ Alnus maximowiczii に産卵することを確認。,中島秀雄 (1987),,high,,OK,"ページ: 4, 蛾類通信 143号, ファイル: jhj143.pdf"
,キシダトガリバ,Psidopala kishidai,新記録種,,新種記載。台湾中部の山温泉、楽楽温泉で採集。,吉本浩 (1987),,high,,,"ページ: 6, 蛾類通信 143号, ファイル: jhj143.pdf"
