和名,学名,成虫時期,生態の備考
イチゴナミシャク,Mesoleuca albicillata (Linnaeus, 1758),"年1化, 6月下旬~8月",東北地方から関東地方~中部地方山地に産するが、局地的で少ない。6月下旬~8月に出現し、年1化と思われる。
チャオビマエモンナミシャク,Mesoleuca mandshuricata (Bremer, 1864),5月下旬~7月,北海道内の分布は局地的。5月下旬~7月に採れるが非常に少ない。
ヒトスジシロナミシャク,Epirrhoe hastulata (Hübner, 1813),"年1化, 5月上旬~6月",昼飛性で、年1化と思われる。北海道亜種は5月下旬~6月に出現する。本州亜種は5月上旬に出現する。
フタシロスジナミシャク,Epirrhoe supergressa (Butler, 1878),"年2化, 5~9月",全国的に低山地から山地に広く分布し、普通に産する。年2化、関東地方周辺では5~6月と7~8月に出現するが、地域によっては9月に得られる。
サザナミナミシャク,Entephria caesiata (Denis & Schiffermüller, 1775),7月下旬~8月中旬,高山蛾で分布山域は本州中央部に限られ、亜高山帯から高山帯のいわゆるハイマツ帯に多産する。7月下旬~8月中旬に出現する。高山帯の灯火採集で最も多く飛来する種といえるが、昼間も訪花して吸蜜する姿がよく見られる。
シロテンサザナミナミシャク,Entephria amplicosta Inoue, 1955),不明,北海道では大雪山の高山帯に多産し、亜高山帯でも見られる。本州ではまれな種といわれていたが、比較的広く分布することがわかってきた。各地で前種と混生する。
ナカモンキナミシャク,Idiotephria evanescens (Staudinger, 1897),"年1化, 4月中旬~5月中旬",関東地方周辺では平地から低山部では少なく、山地に多い。年1化、4月中旬~5月中旬に出現する。
モンキキナミシャク,Idiotephria amelia (Butler, 1878),"年1化, 4月上旬~5月中旬",全国的に分布し、関東地方周辺では平地から山地まで分布し、ごく普通。山地では前種と混生することが多い。年1化、春に出現する。関東地方周辺の低山地から山間部では4月上旬から出始め、山地では5月上旬~中旬に多く見られる。
ギフウスキナミシャク,Idiotephria debilitata (Leech, 1891),"年1化, 4月中旬~5月下旬",本州では関東地方以西の低山地から山地に多いが、東北地方からは記録がない。関東地方周辺では400m前後の低山地から1000m以上の山地まで分布するが、前2種に比べて産地はかなり限定されている。年1化、関東地方周辺の低山地では4月中旬から出始め、山地では5月上旬~下旬に出現する。
ヤナギナミシャク,Hydriomena furcata (Thunberg, 1784),"年1化, 7月中旬~8月中旬",本州では亜高山から高山帯に見られ、高山帯での灯火採集では高山蛾に混じってよく飛来する。年1化、地域によって7月中旬から出始めるが、中部地方山岳の高山帯では8月上旬~中旬に出現する。蛹越冬。
ヒロオビナミシャク,Hydriomena impluviata (Denis & Schiffermüller, 1775),"年1化または年2化, 5~8月",関東地方から中部地方山地では1000m前後の山地から高山帯まで見られるが、前種より少ない。7~8月に出現し、年1化と思われるが、地域によって5~6月、7~8月に出現し、2化の可能性がある。
ウスグロオオナミシャク,Triphosa dubitata (Linnaeus, 1767),"年1化, 7~8月",関東地方周辺では山地に産する。年1化、7~8月に出現し、洞窟などの中で越冬して、翌春に交尾産卵する。
マエモンオオナミシャク,Triphosa sericata (Butler, 1879),"年1化, 7~11月",年1化、経過習性は前種と同様で、夏に羽化した成虫は、洞穴などに入って、越夏、越冬し、翌春に交尾産卵すると思われる。その年の7~8月に羽化し、10月中旬~11月に灯火採集で得られる。
クモオビナミシャク,Triphosa umbraria (Leech, 1891),"年1化, 7月中旬~11月18日",本州では主に中部地方以西に産するが非常に少ない。7月中旬~9月上旬に出現し、年1化と思われるが、佐渡島や新潟県では10月、11月に得られており、地域によって経過習性が異なる可能性がある。
クロヤエナミシャク,Triphosa vashti (Butler, 1878),"7~10月",分布は局地的で、本州では長野県、新潟県、石川県の1000m前後の山地で採れているが、非常に少ない。7~8月に出現するが、地域によっては9月下旬~10月に得られる。
シロモンオオナミシャク,Rheumaptera albiplaga (Oberthür, 1866),"年1化, 7~8月",非常にまれな種であるが、八ヶ岳周辺の本沢温泉、白駒池、麦草峠などの針葉樹林帯で7~8月に得られている。
キボシヤエナミシャク,Rheumaptera neocervinalis Inoue, 1982,"年1化または年2化, 4月中旬~8月",年1化、関東地方・中部地方山地では5~8月に採れているが、地域によっては4月中旬に得られており、2化性の地域があるかもしれない。
ウスベニナミシャク,Rheumaptera hedemannaria (Oberthür, 1880),"年1化, 3月下旬~5月中旬",関東地方以西の本州と四国に産するとされていたが、宮城県や九州でも得られている。局地的で少ない。年1化、関東地方周辺では低山地で3月下旬~4月に出現し、標高1000m以上の山地では4月下旬~5月中旬に見られる。
ヤエナミシャク,Rheumaptera undulata (Linnaeus, 1758),不明,本州では中部地方山地で採れているが、局地的でまれな種。
ツマグロヤエナミシャク,Rheumaptera inanata (Christoph, 1881),"年1化, 7~8月",本州、四国に産するが、局地的でかなりまれである。関東地方、中部地方では標高2000mをこえる亜高山帯から高山帯で得られている。年1化、中部地方山地では7~8月に出現する。
シロヤエナミシャク,Rheumaptera flavipes (Ménétriès, 1858),"年1化, 6~7月",年1化、昼飛性で6~7月に出現する。各地とも個体数は非常に少ない。
オイワケヤエナミシャク,Rheumaptera latifasciaria (Leech, 1891),年1化,宮城県以南に産し、中部地方山地や近畿地方などで多産する地域はあるが、局地的で得難い種である。年1化、前種同様、昼飛性である。
オオシロオビクロナミシャク,Rheumaptera hastata (Linnaeus, 1758),"年1化, 5~6月",年1化、北海道で5~6月に採れるが、個体数は少なく得難い種である。
サカハチクロナミシャク,Rheumaptera hecate (Butler, 1878),"2化性, 5~7月",関東地方周辺では山地の高原地に多い。5~6月と7月に出現し、2化性と思われる。昼飛性で、晴天の日中に飛翔して訪花する。また、湿地などに多数の個体が集まって吸水する。
エゾヤエナミシャク,Philereme corrugata (Butler, 1884),"年1化, 6~7月",局地的で、非常にまれである。年1化、6~7月に出現する。
トビスジヤエナミシャク,Philereme transversata (Hufnagel, 1767),"年1化, 7~8月",山梨県、静岡県でも採れているが、長野県で比較的得られている。局地的でまれな種である。年1化、7~8月に出現する。
ネグロウスベニナミシャク,Photoscotosia atrostrigata (Bremer, 1864),"5~6月, 9~10月",北海道では本種が多く、本州では南下するにつれて次種が多くなる。本州中部地方では5~6月と9~10月に出現する。
オオネグロウスベニナミシャク,Photoscotosia lucicolens (Butler, 1878),"年2化または年3化, 4~10月",全国的に産し、関東地方~中部地方では平地部から標高2000mをこえる亜高山帯まで広い分布域をもち、各地でごく普通。年2化、前種とは出現期にややずれがあり、関東地方~中部地方では6~7月と10月に出現する。暖地では4月より出現し、本州中部地方では見られない8月にも出現することから、年3化の可能性が高い。
テンヅマナミシャク,Telenomeuta punctimarginaria (Leech, 1891),"年2化, 4月下旬~8月下旬",全国的に普通で、平地から山地まで広く産する。4月下旬から8月下旬まで見られ、年2化と思われる。
マルモンシロナミシャク,Gandaritis evanescens (Butler, 1881),"年1化, 6~8月",全国的に低山地~亜高山帯まで広く分布、各地で普通。年1化、関東地方周辺では6~7月に、北海道では7月中旬~8月上旬に出現する。
オオナミシャク,Gandaritis maculata Swinhoe, 1894,"年1化, 5~8月",全国的に産するが、同属の他種より少ない。年1化、関東地方周辺の低山地~山地では5~6月に、北海道では7~8月上旬に出現する。
キベリシロナミシャク,Gandaritis placida (Butler, 1878),"年1化, 7~8月",全国的に分布し、関東地方周辺では1000m前後の山地にごく普通に産する。年1化、7~8月に出現する。
ツマキシロナミシャク,Gandaritis whitelyi (Butler, 1878),"年1化, 6~8月",全国的に分布し、低山地から山地に産する。各地に普通に見られる。年1化、関東地方・中部地方の山地では6~7月、北海道では7~8月に出現する。
キマダラオオナミシャク,Gandaritis fixseni (Bremer, 1864),"年2化または年3化, 6~11月",全国的に広く分布し、関東地方周辺では丘陵地から山地まで産する普通種。関東地方周辺の丘陵から低山地では6月から11月まで見られ、おそらく年3化。山地では7~8月と9~10月に出現し、年2化と思われる。奄美大島では年間を通して連続的に発生し、3化以上すると思われる。
キガシラオオナミシャク,Gandaritis agnes (Butler, 1878),"年1化, 6~8月",全国的に分布し、丘陵部から山地まで広く産し、各地に普通だが前種より少ない。年1化、関東地方周辺の低山地では6~7月に出現するが、寒冷地や中部地方山地では7~8月に得られる。
ナミガタシロナミシャク,Callabraxas compositata (Guenée, 1857),5~7月,関東地方周辺では低山地から山地まで採れるが多くない。山地では6~7月に出現するが、低山地や暖地では5月から得られる。
チョウセンハガタナミシャク,Eulithis prunata (Linnaeus, 1758),不明,北海道では少なくないが、本州では静岡県大井川上流で採れているのみで、非常にまれ。
キマダラナミシャク,Eulithis testata (Linnaeus, 1761),8~9月,北海道では道東で8~9月に採れているが少ない。
ウストビモンナミシャク,Eulithis ledereri (Bremer, 1864),"年2化, 6~11月",全国的に平地から山地まで広く産し、各地でごく普通。年2化、関東地方周辺では6~7月と9~10月に出現するが、地域によって11月上旬まで見られる。
ヨコジマナミシャク,Eulithis convergenata (Bremer, 1864),"年2化, 6月下旬~9月",全国的に広く分布する。平地から山地まで産し、各地で普通に見られる。年2化、関東地方周辺の山地では6月下旬~7月と8月下旬~9月に出現する。
キジマソトグロナミシャク,Eulithis pyropata (Hübner, 1809),"年1化, 7月",分布は局地的で個体数はきわめて少ない。年1化、7月に出現する。
アトクロナミシャク,Lampropteryx minna (Butler, 1881),"2化性, 5~9月",全国的に広く分布し、低山地から高山帯まで産し、各地で普通。関東地方周辺では5~6月と8~9月に出現し、2化性と思われる。
チビアトクロナミシャク,Lampropteryx otregiata Metcalfe, 1917),6~8月,本州では、東北地方の山地と関東地方、中部地方の高山帯に産する。6~8月に出現する。
ヒダカアトクロナミシャク,Lampropteryx suffumata (Denis & Schiffermüller, 1775),"年1化, 5月中旬~6月上旬","5月中旬から6月上旬に採れており、年1化と思われる。"
ナワメナミシャク,Lampropteryx jameza (Butler, 1878),"年2化の可能性あり, 5~9月",北海道では5~6月、本州では9月に得られており、2化の可能性もあるが、北海道では2化目と思われる時期の個体が採れていない。
ナカクロモンシロナミシャク,Cosmorhoe ocellata (Linnaeus, 1758),"年1化, 8月",高山帯では8月に得られており、年1化と思われる。
セスジナミシャク,Evecliptopera illitata (Wileman, 1911),"年2化, 4月中旬~10月",本州では各地に広く産し、低山地から山地まで採れる普通種である。年2化、関東地方周辺では4月中旬~6月と9~10月に出現する。高標高の地域では7~8月に得られる。
ヒメハガタナミシャク,Ecliptopera silaceata (Denis & Schiffermüller, 1775),"年1化, 8月",年1化、8月に出現し、北海道では全域に産する。
オオハガタナミシャク,Ecliptopera umbrosaria (Motschulsky, 1861),多化性, 5月上旬~10月,全国的に広く分布し、平地から山地まで産する普通種。関東地方周辺では5月上旬~6月、8月下旬~10月に出現し、2化性。南西諸島では年間を通して出現し、多化性と思われる。
セキナミシャク,Ecliptopera capitata (Herrich-Schäffer, 1840),"2化性, 5~8月",関東地方周辺では山地に分布し、比較的少ない。5~6月と7~8月に出現し、2化性と思われる。
ソトキナミシャク,Ecliptopera pryeri (Butler, 1881),不明,関東地方周辺では山地から高山帯で得られるが多くない。
アミメナミシャク,Eustroma reticulata (Denis & Schiffermüller, 1775),"年1化, 7~9月",関東地方~中部地方では比較的高標高の山地で採れるが少ない。年1化、関東地方周辺では7~8月に、北海道では8~9月に得られる。
ミヤマアミメナミシャク,Eustroma aerosa (Butler, 1878),"年１化または年2化, 6~10月",本州では標高1000m前後以上の山地で得られる。7~8月に出現し、1化性と思われる。しかし、関東地方周辺の山間部では6月から見られ、10月にも得られているので、2化性の地域があると思われる。
キアミメナミシャク,Eustroma japonica Inoue, 1986),"2化性, 5~9月",関東地方周辺では前種より低標高の低山地から産するが、混生地も各地で見られる。5~9月まで見られ、2化性と思われる。
ハガタナミシャク,Eustroma melancholica (Butler, 1878),"年2化または年3化以上, 4月下旬~10月上旬",全国的に低山地から亜高山帯まで広く産し、各地にごく普通に見られる。北海道や本州の山地では春と秋に出現し、2化性と思われる。関東地方周辺の低山地では4月下旬から10月上旬まで連続的に得られており、3化以上の可能性がある。
ホソスジナミシャク,Lobogonodes complicata (Butler, 1879),"年2化, 4~8月",関東地方周辺では平地から山地まで得られるが、低山地に多い。4~5月と7~8月に出現し、年2化と思われる。
シロホソスジナミシャク,Lobogonodes multistriata (Butler, 1889),多化性, 4~11月,関東地方周辺の低山地から山地に産するが、前種より少ない。4~8月に出現し、地域によって11月中旬まで採れており、多化性と思われる。
キホソスジナミシャク,Lobogonodes erectaria (Leech, 1897),"年1化または年2化, 4~7月",関東地方周辺では低山地から山地にかなり普通に産する。平地では4~6月、山地では6~7月に出現し、1化性と思われるが、暖地では2化性の可能性がある。
ビロードナミシャク,Sibatania mactata (Felder & Rogenhofer, 1875),"年2化または年3化, 5~11月",全国的に分布、低山地から山地まで広く産し、各地に多産する。6~7月と9~10月に出現し、2化性と思われる。暖地では5~11月まで見られ、3回出現する可能性がある。
キスジビロードナミシャク,Sibatania arizana (Wileman, 1911),3~10月,各島で採れているが、個体数は多くない。3~10月まで採れており、年間を通じて出現する。
トビモンシロナミシャク,Plemyria rubiginata (Denis & Schiffermüller, 1775),"年1化, 6~8月",関東地方周辺では低山地から山地で得られる。6~7月に出現し、北海道や中部地方山地では7~8月に採れ、年1化と思われる。
ウチジロナミシャク,Dysstroma truncata (Hufnagel, 1767),"年1化, 7~8月",分布は本州中央部の高山帯に限られ、飛騨山脈、御嶽山、八ヶ岳、赤石山脈、木曽山脈に産する。高山蛾の中でも高標高の地域に生息し、地域によっては多産する。高山帯で7~8月に出現する。
フタテンナカジロナミシャク,Dysstroma cinereata (Moore, 1867),"年2化, 5~11月",関東地方周辺では低山地に多く産する。年2化、5~6月と10~11月に出現する。
ウスキナカジロナミシャク,Dysstroma infuscata (Tengström, 1869),"年1化, 7~8月",本州では中部地方の亜高山帯から高山帯に広く分布し、7~8月に出現して多産する。年1化と思われる。
ツマキナカジロナミシャク,Dysstroma citrata (Linnaeus, 1761),"年1~3化, 5~11月",全国的に分布、平地から高山帯まで産し、各地にごく普通に見られる。平地から低山地では5~11月まで出現し、年2~3化。亜高山帯から高山帯では年1化で、9~10月に出現するが、11月にも得られている。成虫越冬の可能性が高い。
アルプスナカジロナミシャク,Dysstroma pseudimmanata Heydemann, 1929,8月,分布は赤石山脈の高山帯のみに限られる。赤石山脈では最北の仙丈岳から南の光岳まで全域に産する。高山蛾の中では比較的少ないが、仙丈岳では多産する。8月に出現する。
マエキナカジロナミシャク,Dysstroma korbi Heydemann, 1929),"年2化, 5~6月, 9~10月",北海道では東部に普通に産し、本州では関東地方から中部地方の低山地から山地に産する。5~6月と9~10月に出現し、年2化と思われる。
シロマダラナミシャク,Dysstroma albicoma (Inoue, 1954),"年1化, 7~8月",本州の関東地方・中部地方の亜高山から高山帯に産するが、比較的少ない。年1化、7~8月に出現する。
ネアカナカジロナミシャク,Paradysstroma corussaria (Oberthür, 1880),"年1化, 8月下旬~10月",本州では、東北地方、関東地方、中部地方の山地の亜高山帯で得られるが比較的少ない。年1化、関東地方周辺の山地では8月下旬~10月に出現する。
キオビハガタナミシャク,Thera variata (Denis & Schiffermüller, 1775),"年1化, 6~7月",本州では東北地方より産し、関東地方周辺では山地から亜高山帯まで得られる。年1化、6~7月に出現する。
オオクロオビナミシャク,Praethera praefecta (Prout, 1914),"年1化, 5~6月",関東地方周辺では山地部から亜高山帯まで得られる。関東地方から中部地方の山地では5~6月に出現し、年1化と思われる。
ミヤマクロオビナミシャク,Praethera anomala (Inoue, 1954),"年1化, 7月中~下旬","年1化、7月中~下旬に採れている。"
クロオビナミシャク,Pennithera comis (Butler, 1879),"年1化または年2化, 6~11月",関東地方から中部地方では低山地から高山帯まで広く産し、ごく普通。低山地では10~11月に出現し、山地から亜高山帯では8月下旬~9月に得られる。多くの地域では年1化と思われるが、6~7月に少数の個体が採れており、2化性の地域があるのかもしれない。
ウスクロオビナミシャク,Pennithera abolla (Inoue, 1943),10~11月,関東地方周辺では低山地から山地まで分布し、10~11月に出現するがあまり多くない。
モトクロオビナミシャク,Heterothera quadrifulta (Prout, 1928),"年1化, 7~8月",本州中央部の亜高山から高山帯に分布し、年1化、7~8月に出現する。
ソウウンクロオビナミシャク,Heterothera taigana (Djakonov, 1926),7~8月,北海道では、利尻島、大雪山、芦別岳、夕張岳に広く分布する。本州での最北産地は西吾妻山、西限は加賀白山で、本州中部地方の高山帯に広く産する高山蛾である。高山帯で7~8月に出現する。
マダラクロオビナミシャク,Heterothera serrataria (Prout, 1914),"年1化, 6月中旬~7月下旬",北海道大雪山の亜高山帯に産する。年1化、6月中旬から7月下旬に出現する。本種の生息環境は、針葉樹林、あるいは針広混交樹林の亜高山帯で、それ以上の高山帯には進出は見られない。
シロシタトビイロナミシャク,Heterothera postalbida (Wileman, 1911),"年2化, 5~11月",全国的に分布し、平地から山地まで広く産する。各地でごく普通に見られる。年2化、5~6月と10~11月に出現する。
フタクロテンナミシャク,Xenortholitha propinguata (Kollar, 1844),"年2化, 5~9月",本州では低山地から山地まで産し、比較的普通に見られる。年2化で、関東地方周辺の低山地では5~6月と9月に出現する。
ナミスジフユナミシャク,Operophtera brunnea Nakajima, 1991,"年1化, 11月中旬~2月中旬",日本では北海道から九州まで産する。全国的に平地から亜高山帯下部まで、各地にごく普通に見られる。年1化、高標高の地域では11月中旬から出現し、12月中旬まで見られる。低山帯では11月下旬から12月下旬まで産する。関東地方周辺の平地では12月下旬から出始め、1月下旬まで得られる。
イチモジフユナミシャク,Operophtera rectipostmediana Inoue, 1942,"年1化, 11月中旬~2月",本州では全域に産し、九州では福岡県と熊本県から記録があるが、採集例は少ない。年1化、関東地方周辺の山地や東北地方の平地では11月中旬から12月上旬に出現する。平地から低山地では12月中旬か1月下旬まで見られる。♀は地域によって2月まで得られる。
サザナミフユナミシャク,Operophtera japonaria (Leech, 1891),"年1化, 11月中旬~12月下旬",関東地方周辺の平野部の雑木林、とりわけクヌギを主体とする林に見られるが、生息域が宅地化など開発によって影響を受けている。年1化、12月上旬から下旬に見られ、栃木県、長野県では11月中旬から出現する。
ミヤマフユナミシャク,Operophtera nana Inoue, 1955,"年1化, 10月下旬~11月中旬",関東地方、中部地方の山地のカラマツ林に産する。年1化、中部地方山地では10月下旬から11月中旬まで出現し、11月上旬がピークとなる。
クロオビフユナミシャク,Operophtera relegata Prout, 1908,"年1化, 11月上旬~1月中旬",全国的に分布し、平地から亜高山下部まで広く産し、各地に多い。年1化、関東地方周辺の平地では12月中旬から1月中旬に出現し、12月下旬にピークを迎え、山地では11月上~下旬に出現する。
ヒメクロオビフユナミシャク,Operophtera crispifascia Inoue, 1982,"年1化, 10月下旬~12月上旬",全国的に分布し、ブナ帯に広く産する。高尾山では11月下旬~12月上旬に出現し、山地部では10月下旬~11月中旬に出現する。
アキナミシャク,Epirrita autumnata (Borkhausen, 1794),"年1化, 10月中旬~11月上旬",生息域は関東地方周辺では亜高山帯下部の針広混交樹林である。年1化、10月中旬から11月上旬に出現する。
ミドリアキナミシャク,Epirrita viridipurpurescens (Prout, 1937),"年1化, 10月上旬~1月中旬",関東地方・中部地方では低山地から山地に産し、少なくない。年1化、11月中旬から12月上旬に出現する。北海道では10月上旬から見られ、静岡県修善寺町では1月中旬に得られる。
ナカオビアキナミシャク,Nothoporinia mediolineata (Prout, 1914),"年1化, 11月上旬~12月上旬",関東地方周辺では丘陵地から亜高山帯下部まで広い地域で多産する。年1化、11月上旬から12月上旬まで出現するが、地域によって出現期に幅がある。
シロオビマルバナミシャク,Solitanea defricata (Püngeler, 1903),"年1化, 6~8月",青森県から福井県、岐阜県まで採れており、関東地方周辺では山地で多産する。山間部では6~7月に、高標高の地域では8月に出現し、年1化と思われる。
トビスジトガリナミシャク,Zola terranea (Butler, 1879),"年2化, 3月, 9~10月",本州は東北地方から産し、各地で平地から低山地に産する。3月と9~10月に出現し、年2化と思われる。
ミヤマナミシャク,Venusia cambrica Curtis, 1839),"年1化, 6月下旬~8月",関東地方から中部地方では山地に産するが、亜高山帯から高山帯に非常に多産する。年1化、亜高山から高山帯では7~8月に出現するが、低標高の地域では6月下旬から得られる。
クロスジカバイロナミシャク,Venusia laria Oberthür, 1893),"年1化, 6月下旬~8月",本州ではおもに関東地方から中部地方の山地に産し、比較的多い。年1化、7~8月に出現し、地域によって6月下旬から得られる。
キモンハイイロナミシャク,Venusia blomeri (Curtis, 1832),"年1化, 6月中旬~8月",関東地方・中部地方では山地に産するが、比較的少ない。年1化で、6月中旬から出現する地域があるが、主に7~8月に得られる。
マエモンハイイロナミシャク,Venusia semistrigata (Christoph, 1881),"年1化, 4月上旬~5月下旬",本州では、関東地方から中部地方の山間部~亜高山帯で得られる。年1化、4月上旬~5月下旬に出現し、前種より多く見られる。
フタモンコナミシャク,Venusia megaspilata (Warren, 1895),"年1化, 3月下旬~5月上旬",年1化、関東地方周辺の低山地では3月下旬~4月、山地では4~5月上旬に出現する。
ナナスジナミシャク,Venusia phasma (Butler, 1879),"年1化, 9月中旬~10月下旬",関東地方周辺では平地から山地まで広く産し、各地で普通に見られる。年1化、秋の蛾で関東地方周辺では9月中旬~10月下旬に出現する。
キスジハイイロナミシャク,Hydrelia sylvata (Denis & Schiffermüller, 1775),"年1化, 4月下旬~7月下旬",関東地方周辺では低山地から山地まで産し、各地で普通。年1化。4月下旬から出始め、5~6月に得られる。標高1500m前後の山地では6月中旬~7月下旬に多く見られる。
ホソスジハイイロナミシャク,Hydrelia gracilipennis Inoue, 1982),"年1化, 7~8月",本州では前種に比べて生息域はせまく、関東地方から中部地方の亜高山帯の針広混交樹林に産する。年1化、7~8月に出現する。
チビヒメナミシャク,Hydrelia shioyana (Matsumura, 1927),"年2化, 5~8月",関東地方周辺では主として低山地に分布する。5~8月に出現し、年2化と思われる。
カバイロヒメナミシャク,Hydrelia adesma Prout, 1930),"年2化, 5~8月",関東地方、中部地方での分布域は前種と同様に低山地に産し、前種と混生する地域が多い。5~8月に得られる。幼虫が8月に得られ、8月中に羽化しており、年2化の可能性が高い。
テンスジヒメナミシャク,Hydrelia nisaria (Christoph, 1881),"年2化, 4月下旬~8月上旬",全国的に分布し、平地から山間部に産する。関東地方周辺では4月下旬~6月中旬と7月上旬~8月上旬に出現し、年2化と思われる。
マダラウスナミシャク,Hydrelia bicauliata Prout, 1914),"年1化, 4~6月",本州では関東地方以西の山地に産するが、比較的少ない。年1化、4~5月に出現し、北海道では5月下旬~6月に採れる。
キヒメナミシャク,Hydrelia flammeolaria (Hufnagel, 1767),"年1化, 5~8月",本州では東北地方から関東地方、中部地方の山地から高山帯まで生息域は広く、普通に産する。5~6月に出現し、高山帯では7~8月に得られ、年1化と思われる。
ハンノナミシャク,Euchoeca nebulata (Scopoli, 1763),"年1化, 5月中旬~7月",関東地方周辺では、山間部から亜高山帯まで分布し、多産する。山地では6~7月に出現し、山間部では5月中旬から得られる。年1化と思われる。
ヘリスジナミシャク,Eschatarchia lineata Warren, 1894),"年1化, 3~5月",関東地方、北陸地方以西に広く分布するが、秋田県、宮城県、山形県で得られている。年1化、関東地方周辺の低山地では4~5月に出現し、南西諸島では3月から得られる。
ウステンシロナミシャク,Asthena amurensis (Staudinger, 1897),7~8月,本州では、主に関東地方から中部地方の山地に産する。7~8月に出現し、個体数は少ない。
ムスジシロナミシャク,Asthena nymphaeata (Staudinger, 1897),"年2化, 5~9月",全国的に分布し、平地から山地まで広く産し、各地でごく普通。関東地方周辺の平地から低山地では5~9月に得られており、少なくとも年2化し、蛹越冬。
マンサクシロナミシャク,Asthena hamadryas Inoue, 1976),年2化、蛹越冬,関東地方周辺では山地に産するが、前種の生息域が広いので混生する地域が多い。出現期、経過習性は前種とほぼ同じで、年2化で蛹越冬である。
キムジシロナミシャク,Asthena corculina Butler, 1878),"年2化, 5~9月",全国的に分布し、平地から低山地で得られ普通。5~9月に得られ、年2化と思われる。
フタマタシロナミシャク,Asthena ochrifasciaria Leech, 1897),"年2化, 5月, 8~9月",本州、四国、九州、対馬に分布する。関東地方周辺では低山地から山地まで産し、比較的普通に見られる。年2化、5月中旬~6月と8~9月上旬に出現する。
カラフトシロナミシャク,Asthena sachalinensis (Matsumura, 1925),"年1化, 7~8月",本州では関東地方・中部地方の亜高山帯下部の針広混交樹林に産する。7~8月に出現し、年1化と思われる。
キマダラシロナミシャク,Asthena octomacularia Leech, 1897),"年2化の可能性あり, 5~8月",関東地方、中部地方では、山間部から山地まで得られ、多い。5~8月に出現し、年2化の可能性が高い。
スカシシロナミシャク,Asthena undulata (Wileman, 1915),"5~12月",日本では熊本県宇土市で1♂採れているのみで、定着性については、今後の調査が必要である。台湾では北部から中部の山地に産し、5~6月、8月、10~12月に得られている。
ハガタチビナミシャク,Hastina subfalcaria (Christoph, 1881),5月下旬~7月,本州では、関東地方や中部地方の山地に産するが少ない。5月下旬~7月に得られる。
フタオモドキナミシャク,Macrohastina azela (Butler, 1878),5月下旬~7月,関東地方周辺では山地に産するが、あまり多くない。5月下旬~7月に出現する。
キイロナミシャク,Pseudostegania defectata (Christoph, 1881),5~9月,関東地方、中部地方では山間部から産し、標高1000mくらいのブナ帯に多産する。5~9月に得られる。
セグロナミシャク,Laciniodes unistirpis (Butler, 1878),"年2化, 5~9月",関東地方周辺では低山地から山地まで産し、各地でごく普通に見られる。5~9月に出現し、年2化と思われる。
セジロナミシャク,Laciniodes denigrata Warren, 1896),"5月下旬~8月",全国的に分布し、低山地から亜高山帯下部まで産し、各地でごく普通に見られる。関東地方、中部地方の山地では、前種と混生する地域が多い。山地では7~8月に出現し、低山地では5月下旬から得られる。
キベリヒメナミシャク,Eois grataria (Walker, 1861),春と夏,沖縄島では春と夏に採れているが少ない。
マエチャナミシャク,Acolutha pictaria (Moore, 1888),不明,本州では伊豆半島で得られているが、定着性は明らかではない。四国、九州でも採れているが、南西諸島では普通に見られ、年間を通して発生している。
ハガタマエチャナミシャク,Acolutha pulchella (Hampson, 1891),春と夏,本州では和歌山県和歌山市で幼虫から飼育羽化されており、定着していると思われる。四国、九州でも採れているが、産地は限られている。奄美大島でも前種に比べるとかなり少ない。経過習性は不明だが、春と夏に得られる。
アカモンコナミシャク,Palpoctenidia phoenicosoma (Swinhoe, 1895),"年2化, 5~8月",本州では東北地方で記録があるが、主に関東地方以西に分布する。関東地方周辺では低山地から山地で得られるが少ない。5~6月と7~8月に出現し、年2化と思われる。
ハネナガナミシャク,Physetobasis dentifascia Hampson, 1895),"年1化, 5~6月",本州では東海地方以西に産するが、あまり多くない。5~6月に出現し、年1化と思われる。
ハマダラナミシャク,Pomasia denticlathrata Warren, 1893),不明,九州でも採れているが、主に南西諸島に産し、年間を通して連続的に発生している。
ウスカバスジナミシャク,Martania taeniata (Stephens, 1831),8月,長い間、次種と混同されていたため、北海道と本州から記録されているだけであった。
ヒメカバスジナミシャク,Martania saxea (Wileman, 1911),"年1化, 7~8月",関東地方・中部地方では山地から高山帯まで多産する。東北地方や北海道では平地や低山地でも得られる。年1化、7~8月に出現する。
コカバスジナミシャク,Martania fulvida (Butler, 1881),"年1化または年2化, 5~10月",全国的に広く分布し、関東地方・中部地方では低山地から高山帯まで産し、各地で多産する。年2化、関東地方周辺の山地では5~6月と9~10月に出現する。高山帯では7~8月に出現し、年1化。
キオビカバスジナミシャク,Martania minimata (Staudinger, 1897),6~8月,関東地方・中部地方では標高1000m前後のブナ帯で得られるが、比較的少ない。7月中旬~8月に出現する。九州では6~7月に得られる。
クロカバスジナミシャク,Gagitodes parvaria (Leech, 1891),"年1化, 8~10月",関東地方周辺では低山地から山地に産するが少ない。低山地では9月中旬~10月に、中部地方山地では8~9月に得られ、年1化と思われる。
ヤハズナミシャク,Gagitodes sagittata (Fabricius, 1787),"年1化, 7~8月",年1化、関東地方周辺の山間部では7~8月に得られている。
ミヤマチビナミシャク,Perizoma japonica Inoue, 1955),"年1化, 7月下旬~8月",分布は本州中央部に限られる高山蛾である。飛騨山脈、赤石山脈、加賀白山の高山帯に産するが、尾瀬、群馬県利根地方でも得られている。年1化、7月下旬~8月に出現する。
