和名,学名,成虫時期,生態の備考
クロモンキリバエダシャク,Psyra bluethgeni (Püngeler, 1903),"年1化、3-4月","年1化で3-4月に出現する春の蛾である。蛹で越冬。低山地に普通に産する。"
ミスジキリバエダシャク,Psyra boarmiata (Graeser, 1892),"年2化、5, 8-9月","年2化し、5月頃と8-9月に出現。比較的山地に生息する。"
サラサエダシャク,Epholca arenosa (Butler, 1878),"年1-2化、5-9月","本州以南ではおおむね5-6月と8-9月に出現し、年2化するが、北海道や本州でも高標高の地では年1化と思われる。蛹で越冬。静止時に翅を上方に合わせて止まる。各地に普通である。"
シロモンクロエダシャク,Proteostrenia leda (Butler, 1878),"年1化、6-8月","中部地方で5月下旬-6月上旬に得られた幼虫から7月上中旬に羽化しているので、年1化かもしれない。山地に普通に産する。"
モンキクロエダシャク,Proteostrenia pica Wileman, 1911),"年1化、7月下旬-8月中旬",比較的標高の高い山地にいるが、あまり多くない。
ハグルマエダシャク,Synegia hadassa (Butler, 1878),"年1化、5-9月","5月から9月頃まで見られるが、地域による発生期の違いと成虫の生存期間の長さによるもので、おそらく年1化であろう。早春に若齢幼虫が見られるので卵越冬と推定。"
アベリアハグルマエダシャク,Synegia pallens Inoue, 1982),"年1化、5-6月",年1化で5-6月に出現する。前種同様、早春に若齢幼虫が見られるので卵越冬と推定。
マルハグルマエダシャク,Synegia ichinosawana (Matsumura, 1925),"年2化、5-8月","5-6月と7-8月に出現する。年2化で卵越冬と推定される。"
スジハグルマエダシャク,Synegia limitatoides Inoue, 1982),"年1化、6-8月","6-8月に得られており、おそらく年1化。本属の他種と同様に卵越冬と推定。"
オオツカハグルマエダシャク,Synegia ohtsukai Sato, 1990),6月、8月,既知記録は少なく周年経過は不明である。
ミナミハグルマエダシャク,Synegia masuii Sato, 1990),6-8月,6月と8月に得られているが、既知記録は少なく周年経過は不明。
クロハグルマエダシャク,Synegia esther Butler, 1881),"年1-2化、5-10月",本州中部地方では5-10月に得られており、年1-2化。南西諸島では、1月から12月までほぼ毎月採集されている。
オオハグルマエダシャク,Borbacha pardaria (Guenée, 1858),年複数回,沖縄島で10月に得られた幼虫が11月に羽化している。西表島では2,3,5,8,10,12月に成虫が採集されている。
コトビスジエダシャク,Petelia rivulosa (Butler, 1881),"年1化、6-7月","新潟県の低山地では5-6月に幼虫が見られ、6-7月に羽化するので、年1化で卵か若齢幼虫で越冬するものと推定している。"
ヨスジアカエダシャク,Astygisa morosa (Butler, 1881),"年2化、5-9月","年2化し、5-6月と7-9月に出現する。蛹越冬であろう。"
オオヨスジアカエダシャク,Astygisa chlororphnodes (Wehrli, 1936),"年2化、5-9月","前種と同様、5-6月と7-9月に出現する。蛹越冬であろう。前種より普通に産するが、混生している地域もある。"
ウラキトガリエダシャク,Hypephyra terrosa Butler, 1889),6-9月,6月から9月頃まで見られるが、周年経過は不明。
クガニエダシャク,Hyperythra lutea (Stoll, 1781),8月,西表島船浦で2001年8月13日に採集された1♀しか知られていない。台湾では7月に得られている。偶産種かもしれない。
ツマキエダシャク,Platycerota incertaria (Leech, 1891),"年2-3化、4-10月",地域によって年2-3化するのであろう。蛹で越冬。
アオシャク科,GEOMETRINAE,不明,不明
ホソバハラアカアオシャク,Chlorissa anadema (Prout, 1930),"年2化、5-9月","年2化、関東地方周辺では5-6月と8-9月に出現し、普通に産する。"
ナミスジコアオシャク,Idiochlora ussuriaria (Bremer, 1864),"年2-3化、6-10月","関東地方周辺の平地から低山地では6-10月まで得られており、年2-3回出現すると思われる。おそらく幼虫越冬と推定される。"
オキナワコアオシャク,Idiochlora minuscula (Inoue, 1986),多化性、3-11月,3-11月まで採れているので、年間を通じて連続的に発生していると思われる。
ヒメアオシャク,Idiochlora takahashii (Inoue, 1982),"年1化、7-8月","北海道や東北地方では多くの産地がある。本州以南では山地に産するが少ない。"
ヘリアカトガリアオシャク,Pamphlebia rubrolimbraria (Guenée, 1857),不明,日本では最初に神奈川県横須賀市から記録され、愛知県伊良湖岬でも採れた。その後、南西諸島に産することがわかった。
アカアシアオシャク,Culpinia diffusa (Walker, 1861),"年2化、5-8月","本州では東北地方で記録があるが、主に関東地方以西に分布する。関東地方周辺では低山地から山地で得られるが少ない。"
ハガタアオシャク,Thalera rubrifimbria Inoue, 1990),"年1化、7-8月",宮城県で記録があるが、主に関東地方以西に産し。
ウラジロアオシャク,Spaniocentra hollowayi Inoue, 1986),年数回、2-10月,2-10月下旬まで得られており、年間を通じて数回出現すると思われる。
ヨツモンマエジロアオシャク,Comibaena procumbaria (Pryer, 1877),"年2-3化、6-10月","関東地方以西では平地から山地に分布し、各地に多産する。南西諸島では年間を通じて出現し、連続的に発生していると思われえる。"
アマミヨツモンアオシャク,Comibaena insulana Inoue, 1986),6-9月,出現期は不明だが6-9月に採れている。
ヨツテンアオシャク,Comibaena diluta (Warren, 1895),"年2-3回、5-10月","東海地方以西-九州では5-10月に2-3回出現すると思われる。南西諸島では、年間を通じて連続的に発生している。和歌山県で幼虫越冬が確認されている。"
ヘリジロヨツメアオシャク,Comibaena amoenaria (Oberthür, 1880),"年2化、6-9月","関東地方周辺の低山地から山地では6-9月に出現し、年2化と思われる。寒冷地では平地から、暖地では高標高の地域に産する。"
ギンスジアオシャク,Comibaena argentataria (Leech, 1897),"年1化、7-8月",全国的に低山地から山地に産するが少ない。
クロモンアオシャク,Comibaena delicatior (Warren, 1897),"年2化、5-9月","全国的に平地から山地に広く産し、各地で普通に産する。関東地方周辺の平地から低山地では5-9月に出現し、年2化と思われる。"
ミナミクロモンアオシャク,Comibaena subdelicata Inoue, 1986),6-9月,経過習性は不明だが、6-9月に採れている。
カラフトウスアオシャク,Comibaena ingrata (Wileman, 1911),"年1化、7-8月","本州では関東地方から中部地方の山地の亜高山帯下部の針葉樹林帯に少なくないが、東北地方では記録がない。"
ナミガタフタスジアオシャク,Thetidia smaragdaria (Fabricius, 1787),不明,経過習性は不明だが、7-9月に得られている。
ヨツメアオシャク,Thetidia albocostaria (Bremer, 1864),"年2化、6-9月","年2化、関東地方周辺の平地から低山地では6-7月と9月に出現する。暖地では出現回数は多くなると思われる。"
コシロスジアオシャク,Hemistola veneta (Butler, 1879),"年2化、6-9月","全国的に平地から山地にごく普通に産する。年2化、6-9月に出現する。"
ヘリクロテンアオシャク,Hemistola dijuncta (Walker, 1861),"年1化、6-7月",関東地方周辺では低山地から山地に産し、6-7月に出現するが、個体数は少ない。
ハガタキスジアオシャク,Hemistola tenuilinea (Alphéraky, 1897),"年1化、7-8月","年1化、関東地方周辺では低山地から山地に分布し、7-8月に出現するが、個体数は少ない。早春に中齢幼虫が見られるので、幼虫越冬の可能性が高い。"
チビムジアオシャク,Mujiaoshakua plana (Wileman, 1911),"年1化、7-8月","本州では中部地方の山地に産するが、非常に少ない。"
コヨツメアオシャク,Comostola subtiliaria (Bremer, 1864),"年1-3化、5-12月","各地で平地から山地まで広く分布し、普通。関東地方周辺の平地から低山地では、5月下旬-10月上旬に出現し、年2-3回発生すると思われる。北海道や高標高の地域では6-9月に出現し、おそらく年1化。南西諸島では12月まで得られ、年間を通して連続的に出現する。"
アカホシヒメアオシャク,Comostola rubripunctata (Warren, 1909),5-9月,本州では近畿地方以西に分布し、5-9月に出現する。
アカヘリヒメアオシャク,Eucrostes disparata Walker, 1861),不明,12月にも得られており、年間を通じて連続的に発生していると思われる。
シロモンアオヒメシャク,Dithecodes erasa Warren, 1900),"年2化、6, 8月","山地に産するが、あまり多くない。年2化の発生と考えられ、主に6月と8月に得られる。"
フタナミトビヒメシャク,Pylargosceles steganioides (Butler, 1878),年複数回,春と夏,"春生と夏生で大きさ、斑紋の色調がかなり異なる。年数回は発生しているものと思われる。"
ベニスジヒメシャク,Timandra recompta (Prout, 1930),年2化,関東地方では年2化の発生と思われる。
サキシマベニスジヒメシャク,Timandra sakishimensis (Inoue, 1971),5, 10-11月,成虫は5月と10-11月に得られている。
トガリベニスジヒメシャク,Timandra convectaria Walker, 1861),不明,他の Timandra 属同様、灯火に集まる。
コベニスジヒメシャク,Timandra comptaria Walker, 1863),不明,灯火に飛来する普通種。
フトベニスジヒメシャク,Timandra apicirosea (Prout, 1935),年2化,関東地方では年2化と思われる。
ウスベニスジヒメシャク,Timandra dichela (Prout, 1935),年2化,関東地方では年2化と思われる。
マエアカヒメシャク,Traminda aventiaria (Guenée, 1857),不明,採集記録は散発的だったが、2000年頃から増えた。
モモイロヒメシャク,Chrysocraspeda sanguinea Warren, 1896),3, 12月,西表島では3月と12月に少数の個体が採れている。日本からおそらく♀は未知。
ビンガタヒメシャク,Chrysocraspeda faganaria (Guenée, 1857),不明,♀は灯火採集で比較的採れるが、♂はあまり灯火に来ない。
ヨツメヒメシャク,Cyclophora albipunctata (Hufnagel, 1767),"年2回、5, 8月","年2回の発生と考えられ、5月と8月に得られる。山地で採れる。"
シロモンウスチャヒメシャク,Organopoda carnearia (Walker, 1861),不明,近年、国内の分布域が明らかに北上している。
クロモンウスチャヒメシャク,Perixera absconditaria (Walker, 1863),6月,本州での記録は少なく、1997年に新潟県で1♀(6月26日)が採れており、これが北限記録である。
コガタウスチャヒメシャク,Perixera minorata (Warren, 1897),未詳,未詳
