"account_audit_id","source","pdf_file","source_pdf_sha256","pdf_page","printed_page","ocr_line_start","ocr_line_end","heading_raw","heading_japanese","heading_scientific_raw","host_field_status","host_candidates","emergence_candidates","ecology_candidate_count","boundary_flags","possible_ids","coverage_class","review_state","decision","target_insect_ids","related_action_ids","reviewed_on","review_note"
"KUA-ACCOUNT-049","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","37","406-407","3292","3296","ツシマヨツスジハナカミキリ Leplure thracedjascinta chaujini HAYASIl,1961","ツシマヨツスジハナカミキリ","Leplure thracedjascinta chaujini","","","6〜7月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-050","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","37","406-407","3340","3347","シコクヒメヨツスジハナカミキリ Lentura kusamat kelicht N. OHRAYASHI.1994","シコクヒメヨツスジハナカミキリ","Lentura kusamat kelicht","source_states_unknown","未知","6〜7月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-051","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","37","406-407","3348","3367","ヤマトヨツスジハナカミキリ Leptura subuitis BATES, 1884","ヤマトヨツスジハナカミキリ","Leptura subuitis","candidate_present","シデ類;ダケカンバイカバノキ料）;ブナ;サワワタギ;ナツツバキ．1分布】 本州;四時;九州．［p.20.246］","6〜8月","1","suspicious_plant_candidate","","not_visually_verified","inventory_screened_only","hold_boundary_ambiguous","","","2026-07-11","抽出境界フラグがあるため、原PDFで前後見出しを再確認するまで反映しない。"
"KUA-ACCOUNT-052","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","40","412-413","3604","3608","アオバホソハナカミキリ Strangalomorpha tenuis SoLSKY","アオバホソハナカミキリ","Strangalomorpha tenuis","","","","0","","species-22310;species-22311","not_visually_verified","inventory_screened_only","hold_taxon_ambiguous","","","2026-07-11","複数の現行ID候補があり、学名・亜種範囲を原PDFと現行目録で再確認するまで反映しない。"
"KUA-ACCOUNT-053","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","40","412-413","3609","3614","アオバホソハナカミキリ Strungdiomorpha tenais teuuis SorSKY, 1873","アオバホソハナカミキリ","Strungdiomorpha tenais teuuis","candidate_present","","5〜7月","0","","species-22310;species-22311","not_visually_verified","inventory_screened_only","hold_taxon_ambiguous","","","2026-07-11","複数の現行ID候補があり、学名・亜種範囲を原PDFと現行目録で再確認するまで反映しない。"
"KUA-ACCOUNT-054","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","3672","3683","タケウチホリハナカミキリ Siransalic fakeuchii MATSUSIITA et TAMANUKL,1935","タケウチホリハナカミキリ","Siransalic fakeuchii","candidate_present","モミ;ミミズバイ","7〜8月","1","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22309","KUA-006;KUA-007","2026-07-11","原PDFで対象欄が完結し、寄主2種は既存、出現期と訪花行動が欠落していることを確認。"
"KUA-ACCOUNT-055","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","41","414-415","3684","3703","オオシマホリハナカミキリ Strangalia gracilis GRESSITT, 1934","オオシマホリハナカミキリ","Strangalia gracilis","candidate_present","リュウキュウマッ;ソウザンハイノキ;アマシバ","6〜71","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22306;species-22307","KUA-008;KUA-009;KUA-010;KUA-011;KUA-012;KUA-013","2026-07-11","原PDFの種レベル欄と2007年の分布範囲が現行2亜種を包含することを確認し、種共通値として共有。"
"KUA-ACCOUNT-056","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","43","418-419","3844","3854","ニゼハコネホソハナカミキリ Idiostrangalin shimomurai N.OHIJAYASHI eI TAKAHASHI,1985","ニゼハコネホソハナカミキリ","Idiostrangalin shimomurai","source_states_unknown","未知","7〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-057","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","43","418-419","3899","3948","ホりハナカミキリ Leptostrangalia hosohand （OHBAYASHI, 1952）","ホりハナカミキリ","Leptostrangalia hosohand","candidate_present","オオバヤナギ;タンナサワフタギ;サワフタギ;ハイノキ","6〜8月","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22234","KUA-014","2026-07-11","原PDFで4寄主は既存、出現期6〜8月のみ欠落していることを確認。"
"KUA-ACCOUNT-058","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","44","420-421","3984","3991","ヤクオニホソコバネカミキリ Neeydulis （Necydalis） gisantea akiyamai HAYASIL, 1978","ヤクオニホソコバネカミキリ","Neeydulis （Necydalis） gisantea akiyamai","candidate_present","木知","7H","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-059","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","44","420-421","3992","4002","アマミホンコバネカミキリ Neeydalis （Necydalis） moriyai KISAMA, 1970","アマミホンコバネカミキリ","Neeydalis （Necydalis） moriyai","candidate_present","シイ類","6〜7月","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22318","KUA-015;KUA-016;KUA-017","2026-07-11","原PDF分布は奄美大島に限定されるため現行基亜種だけへ反映し、後年記載の沖縄本島亜種へは共有しない。"
"KUA-ACCOUNT-060","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","44","420-421","4003","4024","ヤクシマホリコバネカミキリ Neeydalis （Neeydalis） yakasshimersis KUSAMA, 1975","ヤクシマホリコバネカミキリ","Neeydalis （Neeydalis） yakasshimersis","source_states_unknown","未知","7月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-061","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","47","426-427","4247","4252","トクノシマキマダラミヤマカミキリ Aenlesthes （Pseudaealestines） chrysothrix harusawai （GRESSITT, 1965）","トクノシマキマダラミヤマカミキリ","Aenlesthes （Pseudaealestines） chrysothrix harusawai","","","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-062","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","47","426-427","4253","4258","イシガキキマダラミヤマカミキリ Aeolesthes （Pseidaenlesthes） chrysothrir makannurai","イシガキキマダラミヤマカミキリ","Aeolesthes （Pseidaenlesthes） chrysothrir makannurai","","","5〜6月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-063","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","47","426-427","4259","4277","ヨナグニキマダラミヤマカミキリ Aeniesthes （Pseudaenlesthes） chrysuthris yonagunienasis","ヨナグニキマダラミヤマカミキリ","Aeniesthes （Pseudaenlesthes） chrysuthris yonagunienasis","","","5〜7月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-064","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","50","432-433","4496","4510","ムネスジウスバカミキリ Nortia carinicollis SCHWARZER, 1925","ムネスジウスバカミキリ","Nortia carinicollis","candidate_present","バリバリノキ;ヤブニッケイ;タブノキ","4〜7月","1","","","boundary_or_taxonomy_hold","original_pdf_visually_verified","hold_taxonomic_scope_conflict","","","2026-07-11","原PDFは種レベルで南西諸島の地域個体群に言及するが、現行3亜種への分割後の範囲を一意に配分できないため保留。"
"KUA-ACCOUNT-065","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","51","434-435","4606","4611","ハチジョウトビイロカミキリ Alctraews （Nysind） insalaris yanigamii FLJITA， 1980","ハチジョウトビイロカミキリ","Alctraews （Nysind） insalaris yanigamii","","","","2","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-066","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","52","436-437","4671","4693","リュウキュウアメイロカミキリ Stenedryes clanigerainsularis YOKOYAMA,1966","リュウキュウアメイロカミキリ","Stenedryes clanigerainsularis","candidate_present","バリバリノキ","3〜5月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-067","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","52","436-437","4713","4725","ニセフトガタヒメカミキリ Ceresier unicolor pseuderuicalor KUSAMAtt KONIYA,1972","ニセフトガタヒメカミキリ","Ceresier unicolor pseuderuicalor","candidate_present","クロヨナ;ギンネム;クスノキ","6〜11月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-068","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","53","438-439","4726","4732","チャイロヒメカミキリ Ceresiuma sinaile GAHAN","チャイロヒメカミキリ","Ceresiuma sinaile","","","","2","","species-21913;species-21914","not_visually_verified","inventory_screened_only","hold_taxon_ambiguous","","","2026-07-11","複数の現行ID候補があり、学名・亜種範囲を原PDFと現行目録で再確認するまで反映しない。"
"KUA-ACCOUNT-069","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","53","438-439","4733","4737","チャイロヒメカミキリ Ceresian sinile simile GAHAN, 1933","チャイロヒメカミキリ","Ceresian sinile simile","candidate_present","ギンネム;シマシャリンバイ","5〜8月","0","","species-21913;species-21914","not_visually_verified","inventory_screened_only","hold_taxon_ambiguous","","","2026-07-11","複数の現行ID候補があり、学名・亜種範囲を原PDFと現行目録で再確認するまで反映しない。"
"KUA-ACCOUNT-070","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","54","440-441","4826","4841","ホンガタヒメカミキリ Ceresium elorgauM MATSUSIITA, 1933","ホンガタヒメカミキリ","Ceresium elorgauM","candidate_present","各種広葉","5〜1月","1","","","included_action","original_pdf_visually_verified","include_safe_actions","species-21902;species-21903","KUA-018;KUA-019;KUA-020;KUA-021;KUA-022;KUA-023","2026-07-11","原PDF見出しはホソガタヒメカミキリ。5〜7月、各種広葉樹、夜間の伐採木・灯火飛来を確認し、現行2亜種へ共有。"
"KUA-ACCOUNT-071","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","56","444-445","5047","5055","ルリメダカカミキリ Sterhomazus incongrus paralielus NIISAT0,1988","ルリメダカカミキリ","Sterhomazus incongrus paralielus","candidate_present","エゾエノキ","6〜7","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-072","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","58","448-449","5202","5212","ウスゲアメイロカミキリ Obrium kusamat TAKAKUWA, 1984","ウスゲアメイロカミキリ","Obrium kusamat","source_states_unknown","未知","7月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-073","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","58","448-449","5213","5214","ニセタカサゴアメイロカミキリ Obrium semifarmosanam HAYASIII","ニセタカサゴアメイロカミキリ","Obrium semifarmosanam","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-074","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","58","448-449","5247","5251","ハハジマフタモンアメイロカミキリ Pseudiphr bicolor rigripennis TAKAKUIWA, 1984","ハハジマフタモンアメイロカミキリ","Pseudiphr bicolor rigripennis","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-075","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","59","450-451","5361","5375","アマミモモブトコバネカミキリ Merionede （Ocytasid） formosana rubriventris HAYASHI， 1962","アマミモモブトコバネカミキリ","Merionede （Ocytasid） formosana rubriventris","","","6〜7月;4〜6月","0","multiple_emergence_fields;unparsed_species_like_heading_inside_block","","not_visually_verified","inventory_screened_only","hold_boundary_ambiguous","","","2026-07-11","抽出境界フラグがあるため、原PDFで前後見出しを再確認するまで反映しない。"
"KUA-ACCOUNT-076","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","60","452-453","5376","5383","ヤエヤマモモブトコバネカミキリ Merionoeda （Ocytesia） formosand iriomotensis","ヤエヤマモモブトコバネカミキリ","Merionoeda （Ocytesia） formosand iriomotensis","","","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-077","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","61","454-455","5467","5471","シラホシヒゲナガコバネカミキリ Motorchus （Molorehus） miner （INYAEL3）","シラホシヒゲナガコバネカミキリ","Motorchus （Molorehus） miner","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-078","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","61","454-455","5472","5483","シラホシヒゲナガコバネカミキリ Molorchus （Motorchus） minr fiascus HAYASHI, 1955","シラホシヒゲナガコバネカミキリ","Molorchus （Motorchus） minr fiascus","candidate_present","モミ;トドマツ;アカエゾマツ;エゾマツ;カラマツ","6〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-079","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","61","454-455","5484","5492","ホソムネシラホシヒゲナガコバネカミキリ Molorchus （Molorchus） ikeddi TAKAKIWA， 1984","ホソムネシラホシヒゲナガコバネカミキリ","Molorchus （Molorchus） ikeddi","","","6〜8月","0","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-080","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","62","456-457","5560","5566","ヒコサンヒゲナガコバネカミキリ Glaphyra （Glaphyra） aitidk adachit （TAKAKUWA ct FUITA， 1981）","ヒコサンヒゲナガコバネカミキリ","Glaphyra （Glaphyra） aitidk adachit","candidate_present","エゾエノキ","4〜5H","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-081","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","63","458-459","5670","5681","リュウキュウタケウチヒゲナガコバネカミキリ Glaphyra （Glaphyra） takeuchii ebenina （HAYASHII, 1961）","リュウキュウタケウチヒゲナガコバネカミキリ","Glaphyra （Glaphyra） takeuchii ebenina","","","","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-082","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","63","458-459","5682","5708","クロツやヒゲナガコバネカミキリ Claphyra （Yamatoglaphyra） hattorit （OHRAYASHIL, 1954）","クロツやヒゲナガコバネカミキリ","Claphyra （Yamatoglaphyra） hattorit","candidate_present","ナツグミ（グミ科;グミ属）;クマノミズキ（ミズキ科;ミズキ属）","4〜5月・;6〜7月","1","multiple_emergence_fields;multiple_host_fields","","not_visually_verified","inventory_screened_only","hold_boundary_ambiguous","","","2026-07-11","抽出境界フラグがあるため、原PDFで前後見出しを再確認するまで反映しない。"
"KUA-ACCOUNT-083","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","64","460-461","5726","5739","クマタヒメコバネカミキリ Epania dllaticornis kamatai HAYASHL， 1961","クマタヒメコバネカミキリ","Epania dllaticornis kamatai","candidate_present","マメガキ．トキワガキ","4〜7H","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-084","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","5823","5831","クビアカモモブトホンカミキリ Kurarwa rhopaloptoroides HAYASITL, 1951","クビアカモモブトホンカミキリ","Kurarwa rhopaloptoroides","candidate_present","ソヨゴ;モチノキ;クロガネモチ","4〜5月","1","","","boundary_or_taxonomy_hold","original_pdf_visually_verified","hold_taxonomic_scope_conflict","","","2026-07-11","原PDFのKurarua rhopalophoroidesと現行の亜種分割・別種K. chujoiの範囲が競合するため保留。"
"KUA-ACCOUNT-085","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","65","462-463","5876","5891","タキグチモモブトホンカミキリ Cromenes takiguchii OHBAYASHI， 1936","タキグチモモブトホンカミキリ","Cromenes takiguchii","candidate_present","カゴノキ;シロモジ;アオモジ;アカガシ;イスノキ;ケヤキに二","6〜7月","1","","","included_action","original_pdf_visually_verified","include_safe_actions","species-21938","KUA-024;KUA-025;KUA-026;KUA-027;KUA-028;KUA-029;KUA-030","2026-07-11","原PDFで7寄主、6〜7月、訪花行動を確認。既存2寄主を重複させず5寄主だけ追加。"
"KUA-ACCOUNT-086","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","5920","5927","ヤエヤマホソバネカミキリ Thranius imultinotattus PIC：， 1922","ヤエヤマホソバネカミキリ","Thranius imultinotattus","candidate_present","アカメガシワを主な特定植物とするが;他樹種も食べる;［p. 31;266］","","1","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22164;species-22165","KUA-031;KUA-032;KUA-033;KUA-034;KUA-035","2026-07-11","原PDFの種共通欄が続く沖縄・八重山2亜種を包含し、アカメガシワ寄主と成虫行動を共有。"
"KUA-ACCOUNT-087","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","5928","5934","オキナワホソバネカミキリ Thrunis midtinotatus okinawersis MAKIHAKA,1978","オキナワホソバネカミキリ","Thrunis midtinotatus okinawersis","","","5〜6月","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22164;species-22165","KUA-031;KUA-032;KUA-033;KUA-034;KUA-035","2026-07-11","原PDFの沖縄亜種固有の出現期5〜6月を確認。種共通寄主・生態と合わせて反映。"
"KUA-ACCOUNT-088","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","5935","5939","ヤエヤマホソバネカミキリ Thranius multinotates latipenais HAYASHI， 1963","ヤエヤマホソバネカミキリ","Thranius multinotates latipenais","","","3〜6月","0","","","duplicate_existing","original_pdf_visually_verified","verified_existing_complete","species-22164","","2026-07-11","原PDFの八重山亜種固有の出現期3〜6月は既存。種共通寄主・生態は別の共通欄監査で反映。"
"KUA-ACCOUNT-089","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","5947","5954","トラフホンバネカミキリ Thranius variegaius variegatas BATES, 1873","トラフホンバネカミキリ","Thranius variegaius variegatas","candidate_present","アカメガシワ;シイ類;ハルニレ;ムクノキ;ハリエンジュ","6〜8月","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22169;species-22171","KUA-036;KUA-037;KUA-038;KUA-039;KUA-040;KUA-041;KUA-042;KUA-043;KUA-044;KUA-045","2026-07-11","原PDFで名義亜種の5寄主と6〜8月を確認。後年分離された中之島亜種は2007年名義亜種分布に含まれるため歴史的概念として共有。"
"KUA-ACCOUNT-090","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","66","464-465","5955","5962","ウスグロホソバネカミキリ Thranines variegatus ObscurLs HAYASHIL， 1962","ウスグロホソバネカミキリ","Thranines variegatus","candidate_present","タブノキ;アカメガシワ","5〜7月","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22172","KUA-046;KUA-047;KUA-048","2026-07-11","原PDFで奄美亜種のタブノキ・アカメガシワと5〜7月を確認。"
"KUA-ACCOUNT-091","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","69","470-471","6174","6181","オキナワミドリカミキリ Chloridolen （Chaloridolum） toochooanun chujoi MAKIHARA， 2005","オキナワミドリカミキリ","Chloridolen （Chaloridolum） toochooanun chujoi","","","","0","","","no_actionable_host_or_ecology","inventory_screened_only","no_publishable_host_or_ecology_candidate","","","2026-07-11","今回の抽出候補には公開可能な寄主・生態情報がなく、追加対象外。"
"KUA-ACCOUNT-092","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","70","472-473","6273","6317","ムラサキアオカミキリ Schwarserium viridicyanesum （HAYASHI, 1956）","ムラサキアオカミキリ","Schwarserium viridicyanesum","candidate_present","イロハモミジ（カエデ料;カエデ属）","7〜8月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-093","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","73","478-479","6583","6610","ヤクスギカミキリ Semanotus yakushimeasis MAKIHARA, 2044","ヤクスギカミキリ","Semanotus yakushimeasis","candidate_present","スギ","4月","1","","","not_visually_verified","inventory_screened_only","hold_original_pdf_and_taxon_review","","","2026-07-11","候補情報はあるが、原PDFの見出し境界と現行分類への対応を未確定のため反映しない。"
"KUA-ACCOUNT-094","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","76","484-485","6899","6908","ムネモンアカネトラカミキリ Xyotreehus atronotalus Pic：","ムネモンアカネトラカミキリ","Xyotreehus atronotalus","candidate_present","各種広葉街;［p. --- ページ 77 --- 486 35;274〕","","0","","","included_action","original_pdf_visually_verified","include_safe_actions","species-22040;species-22041","KUA-049;KUA-050;KUA-053;KUA-054","2026-07-11","原PDFの種共通寄主「各種広葉樹」を現行2亜種へ共有し、各亜種固有の出現期・生態は次頁で確認。"
