"action_id","action","insect_id","current_japanese_name","record_id","plant_name","plant_family","observation_type","plant_part","life_stage","note_type","content","canonical_reference","pdf_file","source_pdf_sha256","pdf_page","printed_page","source_heading","source_taxon","scope_classification","reviewed_on","evidence_note"
"KUA-054","add_note","species-22041","ムネモンアカネトラカミキリ 琉球南部亜種","note-kamikiri-unresolved-054","","","","","","生態情報","成虫は各種の伐採木に集まる。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","77","486","ムネモンアカネトラカミキリ","Xylotrechus atronotatus generosus Matsushita, 1933","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-055","add_host","species-22025","ホソトラカミキリ","host-kamikiri-unresolved-055","各種広葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","85","502-503","ホソトラカミキリ","Rhaphuma xenisca (Bates, 1884)","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-056","add_host","species-22025","ホソトラカミキリ","host-kamikiri-unresolved-056","各種針葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","85","502-503","ホソトラカミキリ","Rhaphuma xenisca (Bates, 1884)","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-057","add_note","species-22025","ホソトラカミキリ","note-kamikiri-unresolved-057","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","85","502-503","ホソトラカミキリ","Rhaphuma xenisca (Bates, 1884)","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-058","add_note","species-22025","ホソトラカミキリ","note-kamikiri-unresolved-058","","","","","","生態情報","成虫はクリやリョウブなどの花上や伐採木に集まる。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","85","502-503","ホソトラカミキリ","Rhaphuma xenisca (Bates, 1884)","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-060","add_host","species-22554","ミヤマドウボソカミキリ","host-kamikiri-unresolved-060","ツルウメモドキ","ニシキギ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","111","554-555","ミヤマドウボソカミキリ","Pseudocalamobius montanus Hayashi, 1951","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-061","add_note","species-22554","ミヤマドウボソカミキリ","note-kamikiri-unresolved-061","","","","","","出現時期","5〜7月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","111","554-555","ミヤマドウボソカミキリ","Pseudocalamobius montanus Hayashi, 1951","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-062","add_note","species-22554","ミヤマドウボソカミキリ","note-kamikiri-unresolved-062","","","","","","生態情報","山地に局所的に分布する傾向があるが、産地では少なくない。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","111","554-555","ミヤマドウボソカミキリ","Pseudocalamobius montanus Hayashi, 1951","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-063","add_host","species-22944","コブバネサビカミキリ 八重山亜種","host-kamikiri-unresolved-063","シイ類","ブナ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","115","562-563","イリオモテコブバネサビカミキリ","Pterolophia (Ale) gibbosipennis iriomotei Breuning et Ohbayashi, 1966","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-064","add_host","species-22944","コブバネサビカミキリ 八重山亜種","host-kamikiri-unresolved-064","ホソバタブ","クスノキ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","115","562-563","イリオモテコブバネサビカミキリ","Pterolophia (Ale) gibbosipennis iriomotei Breuning et Ohbayashi, 1966","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-065","add_note","species-22944","コブバネサビカミキリ 八重山亜種","note-kamikiri-unresolved-065","","","","","","出現時期","4〜10月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","115","562-563","イリオモテコブバネサビカミキリ","Pterolophia (Ale) gibbosipennis iriomotei Breuning et Ohbayashi, 1966","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-066","add_host","species-22946","コブバネサビカミキリ 九州","host-kamikiri-unresolved-066","シイ類","ブナ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","115","562-563","コブバネサビカミキリ","Pterolophia (Ale) gibbosipennis subcristipennis Breuning et Ohbayashi, 1964","exact_source_subspecies","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-067","add_note","species-22946","コブバネサビカミキリ 九州","note-kamikiri-unresolved-067","","","","","","出現時期","4〜10月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","115","562-563","コブバネサビカミキリ","Pterolophia (Ale) gibbosipennis subcristipennis Breuning et Ohbayashi, 1964","exact_source_subspecies","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-068","add_host","species-22799","コブヤハズカミキリ 佐渡島亜種","host-kamikiri-unresolved-068","各種広葉樹","","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","121","574-575","コブヤハズカミキリ","Mesechthistatus binodosus (Waterhouse)","source_species_level_shared","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-069","add_host","species-22803","タニグチコブヤハズカミキリ","host-kamikiri-unresolved-069","モミ","マツ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","121-122","575-576","タニグチコブヤハズカミキリ","Mesechthistatus taniguchii (Seki, 1944)","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-070","add_host","species-22803","タニグチコブヤハズカミキリ","host-kamikiri-unresolved-070","ナラ類","ブナ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","121-122","575-576","タニグチコブヤハズカミキリ","Mesechthistatus taniguchii (Seki, 1944)","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-071","add_note","species-22803","タニグチコブヤハズカミキリ","note-kamikiri-unresolved-071","","","","","","出現時期","6〜9月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","121-122","575-576","タニグチコブヤハズカミキリ","Mesechthistatus taniguchii (Seki, 1944)","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-072","add_note","species-22803","タニグチコブヤハズカミキリ","note-kamikiri-unresolved-072","","","","","","生態情報","御嶽山、中央アルプス、南アルプスを中心とした標高約1,200 m前後のブナ帯から針葉樹林帯に生息し、晩夏から初秋にはノブドウ、ヤマハンノキ、ウドなどの葉上で見つかる。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","121-122","575-576","タニグチコブヤハズカミキリ","Mesechthistatus taniguchii (Seki, 1944)","exact_current_species","2026-07-11","原PDF画像の生息環境と観察記録を採用し、雑種と推測する記述は除外。"
"KUA-073","add_host","species-22712","ヤツボシシロカミキリ","host-kamikiri-unresolved-073","ズミ","バラ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","138","608-609","ヤツボシシロカミキリ","Olenecamptus octopustulatus (Motschulsky, 1873)","exact_current_species","2026-07-11","原PDF画像の寄主植物欄を目視確認し、既存の同一文献・同一昆虫・同一植物関係がないことを照合。"
"KUA-074","add_host","species-22712","ヤツボシシロカミキリ","host-kamikiri-unresolved-074","ナナカマド","バラ科","後食","葉","成虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","138","608-609","ヤツボシシロカミキリ","Olenecamptus octopustulatus (Motschulsky, 1873)","exact_current_species","2026-07-11","原PDF本文でナナカマドは成虫の後食植物と明記。幼虫寄主へ誤変換しない。"
"KUA-075","add_note","species-22712","ヤツボシシロカミキリ","note-kamikiri-unresolved-075","","","","","","出現時期","6〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","138","608-609","ヤツボシシロカミキリ","Olenecamptus octopustulatus (Motschulsky, 1873)","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-076","add_note","species-22712","ヤツボシシロカミキリ","note-kamikiri-unresolved-076","","","","","","生態情報","成虫の後食植物として日本ではズミとナナカマドが知られ、幼虫はズミの枯死部または衰弱部に穿孔する。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","138","608-609","ヤツボシシロカミキリ","Olenecamptus octopustulatus (Motschulsky, 1873)","exact_current_species","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-077","add_host","species-23024","ホソキリンゴカミキリ","host-kamikiri-unresolved-077","フジ","マメ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","170","672-673","ホソキリンゴカミキリ","Oberea infranigrescens Breuning, 1947","japanese_and_binomial_match_author_year_conflict_reviewed","2026-07-11","原PDF見出しの和名と二名法が現行IDに一致。著者年の不一致を監査台帳に明記して採用。原典のサワアジサイは現行植物概念への正規化が確定できないため別途保留。"
"KUA-078","add_host","species-23024","ホソキリンゴカミキリ","host-kamikiri-unresolved-078","ハギ類","マメ科","文献","","幼虫","","","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","170","672-673","ホソキリンゴカミキリ","Oberea infranigrescens Breuning, 1947","japanese_and_binomial_match_author_year_conflict_reviewed","2026-07-11","原PDF見出しの和名と二名法が現行IDに一致。著者年の不一致を監査台帳に明記して採用。原典のサワアジサイは現行植物概念への正規化が確定できないため別途保留。"
"KUA-079","add_note","species-23024","ホソキリンゴカミキリ","note-kamikiri-unresolved-079","","","","","","出現時期","5〜8月","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","170","672-673","ホソキリンゴカミキリ","Oberea infranigrescens Breuning, 1947","japanese_and_binomial_match_author_year_conflict_reviewed","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
"KUA-080","add_note","species-23024","ホソキリンゴカミキリ","note-kamikiri-unresolved-080","","","","","","生態情報","成虫はフジ、ハギ類、ハンノキ類、ヌルデ、クロツバラ、クリなど多種の植物の生葉を後食し、とくにフジ、ハギ類、ハンノキ類に多い。","日本産カミキリムシ","日本産カミキリムシ_compressed.pdf","52299895c14c1fd1c74279dca00f6fd9ba64d36d69e3bf3dd9c3a29a92802e77","170","672-673","ホソキリンゴカミキリ","Oberea infranigrescens Breuning, 1947","japanese_and_binomial_match_author_year_conflict_reviewed","2026-07-11","原PDF画像の対象見出し内で本文・出現期・寄主欄の境界を目視確認。"
