account_number,pdf_page,printed_page,side,source_japanese_name,source_scientific_name,current_insect_ids,source_scope,application_targets,excluded_targets,scope_reason,objective_ecology,parasitism_fact,existing_note_ids,decision,evidence_note
82,42,306,left,,Acyrthosiphon sp. B,species-23079,source_unnamed_taxon,species-23079,,原典の未同定sp. Bを同じ現行未同定レコードへ対応,寄主植物は不明で、茎に小さなコロニーを形成する。,茎に寄生しコロニーは小さい。,,apply_single,原PDF page-042左・冊子306頁を目視確認
83,42,307,right,ノゲシフクレアブラムシ,Hyperomyzus carduellinus (Theobald),species-21404,species_level_unqualified,species-21404,,原典見出しは亜種を限定しない,ノゲシ類の生長部の茎に多く、ときに葉裏にも寄生してきわめて大きなコロニーを形成する。,生長部の茎に多くときに葉裏にも寄生する。,,apply_single,原PDF page-042右・冊子307頁を目視確認
84,43,308,left,ホウセンカヒゲナガアブラムシ,Impatientinum impatiens (Shinji),species-21410,species_level_unqualified,species-21410,,原典見出しは亜種を限定しない,ホウセンカ類の新梢の茎や葉裏に寄生し大きなコロニーを形成することが多い。,新梢の茎や葉裏に寄生しコロニーは大きいことが多い。,,apply_single,原PDF page-043左・冊子308頁を目視確認
85,43,309,right,ゲンノショウココブアブラムシ,Cryptaphis geranicola (Shinji),species-21380,species_level_unqualified,species-21380,,原典見出しは亜種を限定しない,ゲンノショウコ類の葉裏に寄生し、葉を下方へ巻縮させ赤色を帯びさせる。コロニーは中程度。,葉裏に寄生し葉を巻縮させる。,,apply_single,原PDF page-043右・冊子309頁を目視確認
86,44,310,left,ヤマハッカコブアブラムシ,Cryptaphis menthae Takahashi,species-21381,species_level_unqualified,species-21381,,原典見出しは亜種を限定しない,ヤマハッカ類の葉裏に寄生し葉を巻縮させ、中程度のコロニーを形成する。,葉裏に寄生し葉を巻縮させる。,,apply_single,原PDF page-044左・冊子310頁を目視確認
87,44,311,right,ハナトラノオコブアブラムシ,Cryptomyzus taoi Hille Ris Lambers,species-21383,species_level_unqualified,species-21383,,原典見出しは亜種を限定しない,フィソステギア類の茎・花穂・葉裏に小さなコロニーを形成する。,茎・花穂・葉裏に寄生しコロニーは小さい。,note-1005261,apply_single,原PDF page-044右・冊子311頁を目視確認
88,45,312,left,ツリフネソウアブラムシ,Hydronaphis impatiense Shinji,species-21401,species_level_unqualified,species-21401,,現行Hydronaphis impatiensへ対応,ツリフネソウ類の地際の茎と地下の根に寄生する。,地際の茎と地下の根に寄生する。,note-1005262|note-1005263,apply_single,原PDF page-045左・冊子312頁を目視確認
89,45,313,right,,Hydronaphis sp.,species-23080,source_unnamed_taxon,species-23080,,原典の未同定sp.を同じ現行未同定レコードへ対応,根に小さなコロニーを形成する。,根に寄生しコロニーは小さい。,,apply_single,原PDF page-045右・冊子313頁を目視確認
90,46,314,left,ウツギトックリアブラムシ,Rhopalosiphoninus deutzifoliae Shinji,species-23113,species_level_unqualified,species-23113,,原典見出しは亜種を限定しない,ウツギ類の新葉の裏面に多く寄生し小さなコロニーを形成する。,新葉の裏面に多くコロニーは小さい。,,apply_single,原PDF page-046左・冊子314頁を目視確認
91,46,315,right,,Rhopalosiphoninus sp.,species-23081,source_unnamed_taxon,species-23081,,原典の未同定sp.を同じ現行未同定レコードへ対応,イボクサの生長部の茎と葉裏に寄生する。,生長部の茎と葉裏に寄生する。,,apply_single,原PDF page-046右・冊子315頁を目視確認
92,47,316,left,キククギケアブラムシ,Pleotrichophorus chrysanthemi (Theobald),species-21480,species_level_unqualified,species-21480,,原典見出しは亜種を限定しない,キク・ヨモギ類の葉裏に小さなコロニーを形成する。,葉裏に寄生しコロニーは小さい。,note-1005264,apply_single,原PDF page-047左・冊子316頁を目視確認
93,47,317,right,ヨメナコブアブラムシ,Myzus asteriae Shinji,species-23114,species_level_unqualified,species-23114,,原典見出しは亜種を限定しない,春から初夏にヨメナの幼植物の葉表に大きなコロニーを形成し、葉を裏面から表面へ筒状に巻く。,葉表に寄生し葉を筒状に巻く。,note-1005265|note-1005266,apply_single,原PDF page-047右・冊子317頁を目視確認
94,48,318,left,カラムシコブアブラムシ,Myzus boehmeriae Takahashi,species-23115,species_level_unqualified,species-23115,,原典見出しは亜種を限定しない,ヤブマオ・コアカソ類の葉裏に点在し、まれに小さなコロニーを形成する。,葉裏に点在し、まれに小コロニーを形成する。,note-1005267,apply_single,原PDF page-048左・冊子318頁を目視確認
95,48,319,right,ニワウメクロコブアブラムシ,Myzus cerasi (Fabricius),species-23116,species_level_unqualified,species-23116,,原典見出しは亜種を限定しない,ニワウメでは新梢の葉裏や茎に大きなコロニーを形成する。ニワウメなどが冬寄主でヤエムグラ属・ヨモギ属が夏寄主として知られる。,ニワウメでは新梢の葉裏や茎に寄生しコロニーは大きい。,note-1005268|note-1005269,apply_single,原PDF page-048右・冊子319頁を目視確認
96,49,320,left,カンゾウコブアブラムシ,Myzus hemerocallis Takahashi,species-23117,species_level_unqualified,species-23117,,原典見出しは亜種を限定しない,ワスレグサ属植物の生長部の心部や新葉の裏面に大きなコロニーを形成する。,生長部の心部や新葉の裏面に寄生しコロニーは大きい。,,apply_single,原PDF page-049左・冊子320頁を目視確認
97,49,321,right,ワダンコブアブラムシ,Myzus lactucicola Takahashi,species-23118,species_level_unqualified,species-23118,,原典見出しは亜種を限定しない,ホソバワダン類の生長点の茎葉や葉裏に多く、古い葉にも寄生する。コロニーは小さいことが多い。,生長点の茎葉や葉裏に寄生する。,note-1005270,apply_single,原PDF page-049右・冊子321頁を目視確認
98,50,322,left,リンゴコブアブラムシ,Myzus malisuctus Matsumura,species-21473,species_level_unqualified,species-21473,,現行分類のOvatus malisuctusへ対応,リンゴ類の葉裏に大きなコロニーを形成し葉を下方へ巻縮させる。,葉裏に寄生しコロニーは大きい。,note-1005271,apply_single,原PDF page-050左・冊子322頁を目視確認
99,50,323,right,ウメコブアブラムシ,Myzus mumecola (Matsumura),species-23119,species_level_unqualified,species-23119,,原典見出しは亜種を限定しない,春から初夏にウメ類の新葉の裏面に大きなコロニーを形成し葉を下方へ巻縮させる。,新葉の裏面に寄生し葉を巻縮させる。,note-1005272,apply_single,原PDF page-050右・冊子323頁を目視確認
100,51,324,left,ムシャコブアブラムシ,Myzus mushaensis Takahashi,species-23120,species_level_unqualified,species-23120,,原典見出しは亜種を限定しない,サクラ類の葉に寄生して葉を裏面から上方へ巻縮させる。夏寄主としてヒキオコシが知られる。,サクラの葉に寄生し巻葉をつくる。,,apply_single,原PDF page-051左・冊子324頁を目視確認
101,51,325,right,モモアカアブラムシ,Myzus persicae (Sulzer),species-23121,species_level_unqualified,species-23121,,原典見出しは亜種を限定しない,多食性で葉裏に多く、ときに生長部の茎や花にも寄生する著名な農業害虫である。,葉裏に多くときに生長部の茎や花にも寄生する。,,apply_single,原PDF page-051右・冊子325頁を目視確認
102,52,326,left,ウマノアシガタコブアブラムシ,Myzus ranunculinus (Walker),species-21511,species_level_unqualified,species-21511,,現行分類のTubaphis ranunculinaへ対応,ウマノアシガタ類の葉裏に多く、ときに葉柄にも寄生して小さなコロニーを形成する。,葉裏に多くときに葉柄にも寄生する。,note-1005274,apply_single,原PDF page-052左・冊子326頁を目視確認
103,52,327,right,ヒキオコシコブアブラムシ,Myzus siegesbeckiae Takahashi,species-23122,species_level_unqualified,species-23122,,原典見出しは亜種を限定しない,春から初夏にサクラの葉裏に多く寄生して巻葉をつくり大きなコロニーを形成する。夏はヒキオコシに寄生する。,サクラとヒキオコシの葉裏に多くサクラではコロニーは大きい。,note-1005275|note-1005276,apply_single,原PDF page-052右・冊子327頁を目視確認
104,53,328,left,ハンショウズルコブアブラムシ,Myzus varians Davidson,species-23123,species_level_unqualified,species-23123,,原典見出しは亜種を限定しない,春から初夏にモモ・スモモの葉に寄生して巻葉をつくり、6月頃にボタンヅル類へ移住し秋に冬寄主へ戻る。葉裏に大きなコロニーを形成しアリが訪れることが多い。,葉裏に寄生しコロニーは大きくアリが訪れる。,,apply_single,原PDF page-053左・冊子328頁を目視確認
105,53,329,right,,Myzus sp.,species-23082,source_unnamed_taxon,species-23082,,原典の未同定sp.を同じ現行未同定レコードへ対応,イネ科植物とみられる葉に小さなコロニーを形成する。,葉に寄生しコロニーは小さい。,,apply_single,原PDF page-053右・冊子329頁を目視確認
106,54,330,left,クワクサヒゲナガアブラムシ,Eomyzus kuwakusae (Uye),species-23124,species_level_unqualified,species-23124,,現行Eomyzus kuwanusaeへ対応,クワクサの上部の葉裏に多く寄生し葉をわずかに縮ませ、大きなコロニーを形成する。,上部の葉裏に多く葉をわずかに縮ませる。,note-1005277,apply_single,原PDF page-054左・冊子330頁を目視確認
107,54,331,right,シソコブアブラムシ,Eomyzus nipponicus (Moritsu),species-21474,species_level_unqualified,species-21474,,現行分類のOvatus nipponicusへ対応,シソの地際の茎または地下の根に群棲し大きなコロニーを形成する。地際ではアリが訪れて土砂で覆う。,地際の茎または地下の根に寄生する。,,apply_single,原PDF page-054右・冊子331頁を目視確認
108,55,332,left,オシダコブアブラムシ,Macromyzus woodwardiae (Takahashi),species-21423,species_level_unqualified,species-21423,,原典見出しは亜種を限定しない,シダ類の葉裏に寄生し、しばしば大きなコロニーを形成する。,葉裏に寄生しコロニーはしばしば大きい。,note-1005278,apply_single,原PDF page-055左・冊子332頁を目視確認
109,55,333,right,ハッカイボアブラムシ,Ovatus crataegarius (Walker),species-21471,species_level_unqualified,species-21471,,原典見出しは亜種を限定しない,春から初夏にカリン・リンゴ類の葉裏や茎に寄生して大きな集団を形成し、葉を巻縮させることが多い。,葉裏に多くときに茎にも寄生する。,,apply_single,原PDF page-055右・冊子333頁を目視確認
110,56,334,left,ゴボウクギケアブラムシ,Capitophorus elaeagni (Del Guercio),species-21346,species_level_unqualified,species-21346,,原典見出しは亜種を限定しない,春は越冬寄主のグミの新芽・葉裏・葉柄で大繁殖し、夏はアザミ類やゴボウへ移住する。,グミでは新芽・葉裏・葉柄に寄生する。,,apply_single,原PDF page-056左・冊子334頁を目視確認
111,56,335,right,ヨモギクギケアブラムシ,Capitophorus formosartemisiae (Takahashi),species-21348,species_level_unqualified,species-21348,,原典見出しは亜種を限定しない,ヨモギ類の葉裏に多く寄生し小さなコロニーを形成することが多い。,葉裏に多くコロニーは小さいことが多い。,,apply_single,原PDF page-056右・冊子335頁を目視確認
112,57,336,left,イチゴケナガアブラムシ,Capitophorus fragaefolii (Cockerell),species-23125,species_level_unqualified,species-23125,,原典見出しは亜種を限定しない,イチゴの葉裏や葉柄に寄生し小さなコロニーを形成する。,葉裏や葉柄に寄生しコロニーは小さい。,note-1005279,apply_single,原PDF page-057左・冊子336頁を目視確認
113,57,337,right,タデクギケアブラムシ,Capitophorus hippophaes (Walker),species-21350|species-21351,species_level_unqualified,species-21350|species-21351,,原典はjavanicusを異名的扱いとし世界共通種として無限定で扱うため現行の種・亜種双方へ共有,春から夏はタデ類の葉裏に点在して小さなコロニーを形成し、秋にグミへ移住して卵態越冬し、春にグミの新芽・新葉で大繁殖する。,タデでは葉裏に点在しグミ上ではコロニーは大きい。,note-1005280|note-1005281,apply_share_species_level,原PDF page-057右・冊子337頁を目視確認
114,58,338,left,アキノタムラソウコブアブラムシ,Chaetomyzus hirticornis Takahashi,species-23126,species_level_unqualified,species-23126,,原典見出しは亜種を限定しない,トウバナ・アキノタムラソウ類の茎上部や花穂に密集した小さなコロニーを形成する。,茎上部や花穂に寄生しコロニーは小さいが密集する。,note-1005282,apply_single,原PDF page-058左・冊子338頁を目視確認
115,58,339,right,シクラメンコブアブラムシ,Neomyzus circumflexus (Buckton),species-23127,species_level_unqualified,species-23127,,原典見出しは亜種を限定しない,シクラメンなどの葉裏と葉柄に多く寄生しやや大きなコロニーを形成する。温室内で発生する花卉害虫である。,葉裏と葉柄に多くコロニーはやや大きい。,,apply_single,原PDF page-058右・冊子339頁を目視確認
116,59,340,left,ホップイボアブラムシ,Phorodon humuli Schrank,species-23128,species_level_unqualified,species-23128,,原典見出しは亜種を限定しない,冬寄主はスモモ・ウメ類、夏寄主はカナムグラ・ホップ類で、葉裏に大きなコロニーを形成する。スモモでは葉を巻縮させる。,葉裏に寄生しコロニーは大きい。,note-1005283|note-1005284,apply_single,原PDF page-059左・冊子340頁を目視確認
117,59,341,right,ネギアブラムシ,Neotoxoptera formosana (Takahashi),species-21468,species_level_unqualified,species-21468,,原典見出しは亜種を限定しない,ネギ類の葉に大きなコロニーを形成してしばしば大発生し、生長不良や葉枯れを生じさせる。,葉に寄生しコロニーは大きくしばしば大発生する。,note-1005285,apply_single,原PDF page-059右・冊子341頁を目視確認
118,60,342,left,,Neotoxoptera sp.,species-23083,source_unnamed_taxon,species-23083,,原典の未同定sp.を同じ現行未同定レコードへ対応,クサノオウの茎と葉裏に点在することが多くコロニーを形成することは少ない。,茎と葉裏に点在しコロニー形成は少ない。,,apply_single,原PDF page-060左・冊子342頁を目視確認
119,60,343,right,ウツギアブラムシ,Micromyzus diervillae (Matsumura),species-23129,species_level_unqualified,species-23129,,原典見出しは亜種を限定しない,ウツギ類の新梢の茎や葉裏に多く寄生しやや大きなコロニーを形成する。,新梢の茎や葉裏に多くコロニーはやや大きい。,note-1005286,apply_single,原PDF page-060右・冊子343頁を目視確認
120,61,344,left,ニッコウコブアブラムシ,Micromyzus nikkoensis Miyazaki?,species-21125,source_identification_questioned,,species-21125,原典Micromyzusと現行Tinocallisは属が異なり種小名一致だけの誤対応。正しい現行受け皿は未確定,原典ではヤマドリゼンマイ類の生長部の若葉裏に多く、きわめて大きなコロニーを形成するが、現行分類先が確定するまでサイトへ適用しない。,生長部の若い葉裏に多くコロニーはきわめて大きい。,,hold_unresolved_current_taxon,原PDF page-061左・冊子344頁を目視確認。species-21125由来行は除去対象
121,61,345,right,アシボソヒゲナガアブラムシ,Kaochiaoja arthraxonis (Takahashi),species-21413,species_level_unqualified,species-21413,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,,葉裏に多く寄生する。,,add_verified_fields,原画像 page-061.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 形態記載・分類比較・寄主名一覧を除くと、独立した客観的生態記述はない。
122,62,346,left,ヨモギキイロコブアブラムシ,Tuberocephalus artemisiae Shinji,species-21512,species_level_unqualified,species-21512,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ヨモギ上ではサクラフシアブラムシの夏寄主世代と混棲することがある。冬寄主植物は未解明である。,葉裏に多い。,,add_verified_fields,原画像 page-062.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
123,62,347,right,サクラコブアブラムシ,Tuberocephalus sakurae (Matsumura),species-21519,species_level_unqualified,species-21519,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,春から初夏に新梢上部の葉を巻縮させ、葉は黄赤色から赤色に変わる。夏にはサクラから移住する。広く分布する普通種である。,葉裏に寄生し、葉は顕著に縮む。コロニーは大きいことが多い。,,add_verified_fields,原画像 page-062.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
124,63,348,left,サクラフシアブラムシ,Tuberocephalus sasakii (Matsumura),species-21520,species_level_unqualified,species-21520,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,サクラの葉に黄紅色の袋状虫癭をつくる。オオシマザクラに多くヤマザクラでは少ない。夏寄主はヨモギ類で、冬寄主のサクラでは無翅胎生雌を生じない。,サクラでは葉に虫癭を形成し、ヨモギでは葉裏に多く寄生する。,note-1005287|note-1005288,retain_verified_emergence_replace_corrupt_ecology,原画像 page-063.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005287;note-1005288 は原画像と照合して判断した。
125,63,349,right,,Tuberocephalus sp.,species-23084,source_morphospecies_unresolved,species-23084,,原典の未同定 morphospecies と現行の同名未同定行を一対一に対応付け、他種へは共有しない。,西日本でチュウゴクオウトウの葉縁に袋状虫癭をつくり、同植物以外からは採集されていない。第2世代の有翅形が移住後、虫癭部は枯死して茶褐色になる。夏寄主は不明である。,一本の木の極めて多数の葉に虫癭が形成される。,,add_verified_fields,原画像 page-063.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
126,64,350,left,ワラビツメナシアブラムシ,Shinjia orientalis (Mordvilko),species-21492,species_level_unqualified,species-21492,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,春から夏にワラビでしばしば発生する広分布の普通種で、冬寄主はガマズミ類である。,ワラビ、ガマズミともに葉裏に寄生し、コロニーは大きく、大発生する。,note-1005289|note-1005290,retain_verified_emergence_replace_corrupt_ecology,原画像 page-064.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005289;note-1005290 は原画像と照合して判断した。
127,64,351,right,ツリフネソウコブアブラムシ,Eumyzus gallicola Takahashi,species-21396,species_level_unqualified,species-21396,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,キツリフネの葉を袋状に巻縮させ、その内部で生活する。キツリフネ以外からは採集されていない。,葉に寄生し、葉は巻縮して袋状の虫癭になる。,note-1005291,replace_corrupt_notes_with_verified_fields,原画像 page-064.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005291 は原画像と照合して判断した。
128,65,352,left,ホウセンカコブアブラムシ,Eumyzus impatiensae (Shinji),species-21397,species_level_unqualified,species-21397,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ツリフネソウ・キツリフネの葉を細長い袋状の虫癭にし、葉の一部を赤変させる。山地に広く分布し、国外では韓国にも分布する。,葉表に寄生し、葉は葉表に巻縮して虫癭を形成する。,,add_verified_fields,原画像 page-065.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
129,65,353,right,ヤマハッカアブラムシ,Eumyzus plectranthi (Shinji),species-21395,species_level_unqualified,species-21395,,原典自身が Eumyzus clinopodii を本種のシノニム候補とするため、現行 E. clinopodii に対応付けた。,葉表で生活し、葉を上方へ巻いた袋状の虫癭にして赤紫色に変色させる。,葉に寄生して虫癭を形成する。,,add_verified_fields,原画像 page-065.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
130,66,354,left,オオダイヨツオアブラムシ,Akkaia odaiensis Takahashi,,species_level_unqualified,,,現行昆虫台帳に安全に一致する分類群がないため、本文は採録候補として保持し適用を止める。,夏寄主をミゾソバ類、冬寄主をドウダンツツジ類とする完全生活環をもつ。,ミゾソバの葉裏に寄生し、コロニーは大きい。ドウダンツツジでは葉裏に寄生し、コロニーはやや小さい。,,hold_no_safe_current_target,原画像 page-066.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
131,66,355,right,タデヨツオヒゲナガアブラムシ,Akkaia polygoni Takahashi,species-23130,species_level_unqualified,species-23130,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,冬寄主上で卵越冬し、春に有翅形が夏寄主へ移住して単性世代を送り、秋に両性世代が冬寄主へ移る。,茎の上部あるいは葉の表裏に寄生する。散在して生活することが多い。,,add_verified_fields,原画像 page-066.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
132,67,356,left,ウドフタオアブラムシ,Cavariella araliae Takahashi,species-21362,species_level_unqualified,species-21362,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,冬寄主にヤナギ類、夏寄主にセリ科植物を利用する群を含む。山野のタラノキ類に大集団をつくる広分布の普通種である。,葉裏に多く、ときに茎、葉柄に寄生し、コロニーは極めて大きい。,,add_verified_fields,原画像 page-067.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
133,67,357,right,カクレミノフタオアブラムシ,Cavariella gilibertiae Takahashi,species-21363,species_level_unqualified,species-21363,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,カクレミノに寄生し、山野に自生する寄主上で見られる。,葉裏に多く寄生し、コロニーは大きい。,note-1005292|note-1005293,delete_wrong_account_notes_and_add_verified_fields,原画像 page-067.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005292;note-1005293 は原画像と照合して判断した。
134,68,358,left,シラネセンキュウフタオアブラムシ,Cavariella japonica (Essig et Kuwana),species-21364,species_level_unqualified,species-21364,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,冬寄主はヤナギ類、春夏の寄主はシラネセンキュウ・ミツバ類で、広く分布する普通種である。,ヤナギでは葉裏、ときに茎に、ミツバでは茎に多く、アリが土砂で覆うことがある。,,add_verified_fields,原画像 page-068.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
135,68,359,right,ヤナギフタオアブラムシ,Cavariella salicicola (Matsumura),species-21368,species_level_unqualified,species-21368,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,冬寄主はヤナギ類、夏寄主はセリ・ミツバ類で、広く分布する普通種である。,ヤナギでは新梢の茎、葉裏に多く、コロニーは大きい。,,add_verified_fields,原画像 page-068.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
136,69,360,left,イチゴトゲアブラムシ,Matsumuraja rubi (Matsumura),species-21448,species_level_unqualified,species-21448,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,山野のキイチゴ類に寄生し、写真の個体群はクマイチゴ上で観察された。,葉裏に寄生し、コロニーは小さい。,,add_verified_fields,原画像 page-069.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
137,69,361,right,イチゴハトゲアブラムシ,Matsumuraja rubifoliae Takahashi,species-21449,species_level_unqualified,species-21449,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,春から初夏にキイチゴ類で見られる普通種で、冬寄主はリョウブである。,生長部の茎、葉裏に多く寄生し、コロニーは大きい。,,add_verified_fields,原画像 page-069.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
138,70,362,left,ナガバキイチゴトゲアブラムシ,Matsumuraja rubiphila Takahashi,species-21450,species_level_unqualified,species-21450,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ナガバモミジイチゴ類に寄生する。,葉裏に多く寄生し、コロニーは大きい。,note-1005294,replace_corrupt_notes_with_verified_fields,原画像 page-070.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005294 は原画像と照合して判断した。
139,70,363,right,イシミカワイボアブラムシ,Trichosiphonaphis ishimikawae (Shinji),species-23131,species_level_unqualified,species-23131,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,東南アジアに広く分布し、日本でも広分布の普通種である。本属では一般に冬寄主としてスイカズラ類、夏寄主としてタデ類が知られ、本種は夏にイシミカワ・ママコノシリヌクイへ寄生する。,生長部の茎、葉裏に寄生し、コロニーはやや大きい。,note-1005295|note-1005296,replace_corrupt_notes_with_verified_fields,原画像 page-070.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005295;note-1005296 は原画像と照合して判断した。
140,71,364,left,スイカズラヒゲナガアブラムシ,Trichosiphonaphis lonicerae (Uye),species-23132,species_level_unqualified,species-23132,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,1923年に大分県のスイカズラから記載され、本州から西日本に広く分布する普通種である。,生長部の茎に多く寄生し、コロニーは小さいことが多い。,note-1005297,replace_corrupt_notes_with_verified_fields,原画像 page-071.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005297 は原画像と照合して判断した。
141,71,365,right,タデイボアブラムシ,Trichosiphonaphis polygoni (van der Goot),species-21509,species_level_unqualified,species-21509,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,イヌタデに寄生し、中国・ジャワにも分布する、日本の普通種である。,茎および葉裏に多く、また花穂にも寄生する。コロニーは小さい。,,add_verified_fields,原画像 page-071.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
142,72,366,left,タデケクダヒゲナガアブラムシ,Trichosiphonaphis polygoniformosanus (Takahashi),species-23133,species_level_unqualified,species-23133,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,日本では主にミゾソバに寄生する広分布の普通種で、台湾ではイシミカワ、のちにスイカズラからも採集された。,生長部の茎、葉裏に寄生し、コロニーはやや大きい。,note-1005298,replace_corrupt_notes_with_verified_fields,原画像 page-072.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005298 は原画像と照合して判断した。
143,72,367,right,タデヒゲナガアブラムシ,Trichosiphonaphis tade (Shinji),species-23134,species_level_unqualified,species-23134,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ミゾソバのみに寄生する。,茎と葉裏に寄生し、コロニーは小さい。,note-1005299,replace_corrupt_notes_with_verified_fields,原画像 page-072.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005299 は原画像と照合して判断した。
144,73,368,left,ツツジアブラムシ,Vesiculaphis caricis (Fullaway),species-21526,species_level_unqualified,species-21526,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,ヨーロッパおよび東南アジアに分布し、日本でも広分布の普通種である。冬寄主はツツジ類、夏寄主はカヤツリグサ類である。,茎、葉に寄生し、コロニーは小さい。,,add_verified_fields,原画像 page-073.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
145,73,369,right,ナシマルアブラムシ,Sappaphis piri Matsumura,species-21489,species_level_unqualified,species-21489,,原典の見出し分類群と現行分類群が一対一に対応し、地域・亜種限定の記述はない。,冬寄主はナシ、夏寄主はヨモギで、初春にナシの新梢・葉を巻縮させ、夏はヨモギの根に大きなコロニーをつくる。ナシの害虫である。,ナシでは多く葉裏に群棲する。ヨモギでは根、特に主根に多い。,note-1005300|note-1005301,replace_corrupt_notes_with_verified_fields,原画像 page-073.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 既存注記 note-1005300;note-1005301 は原画像と照合して判断した。
146,74,370,left,フウロケマンアブラムシ,Hyalopteroides corydalisicola (Tao),species-21417,species_level_unqualified,species-21417,,原典のシノニム Longicaudinus corydalisicola と現行 Longicaudus corydalisicola の同一種概念に対応付けた。,台湾でケマンソウ類から記載され、日本ではキケマン類から採集される。,葉裏に寄生し、コロニーはときに大きい。山地に多く分布するようである。,,add_verified_fields,原画像 page-074.jpg left の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。
147,74,371,right,ウメモドキオマルアブラムシ,Macchiatiella ilexis (Moritsu),species-21292,species_level_unqualified,,species-21292,原典は Macchiatiella ilexis と Macrosiphoniella prunifoliae を別種と明記する一方、現行候補は Ryoichitakahashia prunifoliae であるため適用しない。,,小枝に多く寄生するが、ときに葉裏にも寄生する。コロニーは大きい。,,hold_no_safe_current_target,原画像 page-074.jpg right の見出し、本文、末尾「寄生」欄を目視確認。OCRは所在候補にのみ使用。 形態記載・分類比較・寄主名一覧を除くと、独立した客観的生態記述はない。
