source_account_id,printed_page,pdf_page,source_japanese_name,source_scientific_name,mapping_status,mapping_evidence,current_insect_ids,source_food_text,accepted_host_memberships,source_emergence_text,approved_emergence_notes,source_habitat_text,source_larval_text,approved_ecology_notes,mutation_count,verification_status
H6-057,42,44,レモントビハムシ,Clitea metallica Chen,mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H017,ヒラミレモン。,species-H017:ヒラミレモン,3〜7月；中国浙江省では年3化、成虫越冬。,species-H017:3〜7月,平地〜低山地；果樹園。,葉面に単黄色の細長い卵を産みつけ、幼虫は3月下旬に葉上にみられた。クビボソハムシ類のように背面を軟らかい糞でおおう。3齢で老熟すれば、枝や幹の割目などで蛹化する。中国では柑橘類の害虫とされるが、沖縄での害は少ないようである。,species-H017:生息地：平地〜低山地；果樹園。幼生期：葉面に単黄色の細長い卵を産みつけ、幼虫は3月下旬に葉上にみられた；クビボソハムシ類のように背面を軟らかい糞でおおう；3齢で老熟すれば、枝や幹の割目などで蛹化する。,3,original_pdf_page_verified
H6-058,42,44,ミドリトビハムシ,Crepidodera japonica Baly,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H069,ヤナギ類。,species-H069:ヤナギ,5〜10月；年1化、成虫越冬と思われる。,species-H069:5〜10月,低地から低山地；湿地、沢沿い。,不明。,species-H069:生息地：低地から低山地；湿地、沢沿い。,3,original_pdf_page_verified
H6-059,43,45,スズキミドリトビハムシ,Crepidodera sahalinensis Konstantinov,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H070,アカメヤナギ、カワヤナギ、シダレヤナギ、タチヤナギ (岩井、2005),species-H070:アカメヤナギ;species-H070:カワヤナギ;species-H070:シダレヤナギ;species-H070:タチヤナギ,4〜10月；年1化、成虫越冬と思われる。,species-H070:4〜10月,低地；河川敷。,不明。,species-H070:生息地：低地；河川敷。,2,original_pdf_page_verified
H6-060,43,45,ヤヒロミドリトビハムシ,Crepidodera yahiroi Suzuki,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H071,マルバヤナギ。,species-H071:マルバヤナギ,4〜8月；年1化、成虫越冬と思われる。,species-H071:4〜8月,低地；河川敷、湖岸。,不明。,species-H071:生息地：低地；河川敷、湖岸。,2,original_pdf_page_verified
H6-061,43,45,ヤハズトビハムシ,Dibolia japonica Chen,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H072,イヌゴマ。,species-H072:イヌゴマ,4〜10月；年1化、成虫越冬?,species-H072:4〜10月,低地〜山地；草地、河川敷、庭地。,不明であるが、潜葉性である。,species-H072:生息地：低地〜山地；草地、河川敷、庭地。幼生期：潜葉性である。河川敷や庭先などで多数みられることがある。,3,original_pdf_page_verified
H6-062,43,45,タバコノミハムシ,Epitrix hirtipennis (Melsheimar),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H074,ジャガイモ、ナス、ホウズキなどのナス科作物、草本。,species-H074:ジャガイモ;species-H074:ナス;species-H074:ホウズキ,5〜11月；おそらくは多化性、成虫越冬。,species-H074:5〜11月,低地〜低山地；圃場。,国外では地中性の幼虫が報告されている。,species-H074:生息地：低地〜低山地；圃場。幼生期：国外では地中性の幼虫が報告されている。北米原産のタバコの重要害虫である。,6,original_pdf_page_verified
H6-063,43,45,ニセタマトビハムシ,Euphitrea nisotroides (Chen),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H075,,,,,,,,0,original_pdf_page_verified
H6-064,43,45,ヨツモンミゾアシノミハムシ,Hemipyxis balyi yaeyamana Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H081,ムラサキシキブ類。,species-H081:ムラサキシキブ,4〜7月；年1化、成虫越冬?,species-H081:4〜7月,低地〜低山地。,,species-H081:生息地：低地〜低山地。,2,original_pdf_page_verified
H6-065,44,46,ヒメマルノミハムシ,Hemipyxis changi Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H082,,species-H082:ムラサキシキブ,,,,,,1,original_pdf_page_verified
H6-066,44,46,キベリヒラタノミハムシ,Hemipyxis cinctipennis (Weise),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H083;species-H084,クサギ、オオバコ、ツワブキ。,species-H083:クサギ;species-H083:オオバコ;species-H083:ツワブキ;species-H084:クサギ;species-H084:オオバコ;species-H084:ツワブキ,4〜6月；年1化、成虫越冬?,species-H083:4〜6月;species-H084:4〜6月,低地〜低山地；林縁、路傍、草地など。,葉面に卵を産みつけ、幼虫は葉を食うが、夜間活動性であるのか、地表に近いオオバコなどに多いらしく、野外で幼虫を確認できることは少ない。,species-H083:生息地：低地〜低山地；林縁、路傍、草地など。幼生期：葉面に産卵し、幼虫は葉を食べる。野外で幼虫が確認されることは少ない。;species-H084:生息地：低地〜低山地；林縁、路傍、草地など。幼生期：葉面に産卵し、幼虫は葉を食べる。野外で幼虫が確認されることは少ない。,7,original_pdf_page_verified
H6-067,44,46,キバラマルノミハムシ,Hemipyxis flaviabdominalis Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H085,,,,species-H085:2月に採集記録,,,,1,original_pdf_page_verified
H6-068,44,46,キバネマルノミハムシ,Hemipyxis flavipennis (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H086,ネズミモチ、コバノトネリコ。,species-H086:ネズミモチ;species-H086:コバノトネリコ,4〜7月；年1化、成虫越冬。,species-H086:4〜7月,低地〜低山地；広葉樹林、林縁、路傍など。,室内では5月に産卵するが、野外で幼虫を確認していない。,species-H086:生息地：低地〜低山地；広葉樹林、林縁、路傍など。幼生期：室内では5月に産卵するが、野外で幼虫を確認していない。,4,original_pdf_page_verified
H6-069,44,46,キイロミゾアシノミハムシ,Hemipyxis foveolata foveolata (Chujo),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H087,リュウキュウモチ、クサギ。,species-H087:リュウキュウモチ;species-H087:クサギ,4〜5月；年1化、成虫越冬?,species-H087:4〜5月,低地〜低山地；広葉樹林、林縁、路傍など。,不明。,species-H087:生息地：低地〜低山地；広葉樹林、林縁、路傍など。,4,original_pdf_page_verified
H6-070,44,46,ヒゲナガマルノミハムシ,Hemipyxis plagioderoides (Motschulsky),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H089,オオバコ、クサギ、オドリコソウ、テンニンソウなど。,species-H089:オオバコ;species-H089:クサギ;species-H089:オドリコソウ;species-H089:テンニンソウ,4〜8月；年1化、成虫越冬。,species-H089:4〜8月,低地〜山地；広葉樹林、林縁、沢沿い、路傍。,5〜6月に葉面に産卵する。幼虫は葉を食うが、野外では見つけにくい。,species-H089:生息地：低地〜山地；広葉樹林、林縁、沢沿い、路傍。幼生期：5〜6月に葉面に産卵する；幼虫は葉を食うが、野外では見つけにくい。,9,original_pdf_page_verified
H6-071,44,46,マエモンヒラタノミハムシ,Hemipyxis shirakii Nakane et Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H090,不明。,,4〜7月；年1化、成虫越冬?,species-H090:4〜7月,低地〜低山地；広葉樹林、林縁など。,不明。,species-H090:生息地：低地〜低山地；広葉樹林、林縁など。,2,original_pdf_page_verified
H6-072,44,46,タカラミゾアシノミハムシ,Hemipyxis takarai Kimoto et Gressitt,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H091,,,,species-H091:3月に採集記録,,,,1,original_pdf_page_verified
H6-073,45,47,シロヒゲトビハムシ,Hespera lomasa Maulik,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H093,不明。,,4〜5月；年1化、成虫越冬?,species-H093:4〜5月,低地〜低山地；林縁、荒地、草地。,不明。,species-H093:生息地：低地〜低山地；林縁、荒地、草地。,2,original_pdf_page_verified
H6-074,45,47,アカガネトビハムシ,Hippuriphila babai (Chujo),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H094,スギナと思われる。,,5〜9月；年1化、成虫越冬。,species-H094:5〜9月,低地；路傍、湿地など。,不明であるが、シベリアの modeeri (Linnaeus) はスギナの茎内に潜入する。,species-H094:生息地：低地；路傍、湿地など。,3,original_pdf_page_verified
H6-075,45,47,コブアシトビハムシ,Hyphasis inconstans Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H095,,,,,,,,0,original_pdf_page_verified
H6-076,45,47,ヘリグロセダカトビハムシ,Lanka esakii (Chujo et Ohno),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H101,フウトウカズラ。,species-H101:フウトウカズラ,,,不明。,,,1,original_pdf_page_verified
H6-077,45,47,キイロセダカトビハムシ,Lanka fulva (Chujo),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H102,フウトウカズラ。,species-H102:フウトウカズラ,4月；年1化、成虫越冬?,species-H102:4月,低地〜低山地；広葉樹林、林縁。,不明。,species-H102:生息地：低地〜低山地；広葉樹林、林縁。,3,original_pdf_page_verified
H6-078,45,47,ホウノキセダカトビハムシ,Lanka magnoliae (Chujo et Ohno),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H103,ホウノキ。,species-H103:ホオノキ,4〜9月；年1化、成虫越冬。,species-H103:4〜9月,低地〜低山地；広葉樹林、林縁、沢筋。,室内ではホウノキの葉の葉脈沿いに産卵し、幼虫が孵化した。形態からは潜葉性あるいは地中性と思われるが、不明である。,species-H103:生息地：低地〜低山地；広葉樹林、林縁、沢筋。幼生期：室内ではホオノキの葉脈沿いに産卵し、幼虫が孵化した。,3,original_pdf_page_verified
H6-079,45,47,セスジトビハムシ,Lipromela minutissima (Pic),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H107,ハンノキ。,species-H107:ハンノキ,6〜7月；年1化、成虫越冬?,species-H107:6〜7月,低地〜低山地；広葉樹林、林縁、林道沿い。,不明。,species-H107:生息地：低地〜低山地；広葉樹林、林縁、林道沿い。,2,original_pdf_page_verified
H6-080,46,48,オキナワセスジトビハムシ,Lipromela okinawana Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H108,カエデ類。,species-H108:カエデ,4〜5月；年1化、成虫越冬?,species-H108:4〜5月,低地〜低山地；広葉樹林、林縁、林道沿い。,不明。,species-H108:生息地：低地〜低山地；広葉樹林、林縁、林道沿い。,2,original_pdf_page_verified
H6-081,46,48,サシゲトビハムシ,Lipromima minuta (Jacoby),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H109,ヌルデ。,species-H109:ヌルデ,4〜10月；年1化、成虫越冬?,species-H109:4〜10月,低地〜低山地；広葉樹林、林縁、林道沿い、草地。,不明。,species-H109:生息地：低地〜低山地；広葉樹林、林縁、林道沿い、草地。,3,original_pdf_page_verified
H6-082,46,48,オキノエラブクビボソトビハムシ,Lipromorpha inexpectata Komiya,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H110,テリハノブドウ。,species-H110:テリハノブドウ,4月；年1化、成虫越冬?,species-H110:4月,低地；草地。,不明であるが、地中性と思われる。,species-H110:生息地：低地；草地。,2,original_pdf_page_verified
H6-083,46,48,リュウキュウクビボソトビハムシ,Lipromorpha loochooana Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H111,テリハノブドウ。,species-H111:テリハノブドウ,4〜5月；年1化、成虫越冬?,species-H111:4〜5月,低地〜低山地；広葉樹林林縁、路傍。,不明。,species-H111:生息地：低地〜低山地；広葉樹林林縁、路傍。,2,original_pdf_page_verified
H6-084,46,48,サキシマクビボソトビハムシ,Lipromorpha sakishimana Komiya,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H112,テリハノブドウ。,species-H112:テリハノブドウ,3〜4月；年1化、成虫越冬?,species-H112:3〜4月,低地；林縁、路傍。,不明。,species-H112:生息地：低地；林縁、路傍。,2,original_pdf_page_verified
H6-085,46,48,ナガトビハムシ,Liprus punctatostriatus (Motschulsky),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H113,ギボウシ類、キチジョウソウ。,species-H113:ギボウシ;species-H113:キチジョウソウ,4〜7月；年1化、成虫越冬。,species-H113:4〜7月,低地〜低山地；広葉樹林、林床、林縁、草地、湿地、庭など。,5月にギボウシ類の根部に地中性の幼虫がみられた。,species-H113:生息地：低地〜低山地；広葉樹林、林床、林縁、草地、湿地、庭など。幼生期：5月にギボウシ類の根部に地中性の幼虫がみられた。,4,original_pdf_page_verified
H6-086,46,48,アダムスアシナガトビハムシ,Longitarsus adamsii (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H114,トウゲブキ、ハンゴンソウ、キオン、フキ。,species-H114:トウゲブキ;species-H114:ハンゴンソウ;species-H114:キオン;species-H114:フキ,7〜9月；年1化、成虫越冬。,species-H114:7〜9月,低地から山地；湿地、草地、広葉樹林林床。,不明であるが、地中性と思われる。,species-H114:生息地：低地から山地；湿地、草地、広葉樹林林床。,2,original_pdf_page_verified
H6-087,47,49,クロボシトビハムシ,Longitarsus bimaculatus (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H115,ネズミモチ類、イボタ。,species-H115:ネズミモチ;species-H115:イボタ,4〜11月；年1化、成虫越冬。,species-H115:4〜11月,低地から低山地；路傍、生垣、広葉樹林、河川敷。,,species-H115:生息地：低地から低山地；路傍、生垣、広葉樹林、河川敷。市街地の植込みなどにも多くみられる。,4,original_pdf_page_verified
H6-088,47,49,ミスジアシナガトビハムシ,Longitarsus boharti Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H116,,,,species-H116:5月に採集記録,,,,1,original_pdf_page_verified
H6-089,47,49,ムラサキアシナガトビハムシ,Longitarsus boraginicolus Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H117,ハナイバナ、オニルリソウ、オオルリソウ、ヤマルリソウ、ホタルカズラ、ハマベンケイソウ、スナビキソウ、ミズタビラコ、ツルカメバソウ、キュウリグサ、ヒレハリソウ。,species-H117:ハナイバナ;species-H117:オニルリソウ;species-H117:オオルリソウ;species-H117:ヤマルリソウ;species-H117:ホタルカズラ;species-H117:ハマベンケイソウ;species-H117:スナビキソウ;species-H117:ミズタビラコ;species-H117:ツルカメバソウ;species-H117:キュウリグサ;species-H117:ヒレハリソウ,3〜11月；年1化?、成虫越冬。,species-H117:3〜11月,低地〜低山地；路傍、草地、河川敷、畑地、庭など。,不明であるが、地中性と思われる。,species-H117:生息地：低地〜低山地；路傍、草地、河川敷、畑地、庭など。,2,original_pdf_page_verified
H6-090,47,49,アカアシナガトビハムシ,Longitarsus cervinus (Baly),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H118,フキ。,species-H118:フキ,4〜6月；年1化、成虫越冬?,species-H118:4〜6月,低地〜低山地；草地。,不明であるが、地中性と思われる。,species-H118:生息地：低地〜低山地；草地。,2,original_pdf_page_verified
H6-091,47,49,セアカアシナガトビハムシ,Longitarsus dorsopictus Chen,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H119,中国ではイボタ類 (Ligustrum sinense),species-H119:イボタ,,,,,,1,original_pdf_page_verified
H6-092,47,49,タイワンアシナガトビハムシ,Longitarsus formosanus Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H120,オオキバムカシヨモギ。,species-H120:オオキバムカシヨモギ,,,不明。,,,2,original_pdf_page_verified
H6-093,47,49,イヌノフグリトビハムシ,Longitarsus holsaticus (Linnaeus),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H121,イヌノフグリ類、タチイヌノフグリ。,species-H121:イヌノフグリ;species-H121:タチイヌノフグリ,3〜11月；年1化、成虫越冬。,species-H121:3〜11月,低地〜低山地；草地、畦畔、河川敷、畑地、路傍。,不明であるが、地中性と思われる。,species-H121:生息地：低地〜低山地；草地、畦畔、河川敷、畑地、路傍。,3,original_pdf_page_verified
H6-094,48,50,イシガキアシナガトビハムシ,Longitarsus ishigakiensis Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H122,,,,,,,,0,original_pdf_page_verified
H6-095,48,50,コミヤアシナガトビハムシ,Longitarsus komiyai Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H123,イヌゴマ、ヤマハッカ、アキノタムラソウ、メハジキ。,species-H123:イヌゴマ;species-H123:ヤマハッカ;species-H123:アキノタムラソウ;species-H123:メハジキ,5〜9月；年1化、成虫越冬?,species-H123:5〜9月,低地〜丘陵地；草地。,不明であるが、地中性と思われる。,species-H123:生息地：低地〜丘陵地；草地。,2,original_pdf_page_verified
H6-096,48,50,クガイソウアシナガトビハムシ,Longitarsus longiseta Weise,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H125,クガイソウ、オオバコ類。,species-H125:クガイソウ;species-H125:オオバコ,4〜9月；年1化、成虫越冬?,species-H125:4〜9月,低地〜山地；草地、湿地。,不明であるが、地中性と思われる。,species-H125:生息地：低地〜山地；草地、湿地。,2,original_pdf_page_verified
H6-097,48,50,コクロアシナガトビハムシ,Longitarsus morrisonus Chujo,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H126,キュウリグサ、ハナイバナ。,species-H126:キュウリグサ;species-H126:ハナイバナ,3〜11月；年1化、成虫越冬?,species-H126:3〜11月,低地〜山地；草地、畑地、河川敷、路傍。,,species-H126:生息地：低地〜山地；草地、畑地、河川敷、路傍。,2,original_pdf_page_verified
H6-098,48,50,ハッカアシナガトビハムシ,Longitarsus nipponensis Csiki,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H127,ハッカ、ヤマハッカ、ヒキオコシ、メハジキ、ウツボグサ。,species-H127:ハッカ;species-H127:ヤマハッカ;species-H127:ヒキオコシ;species-H127:メハジキ;species-H127:ウツボグサ,3〜10月；年1化、成虫越冬?,species-H127:3〜10月,低地〜山地；草地、湿地、河川敷。,不明であるが、地中性と思われる。,species-H127:生息地：低地〜山地；草地、湿地、河川敷。,2,original_pdf_page_verified
H6-099,48,50,ヒヨドリバナアシナガトビハムシ,Longitarsus nitidiamiculus Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H128,ヒヨドリバナ、ヤマヒヨドリ、ヨツバヒヨドリ。,species-H128:ヒヨドリバナ;species-H128:ヤマヒヨドリ;species-H128:ヨツバヒヨドリ,6〜9月；年1化、成虫越冬?,species-H128:6〜9月,低地〜山地；草地、林縁、河川敷。,不明であるが、地中性と思われる。,species-H128:生息地：低地〜山地；草地、林縁、河川敷。,2,original_pdf_page_verified
H6-100,48,50,オオアシナガトビハムシ,Longitarsus nitidus Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H129,ヒルガオ、ハマヒルガオ。,species-H129:ヒルガオ;species-H129:ハマヒルガオ,6〜9月；年1化、成虫越冬?,species-H129:6〜9月,低地から低山地；林縁、路傍、草地、畑地、河川敷。,不明であるが、地中性と思われる。,species-H129:生息地：低地から低山地；林縁、路傍、草地、畑地、河川敷。,2,original_pdf_page_verified
H6-101,49,51,チュウジョウアシナガトビハムシ,Longitarsus ohnoi Gruev,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H130,ヒルガオ。,species-H130:ヒルガオ,7〜8月。,species-H130:7〜8月,,,,2,original_pdf_page_verified
H6-102,49,51,ヒナノウスツボアシナガトビハムシ,Longitarsus okushirensis Gruev,mapped_japanese,原本和名と現行和名・別名の一意一致,species-H131,エゾヒナノウスツボ。,species-H131:エゾヒナノウスツボ,7〜8月。,species-H131:7〜8月,,,,2,original_pdf_page_verified
H6-103,49,51,トウヨウアシナガトビハムシ,Longitarsus orientalis Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H132,ニガクサ。,species-H132:ニガクサ,6〜10月；年1化、成虫越冬?,species-H132:6〜10月,低地；河川敷、湿地。,不明であるが、地中性と思われる。,species-H132:生息地：低地；河川敷、湿地。,2,original_pdf_page_verified
H6-104,49,51,カクムネアシナガトビハムシ,Longitarsus quadraticollis Jacoby,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H134,ムラサキシキブ、オオムラサキシキブ。,species-H134:ムラサキシキブ;species-H134:オオムラサキシキブ,5〜8月；年1化、成虫越冬?,species-H134:5〜8月,低地〜低山地；広葉樹林、林縁。,不明であるが、地中性と思われる。,species-H134:生息地：低地〜低山地；広葉樹林、林縁。成虫はムラサキシキブ類の花によく集まる。,2,original_pdf_page_verified
H6-105,49,51,タツナミソウアシナガトビハムシ,Longitarsus scutellariae Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H135,タツナミソウ、ヤマタツナミソウ、シソバタツナミソウ。,species-H135:タツナミソウ;species-H135:ヤマタツナミソウ;species-H135:シソバタツナミソウ,5〜9月。,species-H135:5〜9月,低地〜低山地。,,species-H135:生息地：低地〜低山地。,2,original_pdf_page_verified
H6-106,49,51,オオバコトビハムシ,Longitarsus scutellaris (Rey),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H136,オオバコ、エゾオオバコ。,species-H136:オオバコ;species-H136:エゾオオバコ,4〜11月；多化性?、成虫越冬。,species-H136:4〜11月,低地〜山地；路傍、草地、荒地、畑地、河川敷。,8月に室内で産卵し、孵化幼虫はオオバコの根部を加害した。,species-H136:生息地：低地〜山地；路傍、草地、荒地、畑地、河川敷。幼生期：8月に室内で産卵し、孵化幼虫はオオバコの根部を加害した。,4,original_pdf_page_verified
H6-107,50,52,ヨモギアシナガトビハムシ,Longitarsus succineus (Foudras),mapped_override,現行日本列島の甲虫全種目録の旧学名・異名欄,species-H137,イワヨモギ、オトコヨモギ、ヨモギ、ヤマヨモギ、ツワブキ。,species-H137:イワヨモギ;species-H137:オトコヨモギ;species-H137:ヨモギ;species-H137:ヤマヨモギ;species-H137:ツワブキ,4〜10月；年1化、成虫越冬?,species-H137:4〜10月,低地〜山地；草地、河川敷、林縁、林道沿い。,不明であるが、地中性と思われる。,species-H137:生息地：低地〜山地；草地、河川敷、林縁、林道沿い。,6,original_pdf_page_verified
H6-108,50,52,ハンゴンソウアシナガトビハムシ,Longitarsus suturellus (Duftschmid),mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H138,ハンゴンソウ。,species-H138:ハンゴンソウ,5〜10月；年1化、成虫越冬。,species-H138:5〜10月,低地〜山地；草地、沢沿い、湿地。,不明であるが、地中性と思われる。,species-H138:生息地：低地〜山地；草地、沢沿い、湿地。,2,original_pdf_page_verified
H6-109,50,52,スズキアシナガトビハムシ,Longitarsus suzukii Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H139,不明。,,6〜9月；年1化、成虫越冬?,species-H139:6〜9月,低地〜山地；草地、湿地。,不明であるが、地中性と思われる。,species-H139:生息地：低地〜山地；草地、湿地。青森県車力村では海岸付近のヨシ湿地で晩秋に多数の未熟個体がみられた。,2,original_pdf_page_verified
H6-110,50,52,マルアシナガトビハムシ,Longitarsus tabidus (Fabricius),mapped_override,Takizawa 2015原記載・現行目録・Sergeev 2024再検討,species-H133,不明。,,8月。,species-H133:8月,低地。,,species-H133:生息地：低地。,2,original_pdf_page_verified
H6-111,50,52,トカラアシナガトビハムシ,Longitarsus tokaranus Nakane et Kimoto,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H140,,,,species-H140:4月に採集記録,,,,1,original_pdf_page_verified
H6-112,50,52,カクバネアシナガトビハムシ,Longitarsus yoshiakii Ohno,mapped_scientific,現行学名の属名・種小名・明示亜種の一致,species-H141,ヒメジオン、オグルマ。,species-H141:ヒメジョオン;species-H141:オグルマ,3、7、9月。,species-H141:3、7、9月,不明。,,,3,original_pdf_page_verified
