和名,学名,成虫発生時期,成虫発生時期に関する備考
キモンハイイロナミシャク,"Venusia blomeri (Curtis, 1832)",6月中旬-8月,年1化
マエモンハイイロナミシャク,"Venusia semistrigata (Christoph, 1881)",4月上旬-5月下旬,年1化
フタモンコナミシャク,"Venusia megaspilata (Warren, 1895)","低山地: 3月下旬-4月、山地: 4-5月上旬",年1化
ナナスジナミシャク,"Venusia phasma (Butler, 1879)",9月中旬-10月下旬,年1化
キスジハイイロナミシャク,"Hydrelia sylvata (Denis & Schiffermüller, 1775)",4月下旬-7月下旬,年1化
ホソスジハイイロナミシャク,"Hydrelia gracilipennis Inoue, 1982",7月-8月,年1化
チビヒメナミシャク,"Hydrelia shioyana (Matsumura, 1927)",5月-8月,年2化と思われる
カバイロヒメナミシャク,"Hydrelia adesma Prout, 1930",5月-8月,年2化の可能性が高い
テンスジヒメナミシャク,"Hydrelia nisaria (Christoph, 1881)","4月下旬-6月中旬, 7月上旬-8月上旬",年2化と思われる
マダラウスナミシャク,"Hydrelia bicauliata Prout, 1914",4月-5月,年1化
キヒメナミシャク,"Hydrelia flammeolaria (Hufnagel, 1767)","5-6月 (高山帯: 7-8月)",年1化と思われる
ハンノナミシャク,"Euchoeca nebulata (Scopoli, 1763)","山間部: 5月中旬から、山地: 6-7月",年1化と思われる
ヘリスジナミシャク,"Eschatarchia lineata Warren, 1894",3月-5月,年1化
ウステンシロナミシャク,"Asthena amurensis (Staudinger, 1897)",7月-8月,
ムスジシロナミシャク,"Asthena nymphaeata (Staudinger, 1897)",5月-9月,少なくとも年2化
マンサクシロナミシャク,"Asthena hamadryas Inoue, 1976",未詳,出現期、経過習性は前種とほぼ同じで、年2化で蛹越冬
キムジシロナミシャク,"Asthena corculina Butler, 1878",5月-9月,年2化と思われる
フタマタシロナミシャク,"Asthena ochrifasciaria Leech, 1897",未詳,
カラフトシロナミシャク,"Asthena sachalinensis (Matsumura, 1925)",7月-8月,
キマダラシロナミシャク,"Asthena octomacularia Leech, 1897",5月-8月,年2化の可能性が高い
スカシシロナミシャク,"Asthena undulata (Wileman, 1915)","5-6月, 8月, 10-12月",
ハガタチビナミシャク,"Hastina subfalcaria (Christoph, 1881)",5月下旬-7月,
フタオモドキナミシャク,"Macrohastina azela (Butler, 1878)",5月下旬-7月,
キイロナミシャク,"Pseudostegania defectata (Christoph, 1881)",5月-9月,
セグロナミシャク,"Laciniodes unistirpis (Butler, 1878)",5月-9月,年2化と思われる
セジロナミシャク,"Laciniodes denigrata Warren, 1896)","低山地: 5月下旬から、山地: 7-8月",
キベリヒメナミシャク,"Eois grataria (Walker, 1861)",春, 夏,
マエチャナミシャク,"Acolutha pictaria (Moore, 1888)",未詳,南西諸島では普通に見られ、年間を通して発生している
ハガタマエチャナミシャク,"Acolutha pulchella (Hampson, 1891)",春, 夏,
アカモンコナミシャク,"Palpoctenidia phoenicosoma (Swinhoe, 1895)","5月-6月, 7月-8月",年2化と思われる
ハネナガナミシャク,"Physetobasis dentifascia Hampson, 1895",5月-6月,年1化と思われる
ハマダラナミシャク,"Pomasia denticlathrata Warren, 1893",未詳,年間を通して連続的に発生している
ウスカバスジナミシャク,"Martania taeniata (Stephens, 1831)",8月,
ヒメカバスジナミシャク,"Martania saxea (Wileman, 1911)",7月-8月,年1化
コカバスジナミシャク,"Martania fulvida (Butler, 1881)","山地: 5-6月, 9-10月、高山帯: 7-8月","山地では年2化、高山帯では年1化"
キオビカバスジナミシャク,"Martania minimata (Staudinger, 1897)",6月-8月中旬,
クロカバスジナミシャク,"Gagitodes parvaria (Leech, 1891)",8月-10月,年1化と思われる
ヤハズナミシャク,"Gagitodes sagittata (Fabricius, 1787)",7月-8月,年1化
ミヤマチビナミシャク,"Perizoma japonica Inoue, 1955",7月下旬-8月,年1化
ウスモンチビナミシャク,"Perizoma contrita (Prout, 1913)",8月-9月,年1化
フタオビカバナミシャク,"Perizoma haasi (Hedemann, 1881)",7月下旬-8月中旬,年1化
オオクロテンカバナミシャク,"Eupithecia abietaria (Goeze, 1781)",7月-8月,年1化
フトオビヒメナミシャク,"Eupithecia gigantea Staudinger, 1897)",7月-8月,年1化
ウスアカチビナミシャク,"Eupithecia rufescens Butler, 1878)",5月-7月,おそらく年1化
ナカオビカバナミシャク,"Eupithecia subbreviata Staudinger, 1897",3月-4月,年1化
ウスカバナミシャク,"Eupithecia proterva Butler, 1878",3月-4月,年1化
モンウスカバナミシャク,"Eupithecia clavifera Inoue, 1955",3月-4月,年1化
マエナミカバナミシャク,"Eupithecia niphonaria Leech, 1897",未詳,年1化、春に出現
マエテンカバナミシャク,"Eupithecia costiconvexa Inoue, 1979",3月-4月,年1化
ヒコサンカバナミシャク,"Eupithecia antivulgaria Inoue, 1965",10月-12月,年1化、晩秋の蛾
ソトカバナミシャク,"Eupithecia signigera Butler, 1879",3月-4月,年1化
キモンカバナミシャク,"Eupithecia flavoapicaria Inoue, 1979",12月-1月,
ヒメカバナミシャク,"Eupithecia aritai Inoue, 1977",3月-4月,年1化
フタシロスジカバナミシャク,"Eupithecia melanolopha Swinhoe, 1895",5月-10月,年2化以上するのかもしれない
ムラサキカバナミシャク,"Eupithecia rigida Swinhoe, 1892",2月-5月, 12月,
ナカアオナミシャク,"Eupithecia sophia Butler, 1878","4月-6月, 9月-10月",年2化
エゾチビナミシャク,"Eupithecia jezonica Matsumura, 1927",7月-9月,
オオモンカバナミシャク,"Eupithecia okadai Inoue, 1958",4月-5月,年1化
シロモンカバナミシャク,"Eupithecia spadix Inoue, 1955","4月-5月, 7月-8月",年2化
ヤスジカバナミシャク,"Eupithecia mandschurica Staudinger, 1897",6月-9月,おそらく年1化
クロテンヤスジカバナミシャク,"Eupithecia interpunctaria Inoue, 1979",8月-10月,おそらく年1化
ホソチビナミシャク,"Eupithecia absinthiata (Clerck, 1759)",7月-8月,年1化
ホタカカバナミシャク,"Eupithecia korbi Dietze, 1908",7月-9月,
セアカカバナミシャク,"Eupithecia quadripunctata Warren, 1888","4月-5月, 8月-9月",年2化
フタモンカバナミシャク,"Eupithecia repentina Vojnits & Laever, 1978","4月-5月, 9月-10月",年2化
ハラキカバナミシャク,"Eupithecia subtacincta Hampson, 1895",7月-8月,年1化
ミジンカバナミシャク,"Eupithecia addictata Dietze, 1908",6月-9月,おそらく年2化
イイジマカバナミシャク,"Eupithecia thalictrata Püngeler, 1902",6月-7月,年1化
ウスイロヤスジカバナミシャク,"Eupithecia kurilensis Bryk, 1942",6月-8月,おそらく年1化
ウラモンウストビナミシャク,"Eupithecia scribai Prout, 1938",7月-8月,年1化
ウストビナミシャク,"Eupithecia amplexata Christoph, 1881",7月-8月,年1化
オオウストビナミシャク,"Eupithecia pernotata Guenée, 1857",6月-7月,年1化
アルプスカバナミシャク,"Eupithecia veratraria Herrich-Schäffer, 1848",7月-8月,
シロマダラカバナミシャク,"Eupithecia extensaria (Freyer, 1844)",6月-7月,年1化
シタジロカバナミシャク,"Eupithecia conterminata (Zeller, 1846)",6月,年1化
ミスジカバナミシャク,"Eupithecia neosatyrata Inoue, 1979",4月下旬,
アミモンカバナミシャク,"Eupithecia insignioides Wehrli, 1923","4月-5月, 9月-10月",年2化
カラスナミシャク,"Eupithecia caliginea Butler, 1878",5月-6月,年1化
ジンボカバナミシャク,"Eupithecia jinboi Inoue, 1976",7月-8月,年1化
カメダカバナミシャク,"Eupithecia detritata Staudinger, 1897",5月-7月,おそらく年1化
オビカバナミシャク,"Eupithecia selinata Herrich-Schäffer, 1861","5月-6月, 8月-9月",おそらく年2化
チャバネカバナミシャク,"Eupithecia kobayashii Inoue, 1958",5月-9月,おそらく年2化
スジグロカバナミシャク,"Eupithecia supercastigata Inoue, 1958",9月-10月,秋の蛾
クロモンカバナミシャク,"Eupithecia consortaria Leech, 1897",8月-9月,
ウラモンカバナミシャク,"Eupithecia actaeata Walderdorff, 1869","5月-6月, 8月-9月",
ミヤマカバナミシャク,"Eupithecia impavida Vojnits, 1979",7月-8月,
フジカバナミシャク,"Eupithecia groenblomi Urbahn, 1969",7月-8月,
ツシマカバナミシャク,"Eupithecia persuastrix Mironov, 1990",9月-10月,秋の蛾
ハネナガカバナミシャク,"Eupithecia takao Inoue, 1955",未詳,春に出現し、各地で普通に産する
クロスジカバナミシャク,"Eupithecia ancillata Mironov & Galsworthy, 2004",4月下旬,
シロテンカバナミシャク,"Eupithecia tripunctaria Herrich-Schäffer, 1855","4月-9月",おそらく年2化
クニガミカバナミシャク,"Eupithecia ryukyuensis Inoue, 1971",9月-11月,年1化
トシマカバナミシャク,"Eupithecia tenuisquama (Warren, 1896)","3月-4月, 10月頃",年2化
クロシオカバナミシャク,"Eupithecia kuroshio Inoue, 1980","3月-4月, 9月-10月",年2化
クロテンカバナミシャク,"Eupithecia emanata Dietze, 1908","4月-5月, 8月-9月",年2化
アザミカバナミシャク,"Eupithecia virgaureata Doubleday, 1861","4月-5月, 9月-10月",年2化
ホソカバスジナミシャク,"Eupithecia lariciata (Freyer, 1842)",6月-8月,おそらく年1化
マダラカバスジナミシャク,"Eupithecia tantilloides Inoue, 1958",4月-6月,年1化
シコクカバナミシャク,"Eupithecia shikokuensis Inoue, 1980",5月-6月,
マスイカバナミシャク,"Eupithecia pusillata (Denis & Schiffermüller, 1775)",10月-11月,晩秋の蛾
キナミウスグロナミシャク,"Eupithecia subfuscata (Haworth, 1809)",6月-7月,年1化
ウススジヒメカバナミシャク,"Eupithecia homogrammata Dietze, 1908",7月-8月,年1化
ムネシロテンカバナミシャク,"Eupithecia maenamiella Inoue, 1980",5月-6月,年1化
グンマカバナミシャク,"Eupithecia ebriosa Vojnits, 1979",8月下旬-9月,
ナカグロチビナミシャク,"Eupithecia daemionata Dietze, 1903",3月-4月,年1化
ヨホシナミシャク,"Eupithecia costimacularia Leech, 1897",3月-4月,年1化、昼間活動するが、灯火にも飛来
ヤクシマカバナミシャク,"Eupithecia yakushimensis Inoue, 1980",9月下旬-10月,おそらく年1化で秋にのみ出現
クロマダラカバナミシャク,"Eupithecia pygmaeata (Hübner, 1799)",6月,おそらく年1化
クロバネカバナミシャク,"Eupithecia zibellinata Christoph, 1881",6月,
チャイロカバナミシャク,"Eupithecia pseudassimilata Viidalepp & Mironov, 1988",6月-7月,年1化
シロオビカバナミシャク,"Eupithecia suboxydata Staudinger, 1897",6月-7月,
オガサワラカバナミシャク,"Eupithecia costalis Walker, 1869",3月,
ナカジマチビナミシャク,"Casuariclystis latifascia (Walker, 1866)","小笠原: 7-8月、西表島: 4月",
ホソバチビナミシャク,"Spiralisigna subpumilata (Inoue, 1972)",4月-10月,おそらく年2-3化
イシガキチビナミシャク,"Eriopithex ishigakiensis (Inoue, 1971)",5月, 11月,
クニガミチビナミシャク,"Eriopithex lanaris Warren, 1896",11月,
テルクビチビナミシャク,"Gymnoscelis pseudotibialis Holloway, 1997",7月,
ケブカチビナミシャク,"Gymnoscelis esakii Inoue, 1955",5月-10月,おそらく年2-3化すると思われる
ウスチャイロチビナミシャク,"Gymnoscelis albicaudata Warren, 1897",未詳,
トベラクロスジナミシャク,"Gymnoscelis tristrigosa (Butler, 1880)",未詳,南西諸島ではほぼ一年中成虫の発生が見られる
ヒラドチビナミシャク,"Gymnoscelis imparatalis (Walker, 1866)",10月,
ウスムラサキチビナミシャク,"Gymnoscelis deleta (Hampson, 1891)","3月, 5月, 6月, 9月, 11月",ほぼ一年中採集されている
ユリカチビナミシャク,"Gymnoscelis yurikae Inoue, 2002",不明,
マルバネチビナミシャク,"Gymnoscelis admixtaria (Walker, 1862)","2月-3月, 6月",
オガサワラチビナミシャク,"Gymnoscelis boninensis Inoue, 1994",3月, 7月-8月,
ウラジロチビナミシャク,"Gymnoscelis montgomeryi Inoue, 1994",3月, 7月-8月,
ウラグロチビナミシャク,"Gymnoscelis melaninfra Inoue, 1994",3月, 7月,
シタベニチビナミシャク,"Gymnoscelis semialbida (Walker, 1866)",未詳,
カギモンチビナミシャク,"Glaucoclystis polyclealis (Walker, 1859)","1月, 3月, 5月, 10月",
クロテンアオナミシャク,"Glaucoclystis azumai (Inoue, 1971)",3月-11月,おそらく年2-3化するものと思われる
ミナミチビナミシャク,"Glaucoclystis satoi Inoue, 2002","奄美・徳之島: 6月, 9月、台湾: 4-8月",
クロスジアオナミシャク,"Chloroclystis v-ata (Haworth, 1809)","4月-5月, 8月-9月",おそらく年2化
アマミアオナミシャク,"Chloroclystis neoconversa Inoue, 1971",3月-12月,
リンゴアオナミシャク,"Pasiphila rectangulata (Linnaeus, 1758)",6月-8月,年1化
クロフウスアオナミシャク,"Pasiphila chloerata (Mabille, 1870)",5月-7月,年1化
ハラアカウスアオナミシャク,"Pasiphila obscura (West, 1929)",5月-7月,年1化
テンスジアオナミシャク,"Pasiphila debiliata (Hübner, 1817)","北海道: 5月(幼虫)、兵庫: 6月",
ウラモンアオナミシャク,"Pasiphila subcinctata (Prout, 1915)",7月-8月,年1化
チビアオナミシャク,"Pasiphila kumakurai (Inoue, 1958)",7月-8月,年1化
ソトシロオビナミシャク,"Pasiphila excisa (Butler, 1878)",5月-10月,年に2-3化
マダラアオナミシャク,"Pasiphila hypopyrrha (West, 1929)",6月-8月,
アトシロモンカバナミシャク,"Axinoptera anticostalis Galsworthy, 1999",6月-10月,
サキシマチビナミシャク,"Bosara atypha (Prout, 1958)",3月-7月,
ヒトスジチビナミシャク,"Bosara kadooriensis Galsworthy, 2003",3月, 7月, 11月-12月,
テングナミシャク,"Collix stellata Warren, 1894",5月-10月,年に2-3化
オオサビイロナミシャク,"Collix ghosha Walker, 1862",3月-12月,おそらく年に2-3化
トラノオナミシャク,"Anticollix sparsata (Treitschke, 1828)",6月-8月,
アオスジナミシャク,"Echthrocollix minuta (Butler, 1881)",4月-8月,おそらく年2化
マエフタテンナミシャク,"Herbulotia agilata (Christoph, 1881)",6月-9月,おそらく年2化
アトシロナミシャク,"Horisme tersata (Denis & Schiffermüller, 1775)","4月-5月, 7月-8月",年2化
ボタンヅルナミシャク,"Horisme vitalbata (Denis & Schiffermüller, 1775)",未詳,
トガリバナミシャク,"Horisme stratata (Wileman, 1911)",未詳,
サビイロナミシャク,"Pseudocollix hyperythra (Hampson, 1895)","3月-8月, 12月",おそらく年2-3化
クロテンサビイロナミシャク,"Pseudocollix kawamurai (Inoue, 1972)",3月-10月,おそらく年2-3化
ナカジロナミシャク,"Melanthia procellata (Denis & Schiffermüller, 1775)",4月-10月,
リュウキュウナカジロナミシャク,"Melanthia catenaria (Moore, 1868)","2月-3月, 10月-12月",
ヒロバカレハ,"Gastropacha quercifolia (Linnaeus, 1758)",8月,
ワタナベカレハ,"Gastropacha clathrata Bryk, 1949",8月,年1化と考えられる
カレハガ,"Gastropacha orientalis Sheljuzhko, 1943","6月-7月, 8月-9月",年2化
ホシカレハ,"Gastropacha populifolia (Esper, 1783)","5月-7月, 8月-10月",年2化
ヒメカレハ,"Phyllodesma japonica (Leech, 1889)",4月-5月,年1化
ギンモンカレハ,"Somadasys brevivenis (Butler, 1885)",6月-9月,年2化
タカムクカレハ,"Cosmotriche lobulina (Denis & Schiffermüller, 1775)",6月-8月,年1化
ウスマダラカレハ,"Pyrosis idiota Graeser, 1888",4月-5月,年1化
ヨシカレハ,"Euthrix potatoria (Linnaeus, 1758)",7月-8月,年1化
タケカレハ,"Euthrix albomaculata (Bremer, 1861)","5月-6月, 8月",年2化
タケヒメカレハ,"Euthrix laeta (Walker, 1855)",7月-8月,年1化
マツカレハ,"Dendrolimus spectabilis (Butler, 1877)",6月-7月,年1化（まれに9-10月に2化目）
オキナワマツカレハ,"Dendrolimus okinawanus Sonan, 1934 stat. rev.",未詳,年2化以上
ツガカレハ,"Dendrolimus superans (Butler, 1877)",7月-8月,年1化（まれに9-10月に2化目）
クヌギカレハ,"Kunugia undans (Walker, 1859)",9月-10月,年1化
イワサキカレハ,"Kunugia iwasakii (Nagano, 1917) stat. rev.","11月-1月",年1化
ヤマダカレハ,"Kunugia yamadai Nagano, 1917",10月-11月,年1化
ムラクモカレハ,"Lebeda nobilis Walker, 1855",未詳,
ミヤケカレハ,"Takanea miyakei Wileman, 1915 sp. rev.","6月-7月",年1化
オオミヤケカレハ,"Takanea excisa (Wileman, 1910)",7月-8月,
ウスズミカレハ,"Poecilocampa takamukui Matsumura, 1928",晩秋-初冬,年1化
オビカレハ,"Malacosoma neustrium (Linnaeus, 1758)","平地: 5-6月、山地: 6-7月",年1化
シカタカレハ,"Malacosoma dentatum Mell, 1938",6月,年1化
オビガ,"Apha aequalis (Felder, 1874)",春, 夏,年2化（10月まで見られる個体あり）
カイコ,"Bombyx mori (Linnaeus, 1758)",未詳,"年1化、および年多化"
クワコ,"Bombyx mandarina (Moore, 1872)",6月-11月,年3回程度の発生と考えられる
テンオビシロカサン,"Ernolatia moorei (Hutton, 1865)",7月, 12月,
イチジクカサン,"Trilocha varians (Walker, 1855)",1月, 5月,中国では4-10月まで多化することが知られている
オオクワゴモドキ,"Oberthueria falcigera (Butler, 1878)",春, 夏,年2化
カギバモドキ,"Pseudandraca gracilis (Butler, 1885)","4月-5月, 7月-8月",年2化
スカシサン,"Prismosticta hyalinata (Butler, 1885)",5月, 7月-8月,年1化（一部では2化の可能性）
ヨナグニサン,"Attacus atlas (Linnaeus, 1758)","台湾: 5-6月, 8-9月",台湾では年2化
シンジュサン,"Samia cynthia (Felder & Felder, 1773)","温帯地: 5-6月, 8-9月、寒冷地: 7-8月","温帯地では年2化、寒冷地では年1化"
ヒマサン,"Samia ricini",未詳,年5世代ほど発生を繰り返す
ヤママユ,"Antheraea yamamai (Guérin-Méneville, 1861)",夏-初秋,年1回の発生
サクサン,"Antheraea pernyi (Guérin-Méneville, 1855)",未詳,年2回発生
ヒメヤママユ,"Saturnia jonasii (Butler, 1877)",9月-11月,年1化
クスサン,"Saturnia japonica (Moore, 1872)",夏の終わり-初秋,年1化
クロウスタビガ,"Rhodinia jankowskii (Oberthür, 1880)",10月10日前後(最盛期),年1化
ウスタビガ,"Rhodinia fugax (Butler, 1877)",秋 (平地では12月まで),年1化
ハグルマヤママユ,"Loepa sakaei Inoue, 1965",3月-11月,"5月下旬と9月に個体数が多い"
オオミズアオ,"Actias aliena (Butler, 1879)","5月-8月 (10月にも)",年1-2化
オナガミズアオ,"Actias gnoma (Butler, 1877)",5月-8月,年1-2化
エゾヨツメ,"Aglia japonica Leech, 1889",春 (2月-8月),年1化
イボタガ,"Brahmaea japonica Butler, 1873",春,年1化
エビガラスズメ,"Agrius convolvuli (Linnaeus, 1758)",5月-11月頃,年2化
クロメンガタスズメ,"Acherontia lachesis (Fabricius, 1798)","7月-8月 (小笠原: 3月)",年1化
メンガタスズメ,"Acherontia styx (Westwood, 1847)",夏期,年1-2化
エゾシモフリスズメ,"Meganoton analis (Felder, 1874)",6月-8月頃,年1化
シモフリスズメ,"Psilogramma increta (Walker, 1865)",夏期,年1化
エゾコエビガラスズメ,"Sphinx ligustri Linnaeus, 1758",夏期,年1化
コエビガラスズメ,"Sphinx constricta Butler, 1885",5月-8月,年2化
マツクロスズメ,"Sphinx morio (Rothschild & Jordan, 1903)",7月-8月,年1化
クロスズメ,"Sphinx caliginea (Butler, 1877)","5月-6月, 8月-9月",年2化
オビグロスズメ,"Sphinx crassistriga (Rothschild & Jordan, 1903)",7月-8月,年1化
クロテンケンモンスズメ,"Kentrochrysalis consimilis Rothschild & Jordan, 1903",5月-8月,年1化と思われる
サザナミスズメ,"Dolbina tancrei Staudinger, 1887",4月-9月,年2-3化
ヒメサザナミスズメ,"Dolbina exacta Staudinger, 1892",4月-9月,年2-3化
タイワンサザナミスズメ,"Dolbina inexacta (Walker, 1856)",3月-9月,年2-3化と思われる
アジアホソバスズメ,"Ambulyx sericeipennis Butler, 1875",3月-9月,年2化と思われるが、北海道では1化
モンホソバスズメ,"Ambulyx schauffelbergeri Bremer & Grey, 1853","山地: 7-8月、低地: 5-8月","山地では年1化、本州低地では年2化"
ホソバスズメ,"Ambulyx ochracea Butler, 1885",5月-7月,年2化
フトオビホソバスズメ,"Ambulyx japonica Rothschild, 1894",5月-8月,年1化
トビイロスズメ,"Clanis bilineata (Walker, 1866)",6月-8月,年1化
ハガタスズメ,"Polyptychus chinensis Rothschild & Jordan, 1903",4月-8月,
モモスズメ,"Marumba gaschkewitschii (Bremer & Grey, 1853)",5月-8月,年2化
タイワンクチバスズメ,"Marumba saishiuana Okamoto, 1924",5月-7月,
ヒメクチバスズメ,"Marumba jankowskii (Oberthür, 1880)",6月-7月,年1化
クチバスズメ,"Marumba sperchius (Ménétriès, 1857)",6月-7月,年1化
オオシモフリスズメ,"Langia zenzeroides Moore, 1872",3月-4月,年1化
ギンボシスズメ,"Parum colligata (Walker, 1856)",6月-9月,年2化（南西諸島では多化性の可能性）
ヒサゴスズメ,"Mimas christophi (Staudinger, 1887)",6月-7月,年1化
コウチスズメ,"Smerinthus tokyonis Matsumura, 1921",6月-8月,"平地では年2化、山地では年1化"
ヒメウチスズメ,"Smerinthus caecus Ménétriès, 1957",6月-8月,年1化
ウチスズメ,"Smerinthus planus Walker, 1856","5月-9月",年2化（北海道では年1化）
ウンモンスズメ,"Callambulyx tatarinovii (Bremer & Grey, 1852)",5月-9月,年2化
ノコギリスズメ,"Laothoe amurensis (Staudinger, 1892)",6月-7月,年1化
エゾスズメ,"Phyllosphingia dissimilis (Bremer, 1861)",5月-7月,年1化
オオスカシバ,"Cephonodes hylas (Linnaeus, 1771)",6月-9月,年2化
リュウキュウオオスカシバ,"Cephonodes xanthus Rothschild & Jordan, 1903",4月上旬-8月,おそらく年2化
スキバホウジャク,"Hemaris radians (Walker, 1856)",5月-9月,年2化
クロスキバホウジャク,"Hemaris affinis (Bremer, 1861)",5月-8月,年2化
キョウチクトウスズメ,"Daphnis nerii (Linnaeus, 1758)",5月-11月,多化
トモエスズメ,"Daphnis hypothous (Cramer, 1780)",7月,偶産
クルマスズメ,"Ampelophaga rubiginosa Bremer & Grey, 1853",6月-8月,年1化
ハネナガブドウスズメ,"Acosmeryx naga (Moore, 1858)",6月-8月,年1化
ブドウスズメ,"Acosmeryx castanea Rothschild & Jordan, 1903",6月-8月,年1化
ホシヒメホウジャク,"Neogurelca himachala (Butler, 1875)","6月-7月, 8月-10月",年2化
ヒメホウジャク,"Neogurelca hyas (Walker, 1856)",8月-9月,
ホウジャク,"Macroglossum stellatarum (Linnaeus, 1758)",7月-10月,年2化
ヒメクロホウジャク,"Macroglossum bombylans Boisduval, 1875",5月-10月,
フリッツェホウジャク,"Macroglossum fritzei Rothschild & Jordan, 1903",6月-10月,年2化
アトボシホウジャク,"Macroglossum corythus Walker, 1856",7月-10月,
ファロオオホウジャク,"Macroglossum faro (Cramer, 1780)",7月-10月,
イチモンジホウジャク,"Macroglossum heliophilum Boisduval, 1875",7月-10月,
シロオビホウジャク,"Macroglossum mediovitta Rothschild & Jordan, 1903",3月-10月,
ネグロホウジャク,"Macroglossum passalus (Drury, 1773)",3月-10月,
オビホウジャク,"Macroglossum poecilum Rothschild & Jordan, 1903",7月-9月,
チビホウジャク,"Macroglossum neotroglodytus Kitching & Cadiou, 2000",7月-9月,
ホシホウジャク,"Macroglossum pyrrhosticta Butler, 1875",7月-11月,年2-3化
クロホウジャク,"Macroglossum saga Butler, 1878",4月-11月,
クロオビホウジャク,"Macroglossum sitiene (Walker, 1856)",8月-9月,
イブキスズメ,"Hyles gallii (Rottemburg, 1775)",6月-8月,年1化
アカオビスズメ,"Hyles livornica (Esper, 1779)",7月-9月,
ベニスズメ,"Deilephila elpenor (Linnaeus, 1758)",4月-9月,年2化
ヒメスズメ,"Deilephila askoldensis (Oberthür, 1879)",6月-9月,年1化
シタベニセスジスズメ,"Hippotion celerio (Linnaeus, 1758)",4月-10月,
モトグロシタベニスズメ,"Hippotion echeclus (Boisduval, 1875)",7月,
コシタベニスズメ,"Hippotion boerhaviae (Fabricius, 1775)",3月,
マメシタベニスズメ,"Hippotion rosetta Swinhoe, 1892",3月-11月,
オバナワスズメ,"Hippotion velox (Fabricius, 1793)",4月-11月,
シタベニスズメ,"Theretra alecto (Linnaeus, 1758)",5月-10月,
サツマスズメ,"Theretra clotho (Drury, 1773)",5月-10月,
キイロスズメ,"Theretra nessus (Drury, 1773)",5月-10月,年2化
セスジスズメ,"Theretra oldenlandiae (Fabricius, 1775)",5月-10月,年2化
コスズメ,"Theretra japonica (Boisduval, 1869)",5月-9月,年2化
タイワンベニスズメ,"Theretra suffusa (Walker, 1856)",5月-10月,
イッポンセスジスズメ,"Theretra silhetensis (Walker, 1856)",5月-10月,
ミドリスズメ,"Pergesa actea (Cramer, 1779)",3月-10月,
ビロードスズメ,"Rhagastis mongoliana (Butler, 1875)",5月-9月,年2化
ミスジビロードスズメ,"Rhagastis trilineata Matsumura, 1921",6月-9月,
